section,reference,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
101 Purpose,101.1,General,"This document contains scoping and technical requirements for accessibility to sites, facilities, buildings, and elements by individuals with disabilities. The requirements are to be applied during the design, construction, additions to, and alteration of sites, facilities, buildings, and elements to the extent required by regulations issued by Federal agencies under the Americans with Disabilities Act of 1990 (ADA).","['Door', 'Ramp', 'Stair', 'Elevator', 'RampFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['concept', 'sd', 'dd', 'cd']",accessibility,architect
101 Purpose,101.2,Effect on Removal of Barriers in Existing Facilities,This document does not address existing facilities unless altered at the discretion of a covered entity. The Department of Justice has authority over existing facilities that are subject to the requirement for removal of barriers under Title III of the ADA. Any determination that this document applies to existing facilities subject to the barrier removal requirement is solely within the discretion of the Department of Justice and is effective only to the extent required by regulations issued by the Department of Justice.,"['Door', 'Ramp', 'Stair', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
102 Dimensions for Adults and Children**,102,Dimensions for Adults and Children**,"The technical requirements are based on adult dimensions and anthropometrics. In addition, this document includes technical requirements based on children’s dimensions and anthropometrics for drinking fountains, water closets, toilet compartments, lavatories and sinks, dining surfaces, and work surfaces.","['Covering', 'Slab', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
103 Equivalent Facilitation,103,Equivalent Facilitation,"Nothing in these requirements prevents the use of designs, products, or technologies as alternatives to those prescribed, provided they result in substantially equivalent or greater accessibility and usability.","['Door', 'Ramp', 'Stair', 'Elevator', 'Window']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
104 Conventions,104.1,Dimensions,Dimensions that are not stated as “maximum” or “minimum” are absolute.,"['Wall', 'Door', 'Window']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)']","['sd', 'dd', 'cd']",means_of_egress,architect
104 Conventions,104.1.1,Construction and Manufacturing Tolerances,All dimensions are subject to conventional industry tolerances except where the requirement is stated as a range with specific minimum and maximum end points.,"['Wall', 'Slab', 'Roof']","['Assembly (A)', 'Business (B)', 'Residential (R)']","['sd', 'dd', 'cd']",finishes_materials,architect
104 Conventions,104.2,Calculation of Percentages,"Where the required number of elements or facilities to be provided is determined by calculations of ratios or percentages and remainders or fractions result, the next greater whole number of such elements or facilities shall be provided. Where the determination of the required size or dimension of an element or facility involves ratios or percentages, rounding down for values less than one half shall be permitted.","['Door', 'Ramp', 'RampFlight', 'Stair', 'Window']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
104 Conventions,104.3,Figures,"Unless specifically stated otherwise, figures are provided for informational purposes only.",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']",['cd'],occupancy_classification,architect
105 Referenced Standards,105.1,General,"The standards listed in 105.2 are incorporated by reference in this document and are part of the requirements to the prescribed extent of each such reference. The Director of the Federal Register has approved these standards for incorporation by reference in accordance with 5 U.S.C. 552(a) and 1 CFR part 51. Copies of the referenced standards may be inspected at the Architectural and Transportation Barriers Compliance Board, 1331 F Street, NW, Suite 1000, Washington, DC 20004; at the Department of Justice, Civil Rights Division, Disability Rights Section, 1425 New York Avenue, NW, Washington, DC; at the Department of Transportation, 400 Seventh Street, SW, Room 10424, Washington DC; or at the National Archives and Records Administration (NARA). For information on the availability of this material at NARA, call (202) 741-6030, or go to http://www.archives.gov/federal_register/code_of_federal_regulations/ibr_locations.html.",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'High Hazard (H)']",['cd'],accessibility,architect
105 Referenced Standards,105.2,Referenced Standards,"The specific edition of the standards listed below are referenced in this document. Where differences occur between this document and the referenced standards, this document applies.",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['concept', 'sd', 'dd', 'cd']",special_construction,architect
105 Referenced Standards,105.2.1,ANSI/BHMA,"Copies of the referenced standards may be obtained from the Builders Hardware Manufacturers Association, 355 Lexington Avenue, 17th floor, New York, NY 10017 (http://www.buildershardware.com).","['Door', 'Window', 'Railing']","['Assembly (A)', 'Business (B)', 'Residential (R)']","['dd', 'cd']",finishes_materials,architect
105 Referenced Standards,105.2.2,ASME,"Copies of the referenced standards may be obtained from the American Society of Mechanical Engineers, Three Park Avenue, New York, New York 10016 (http://www.asme.org).",['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",elevators_conveying_systems,elevator_consultant
105 Referenced Standards,105.2.3,ASTM,"Copies of the referenced standards may be obtained from the American Society for Testing and Materials, 100 Bar Harbor Drive, West Conshohocken, Pennsylvania 19428 (http://www.astm.org).",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",finishes_materials,architect
105 Referenced Standards,105.2.4,ICC/IBC,"Copies of the referenced standard may be obtained from the International Code Council, 5203 Leesburg Pike, Suite 600, Falls Church, Virginia 22041 (www.iccsafe.org).",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'High Hazard (H)']",['cd'],special_construction,architect
105 Referenced Standards,105.2.5,NFPA,"Copies of the referenced standards may be obtained from the National Fire Protection Association, 1 Batterymarch Park, Quincy, Massachusetts 02169-7471, (http://www.nfpa.org).",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['cd', 'ca']",fire_protection_alarm_systems,fire_protection_engineer
106 Definitions,106.1,General,"For the purpose of this document, the terms defined in 106.5 have the indicated meaning.",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'High Hazard (H)']","['concept', 'sd', 'dd', 'cd']",occupancy_classification,architect
106 Definitions,106.2,Terms Defined in Referenced Standards,"Terms not defined in 106.5 or in regulations issued by the Department of Justice and the Department of Transportation to implement the Americans with Disabilities Act, but specifically defined in a referenced standard, shall have the specified meaning from the referenced standard unless otherwise stated.",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']",['cd'],accessibility,architect
106 Definitions,106.3,Undefined Terms,The meaning of terms not specifically defined in 106.5 or in regulations issued by the Department of Justice and the Department of Transportation to implement the Americans with Disabilities Act or in referenced standards shall be as defined by collegiate dictionaries in the sense that the context implies.,['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['concept', 'sd', 'dd', 'cd']",accessibility,architect
106 Definitions,106.4,Interchangeability,"Words, terms and phrases used in the singular include the plural and those used in the plural include the singular.",['Wall'],['Assembly (A)'],['cd'],occupancy_classification,architect
201 Application,201.1,Scope,All areas of newly designed and newly constructed buildings and facilities and altered portions of existing buildings and facilities shall comply with these requirements.,"['Wall', 'Door', 'Slab', 'Stair', 'Ramp']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
201 Application,201.2,Application Based on Building or Facility Use,"Where a site, building, facility, room, or space contains more than one use, each portion shall comply with the applicable requirements for that use.","['BuildingElementProxy', 'Wall', 'Door', 'Slab']","['Assembly (A)', 'Business (B)', 'Residential (R)']","['sd', 'dd', 'cd']",occupancy_classification,architect
201 Application,201.3,Temporary and Permanent Structures,These requirements shall apply to temporary and permanent buildings and facilities.,"['BuildingElementProxy', 'Wall', 'Roof']","['Assembly (A)', 'Business (B)', 'Residential (R)']","['sd', 'dd', 'cd']",special_construction,architect
