id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect
divider_1_1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd,occupancy_classification,architect
101,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect
101.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect
101.2,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
101.2.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect
101.3,Wall|Door|Slab|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),concept|sd|dd|cd,occupancy_classification,architect
101.4,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
101.4.1,BuildingElementProxy,Residential (R)|Business (B)|Mercantile (M),sd|dd|cd,mechanical_systems,mechanical_engineer
101.4.2,BuildingElementProxy|Covering|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer
101.4.3,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,plumbing_systems,mechanical_engineer
101.4.4,Wall|Roof|Door|Window|Slab,Assembly (A)|Business (B)|Residential (R)|Mercantile (M)|Storage (S),ca,interior_environment,owner
101.4.5,Wall|Slab|Roof|Door|BuildingElementProxy,Assembly (A)|Business (B)|Residential (R)|Institutional (I)|Storage (S),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer
101.4.6,Wall|Roof|Slab|Window|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect
101.4.7,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect
102,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd,occupancy_classification,architect
102.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect
102.2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
102.3,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
102.4,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,occupancy_classification,architect
102.4.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
102.4.2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect
102.5,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect
102.6,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
