id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
201,,,,none,none
201.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd|ca,occupancy_classification,architect
201.2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect
201.3,Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect
201.4,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
202,,,,none,none
24_hour_basis_,BuildingElementProxy,Institutional (I),concept|sd|dd|cd,occupancy_classification,architect
aac_masonry_,Wall|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect
accessible_,Door|Ramp|Stair|Slab|RampFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,accessibility,architect
accessible_means_of_egress_,Door|Ramp|Stair|RampFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,accessibility,architect
accessible_route_,Door|Ramp|RampFlight|Stair|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,accessibility,architect
accessible_unit_,Door|Ramp|Stair|Slab|Window,Residential (R)|Institutional (I),sd|dd|cd,accessibility,architect
accreditation_body_,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,finishes_materials,architect
addition_,Wall|Slab|Roof|Column|Stair,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),concept|sd|dd|cd,building_height_area_limits,architect
adhered_masonry_veneer_,Wall|Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect
adobe_construction_,Wall|Slab|Roof|Column,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Utility and Miscellaneous (U),sd|dd|cd,construction_type_ratings,architect
adobe_stabilized_,Wall|Slab,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,finishes_materials,architect
adobe_unstabilized_,Wall|Slab|Bearing,Residential (R)|Assembly (A)|Business (B)|Educational (E),sd|dd|cd,assemblies_envelope,architect
