id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
3,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),concept|sd|dd,occupancy_classification,architect
301,,,,none,none
301.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
302,,,,none,none
302.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect
302.2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd,occupancy_classification,architect
303,,,,none,none
303.1,Wall|Door|Stair|Slab,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
303.1.1,Wall|Door|Slab,Assembly (A)|Business (B),sd|dd|cd,occupancy_classification,architect
303.1.2,Wall|Door|Slab,Assembly (A)|Business (B),sd|dd|cd,occupancy_classification,architect
303.1.3,Wall|Door|Slab,Educational (E)|Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
303.1.4,Wall|Door|Slab,Assembly (A)|Educational (E),sd|dd|cd,occupancy_classification,architect
303.1.5,Wall|Door|Window|Slab,Assembly (A),sd|dd|cd,occupancy_classification,architect
303.2,Wall|Door|Slab|Stair|Roof,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
303.3,Wall|Door|Slab|Window|BuildingElementProxy,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
303.4,Wall|Slab|Door|Window,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
303.5,Slab|Railing|Stair|Door|Wall,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
303.6,Slab|Stair|Railing|Roof|Beam,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
304,,,,none,none
304.1,Wall|Slab|Door,Business (B),concept|sd|dd|cd,occupancy_classification,architect
304.2,BuildingElementProxy|Slab|Stair|Wall|Window,Business (B),sd|dd|cd,occupancy_classification,architect
304.3,BuildingElementProxy,Business (B),concept|sd|dd|cd,occupancy_classification,architect
304.4,Wall|Door|Window|Slab,Educational (E),sd|dd|cd,occupancy_classification,architect
305,,,,none,none
305.1,Wall|Door|Slab,Educational (E),concept|sd|dd|cd,occupancy_classification,architect
305.1.1,Wall|Door|Slab,Assembly (A)|Educational (E),sd|dd|cd,occupancy_classification,architect
305.2,Wall|Door|Window,Educational (E),concept|sd|dd|cd,occupancy_classification,architect
305.2.1,Wall|Door|Slab,Assembly (A)|Educational (E),concept|sd|dd|cd,occupancy_classification,architect
305.2.2,BuildingElementProxy,Educational (E)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
305.2.3,Wall|Door|Window,Residential (R),sd|dd|cd,occupancy_classification,architect
305.3,Wall|Slab|Door|Roof,Educational (E),sd|dd|cd,special_construction,architect
306,,,,none,none
306.1,BuildingElementProxy|Slab|Wall,Factory and Industrial (F),concept|sd|dd|cd,occupancy_classification,architect
306.2,Wall|Slab|Roof,Factory and Industrial (F),concept|sd|dd,occupancy_classification,architect
306.2.1,BuildingElementProxy|Slab|Wall,Factory and Industrial (F),sd|dd|cd,occupancy_classification,architect
306.3,Wall|Slab|Column|Roof|Door,Factory and Industrial (F),concept|sd|dd|cd,occupancy_classification,architect
307,,,,none,none
307.1,Wall|Slab|Roof,High Hazard (H),sd|dd|cd,occupancy_classification,architect
