id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
30,Elevator|Ramp|Stair|RampFlight|Door,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001,,,,none,none
3001.1,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.2,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.3,ElevatorsConveyingSystems|Stair|Ramp,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.4,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,accessibility,architect
3001.5,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.6,Elevator|Stair|StairFlight|Ramp|RampFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
3002,,,,none,none
3002.1,Wall|Shaft|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
3002.1.1,Door|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
3002.1.2,Door,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),dd|cd,elevators_conveying_systems,elevator_consultant
3002.2,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,architect
3002.3,Elevator|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),cd,fire_protection_alarm_systems,architect
3002.4,Elevator|BuildingElementProxy|Door,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,architect
3002.5,Door|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3002.6,Door,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,architect
3002.7,Ramp|Stair|StairFlight|BuildingElementProxy|Door,Assembly (A)|Business (B)|Mercantile (M)|Residential (R)|Storage (S),sd|dd|cd,means_of_egress,architect
3002.8,Wall|Door|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,architect
3002.9,BuildingElementProxy|Elevator|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,plumbing_systems,mechanical_engineer
3003,,,,none,none
3003.1,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),dd|cd,elevators_conveying_systems,electrical_engineer
3003.1.1,Elevators|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,elevators_conveying_systems,electrical_engineer
3003.1.2,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,electrical_engineer
3003.1.3,ElevatorsConveyingSystem|BuildingElementProxy,Assembly (A)|Business (B)|Institutional (I)|Residential (R),dd|cd,elevators_conveying_systems,electrical_engineer
3003.1.4,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Residential (R)|Institutional (I)|Mercantile (M),sd|dd|cd,elevators_conveying_systems,electrical_engineer
3003.2,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3003.3,"Elevators are not directly represented on the allowed list, but the closest applicable type is BuildingElementProxy",Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,elevators_conveying_systems,fire_protection_engineer
3004,,,,none,none
3004.1,Ramp|Stair|BuildingElementProxy,Assembly (A)|Business (B)|Institutional (I)|Mercantile (M)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3004.2,Ramp|RampFlight|BuildingElementProxy,Assembly (A)|Business (B)|Mercantile (M)|Institutional (I)|Residential (R),dd|cd,finishes_materials,architect
3004.2.1,Wall|Shaft|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
3004.2.2,Ramp|BuildingElementProxy,Assembly (A),sd|dd|cd,elevators_conveying_systems,architect
3004.3,BuildingElementProxy,Factory and Industrial (F)|High Hazard (H)|Storage (S)|Business (B),sd|dd|cd,elevators_conveying_systems,architect
3004.3.1,Wall|BuildingElementProxy|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
3004.3.2,TrackElement|BuildingElementProxy,Factory and Industrial (F)|Storage (S)|Mercantile (M),sd|dd|cd,elevators_conveying_systems,mechanical_engineer
