id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
5,Wall|Slab|Column|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect
501,,,,none,none
501.1,Wall|Column|Slab|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect
502,,,,none,none
502.1,Wall|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,architect
503,,,,none,none
503.1,Wall|Slab|Roof|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,building_height_area_limits,architect
503.1.1,BuildingElementProxy|CraneWay|Slab|Roof|Column,Factory and Industrial (F),sd|dd|cd,building_height_area_limits,architect
503.1.2,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect
503.1.3,Wall|Slab|Column|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect
503.1.4,Roof|Slab|Stair|Railing|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
503.1.4.1,Wall|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
504,,,,none,none
504.1,Wall|Roof|Slab,Factory and Industrial (F)|Utility and Miscellaneous (U),sd|dd|cd,building_height_area_limits,architect
504.1.1,Wall|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Storage (S),sd|dd|cd,building_height_area_limits,architect
504.1.2,Wall|Slab|Column,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect
504.2,BuildingElementProxy|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,building_height_area_limits,architect
504.3,Wall|Roof|Slab|Column,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,building_height_area_limits,architect
504.4,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,building_height_area_limits,architect
505,,,,none,none
505.1,Slab|Stair|Railing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,means_of_egress,architect
505.2,Slab|Railing|Stair|StairFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect
505.2.1,Slab|Railing|Column|Wall,Assembly (A)|Business (B)|Factory and Industrial (F)|Residential (R)|Storage (S),sd|dd|cd,building_height_area_limits,architect
505.2.1.1,Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
505.2.2,Stair|Ramp|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect
505.2.3,Slab|Column|Wall|Railing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect
505.3,Slab|Stair|Railing|Ramp|Ladder,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Storage (S),sd|dd|cd,building_height_area_limits,architect
505.3.1,Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
505.3.2,Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),dd|cd,fire_protection_alarm_systems,fire_protection_engineer
505.3.3,Railing|BuildingElementProxy,Business (B)|Factory and Industrial (F)|Utility and Miscellaneous (U),sd|dd|cd,means_of_egress,architect
506,,,,none,none
506.1,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
506.1.1,Wall|Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
506.1.2,Wall|Slab|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
506.1.3,Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,building_height_area_limits,architect
506.2,Wall|Slab|Roof|Column,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect
506.2.1,Wall|Slab|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,building_height_area_limits,architect
506.2.2,Wall|Slab|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
506.2.2.1,Wall|Slab|Door,High Hazard (H),sd|dd|cd,building_height_area_limits,architect
506.3,Wall|Door|Window|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,site_planning,architect
506.3.1,Wall|Door|Window,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,building_height_area_limits,architect
506.3.2,Wall|BuildingElementProxy|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,site_planning,architect
506.3.3,Wall|Slab|CurtainWall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
506.3.3.1,Wall|Slab|Door|Window,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,building_height_area_limits,architect
507,,,,none,none
507.1,BuildingElementProxy|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,building_height_area_limits,architect
