id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
10,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1001,,,,none,none
1001.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1001.2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1001.2.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect
1001.2.2,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,occupancy_classification,architect
1001.2.2.1,Wall|Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1001.3,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd|ca,occupancy_classification,architect
1002,,,,none,none
1002.1,BuildingElementProxy,Assembly (A)|Educational (E)|Institutional (I),sd|dd|cd,occupancy_classification,architect
1002.2,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1002.3,Wall|Door|Slab,Institutional (I),sd|dd|cd,occupancy_classification,architect
1002.4,Wall|Door,Institutional (I)|Storage (S),sd|dd|cd,fire_resistance_smoke_protection,architect
1003,,,,none,none
1003.1,Wall|Slab|Door|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
1004,,,,none,none
1004.1,Wall|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer
1005,,,,none,none
1005.1,Door|Wall|Stair|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect
1006,,,,none,none
1006.1,Beam|Column|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
1006.2,Wall|Roof|Column|Beam|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer
1006.3,Wall|Column|Beam|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Storage (S)|Utility and Miscellaneous (U),sd|dd|cd,structural_design,structural_engineer
1006.4,Wall|Roof|Stair|Door,Institutional (I)|Assembly (A)|Business (B),sd|dd|cd,site_planning,architect
1007,,,,none,none
