id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
12,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect
1201,,,,none,none
1201.1,Wall|Roof|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,special_construction,architect
1201.2,Wall|Column|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,structural_design,structural_engineer
1201.3,Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
1201.4,Wall|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,site_planning,architect
1201.5,Wall|Roof|Slab|Column|Stair,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,fire_resistance_smoke_protection,architect
1202,,,,none,none
1202.1,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect
1202.2,Wall|Window|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect
1203,,,,none,none
1203.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,interior_environment,architect
1203.2,Wall|Door|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer
1203.3,Door|Stair|Corridor,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect
1203.4,Wall|Door,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
1203.5,Wall|Slab|Covering|Ceiling|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect
1203.6,Wall|Door|Stair|StairFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
1203.7,Wall|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,fire_resistance_smoke_protection,architect
1203.8,Wall|Door|Window,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
1203.9,Stair|Railing,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,means_of_egress,architect
1203.10,Railing|Stair|StairFlight|Ramp|RampFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect
