id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
15,Wall|Slab|Roof|Stair|Covering,Assembly (A)|Business (B)|Mercantile (M)|Residential (R)|Institutional (I),cd|ca,special_construction,architect
1501,,,,none,none
1501.1,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),cd|ca,special_construction,architect
1501.2,BuildingElementProxy,Utility and Miscellaneous (U),cd|ca,site_planning,architect
1501.3,Roof|Slab|Beam,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer
1501.4,Stair|Door|Wall|Slab|FireProtectionDevice,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,means_of_egress,architect
1501.5,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,site_planning,architect
1502,,,,none,none
1502.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,owner
1502.1.1,BuildingElementProxy,Assembly (A)|Business (B)|Factory and Industrial (F)|High Hazard (H)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer
1502.2,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,site_planning,owner
1502.3,BuildingElementProxy|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),ca,fire_protection_alarm_systems,fire_protection_engineer
1502.3.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),ca,site_planning,owner
1503,,,,none,none
1503.1,BuildingElementProxy,Utility and Miscellaneous (U),cd|ca,plumbing_systems,architect
1504,,,,none,none
1504.1,Railing|Barrier|Covering,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),cd|ca,site_planning,architect
1504.1.1,Slab|Pavement,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect
1504.1.2,BuildingElementProxy|Railing,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect
1504.1.3,Railing,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Utility and Miscellaneous (U),sd|dd|cd|ca,special_construction,architect
1504.1.4,Wall|Door|BuildingElementProxy,Utility and Miscellaneous (U),sd|dd|cd,site_planning,architect
1504.1.4.1,Wall,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,structural_design,architect
1504.1.5,Roof|Slab|Column|Footing|Beam,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,special_construction,architect
1504.1.6,Pavement|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),cd|ca,site_planning,owner
