id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
5,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect
501,,,,none,none
501.1,Wall|Slab|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect
501.1.1,Wall|Door|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect
501.2,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),dd|cd,fire_resistance_smoke_protection,architect
501.3,BuildingElementProxy,Institutional (I),sd|dd|cd,mechanical_systems,mechanical_engineer
502,,,,none,none
502.1,Wall|Slab|Roof|Stair|Elevator,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect
502.1.1,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect
502.1.2,Wall|Slab|Column|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect
502.2,Footing|Slab|Wall|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,site_planning,architect
502.3,Beam|Column|Footing|Slab|Wall,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F),sd|dd|cd,structural_design,structural_engineer
502.4,Wall|Beam|Column|Slab,Residential (R),sd|dd|cd,structural_design,structural_engineer
502.5,Wall|Door|BuildingElementProxy,Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
502.6,Wall|Slab|Roof,Educational (E),sd|dd|cd,interior_environment,architect
503,,,,none,none
503.1,Stair|Railing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,means_of_egress,architect
503.2,Slab|Wall|Footing|Roof|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,site_planning,architect
503.3,Beam|Column|Slab|Roof|Footing,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,structural_design,structural_engineer
503.4,Wall|Column|Beam|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer
503.5,Wall|Column|Beam|BuildingElementProxy|Plate,Assembly (A)|Institutional (I)|Educational (E),sd|dd|cd,structural_design,structural_engineer
503.6,Wall|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
503.7,Wall|Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,structural_design,structural_engineer
503.8,Wall|Beam|Slab|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
503.9,Wall|BuildingElementProxy|Slab,Business (B)|Assembly (A)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer
503.10,Wall|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
503.11,Wall|Column|Beam|Slab,Business (B)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer
503.12,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
503.13,Beam|Column|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
503.14,Wall,Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
503.15,Wall|Door|Slab,Institutional (I),sd|dd|cd,means_of_egress,architect
503.16,Wall|Door|Slab,Institutional (I),sd|dd|cd,occupancy_classification,architect
503.16.1,Wall,Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
503.17,Wall|Door|Slab,Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect
