id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
10,Chimney|Wall|Covering,Assembly (A)|Residential (R)|Business (B),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001,,,,none,none
R1001.1,Chimney|Wall|Footing,Residential (R),sd|dd|cd,assemblies_envelope,architect
R1001.2,Footing|Chimney,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R1001.2.1,Wall|Footing|Door,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.3,Chimney,Residential (R)|Assembly (A)|Business (B)|Institutional (I)|Educational (E),sd|dd|cd,structural_design,structural_engineer
R1001.3.1,Chimney|Wall,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R1001.3.2,Wall|Footing,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R1001.4,Chimney|Column|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R1001.4.1,Chimney|Beam|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer
R1001.4.1.1,Wall|Beam|Column,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,structural_design,structural_engineer
R1001.5,Wall,Assembly (A)|Residential (R)|Business (B),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.5.1,BuildingElementProxy|Wall|Covering,Assembly (A)|Residential (R)|Business (B),sd|dd|cd,special_construction,architect
R1001.6,Chimney|Wall,Residential (R)|Assembly (A),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.7,Wall|BuildingElementProxy|Chimney,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.7.1,Chimney|Wall,Residential (R)|Assembly (A),sd|dd|cd,fire_protection_alarm_systems,architect
R1001.8,Chimney|Wall,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.8.1,Chimney|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.9,Slab|Covering|Wall,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.9.1,Slab|Wall|Chimney,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.9.2,Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,finishes_materials,architect
R1001.10,Slab|Wall,Residential (R)|Assembly (A),sd|dd|cd,finishes_materials,architect
R1001.11,Wall|Beam|Column|Slab|BuildingElementProxy,Assembly (A)|Residential (R)|Business (B),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.12,Chimney|Wall|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
R1001.13,Wall|Chimney|Covering|BuildingElementProxy,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,architect
R1002,,,,none,none
R1002.1,Chimney|Wall|BuildingElementProxy,Residential (R)|Assembly (A)|Institutional (I),sd|dd|cd,special_construction,architect
R1002.2,Chimney|Wall|BuildingElementProxy,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,special_construction,architect
R1002.3,Footing|Slab|BuildingElementProxy,Residential (R),sd|dd|cd,assemblies_envelope,architect
R1002.4,Chimney|Footing|Wall,Residential (R),sd|dd|cd,structural_design,structural_engineer
R1002.5,Wall|Slab|BuildingElementProxy,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,fire_resistance_smoke_protection,architect
R1003,,,,none,none
R1003.1,Chimney,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R1003.2,Chimney|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R1003.3,Chimney,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R1003.3.1,Chimney|ReinforcingElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R1003.3.2,Chimney|Wall,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R1003.4,Chimney|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
