id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
11,Slab|Roof|Wall|Window|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect
N1101,,,,none,none
N1101.1,Wall|Roof|Slab,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.2,Wall|Roof|Slab,Residential (R),concept|sd|dd|cd,assemblies_envelope,architect
N1101.3,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.4,Slab|Wall|Roof|Window|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,assemblies_envelope,architect
N1101.5,Slab|Wall|Roof|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.5.1,Wall|Slab|Roof|Door|Window,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.5.2,Roof|Slab|BuildingElementProxy,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.6,Wall|Slab|Roof|Window|CurtainWall,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.7,Slab|Wall|Roof,Residential (R)|Business (B),sd|dd|cd,interior_environment,architect
N1101.7.1,Wall|Roof|Slab,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,interior_environment,architect
N1101.7.2,Wall|Roof|Slab|Window|BuildingElementProxy,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,assemblies_envelope,architect
N1101.8,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd,site_planning,architect
N1101.9,Covering|Window|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,interior_environment,architect
N1101.10,Wall|Roof|Slab|Door|Window,Residential (R),cd|ca,assemblies_envelope,architect
N1101.10.1,Wall|Roof|Slab|Covering|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),cd|ca,assemblies_envelope,architect
N1101.10.1.1,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,assemblies_envelope,architect
N1101.10.2,Wall|Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,assemblies_envelope,architect
N1101.10.3,Window|Door|Roof,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.10.4,Wall|Roof|Slab|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect
N1101.10.4.1,Wall|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect
N1101.10.5,Wall|Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,assemblies_envelope,architect
N1101.10.6,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.11,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,assemblies_envelope,architect
N1101.11.1,Slab|Wall|Footing|Covering,Residential (R)|Assembly (A)|Business (B),dd|cd,assemblies_envelope,architect
N1101.11.2,Roof|Slab|Covering,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,assemblies_envelope,architect
N1101.12,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,mechanical_systems,mechanical_engineer
N1101.13,Wall|Roof|Slab|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.13.1,Wall|Roof|Slab|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.13.2,Wall|Roof|Slab|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.13.3,Wall|Roof|Slab|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1101.13.4,Wall|Roof|Slab|Window|Door,Residential (R)|Assembly (A),sd|dd|cd,assemblies_envelope,architect
N1101.14,Wall|Roof|Slab|Window|Door,Residential (R),cd|ca,assemblies_envelope,architect
N1102,,,,none,none
N1102.1,Wall|Roof|Slab|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.1.1,Wall,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.1.2,Slab|Roof|Wall|Window,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.1.3,Wall|Roof|Slab|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.1.4,Wall|Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,assemblies_envelope,architect
N1102.1.5,Wall|Roof|Slab|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.1.6,Wall|Slab|Door|Covering,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2,Wall|Roof|Slab|Window|Door,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.1,Slab|Roof,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.2,Roof|Slab|Wall,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.3,Wall|Covering,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.3.1,Roof|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.4,Roof|Covering|Slab,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.5,Door|Slab|Stair,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.5.1,Door|Slab|Covering,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.6,Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.7,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.8,Slab|Covering|BuildingElementProxy,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.9,Wall|Slab|Door|Covering,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.9.1,Wall|Slab,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,assemblies_envelope,architect
N1102.2.10,Slab,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.10.1,Slab|Footing|Wall|Pavement,Residential (R)|Business (B)|Educational (E),sd|dd|cd,assemblies_envelope,architect
N1102.2.10.2,Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.11,Wall|Slab,Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.11.1,Wall|Slab|Footing|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect
N1102.2.11.2,Wall|Slab,Residential (R),sd|dd|cd,assemblies_envelope,architect
