id,ifc_type,occupancy,design_phase,code_category,primary_responsibility
4,Footing|Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R401,,,,none,none
R401.1,Footing|Slab|Wall,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R401.2,Footing|Slab|DeepFoundation|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R401.3,Slab|EarthworksElement|Wall,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,site_planning,civil_engineer
R401.4,Footing|Slab|DeepFoundation|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,site_planning,civil_engineer
R401.4.1,Footing|Slab|Wall,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,site_planning,civil_engineer
R401.4.2,EarthworksElement|Footing|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer
R402,,,,none,none
R402.1,Wall|Footing|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer
R402.1.1,Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,finishes_materials,architect
R402.1.2,Wall|Roof|Slab|Beam|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,finishes_materials,architect
R402.2,Slab|Footing|Wall,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,assemblies_envelope,structural_engineer
R402.2.1,Slab|Wall|Footing|Column,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,structural_engineer
R402.3,Wall|Footing|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R402.3.1,Wall|Footing,Residential (R),sd|dd|cd,assemblies_envelope,structural_engineer
R402.4,Wall|Column|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer
R403,,,,none,none
R403.1,Wall|Footing|Slab,Residential (R),sd|dd|cd,structural_design,structural_engineer
