id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
101.1,101 Purpose,General,Door|Ramp|Stair|Elevator|Rampflight,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),concept|sd|dd|cd,accessibility,architect,"This document contains scoping and technical requirements for accessibility to sites, facilities, buildings, and elements by individuals with disabilities. The requirements are to be applied during the design, construction, additions to, and alteration of sites, facilities, buildings, and elements to the extent required by regulations issued by Federal agencies under the Americans with Disabilities Act of 1990 (ADA)."
101.2,101 Purpose,Effect on Removal of Barriers in Existing Facilities,Door|Ramp|Stair|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,accessibility,architect,This document does not address existing facilities unless altered at the discretion of a covered entity. The Department of Justice has authority over existing facilities that are subject to the requirement for removal of barriers under Title III of the ADA. Any determination that this document applies to existing facilities subject to the barrier removal requirement is solely within the discretion of the Department of Justice and is effective only to the extent required by regulations issued by the Department of Justice.
102,102 Dimensions for Adults and Children**,Dimensions for Adults and Children**,Covering|Slab|Buildingelementproxy,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Institutional (I),sd|dd|cd,accessibility,architect,"The technical requirements are based on adult dimensions and anthropometrics. In addition, this document includes technical requirements based on children’s dimensions and anthropometrics for drinking fountains, water closets, toilet compartments, lavatories and sinks, dining surfaces, and work surfaces."
103,103 Equivalent Facilitation,Equivalent Facilitation,Door|Ramp|Stair|Elevator|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,accessibility,architect,"Nothing in these requirements prevents the use of designs, products, or technologies as alternatives to those prescribed, provided they result in substantially equivalent or greater accessibility and usability."
104.1,104 Conventions,Dimensions,Wall|Door|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,means_of_egress,architect,Dimensions that are not stated as “maximum” or “minimum” are absolute.
104.1.1,104 Conventions,Construction and Manufacturing Tolerances,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect,All dimensions are subject to conventional industry tolerances except where the requirement is stated as a range with specific minimum and maximum end points.
104.2,104 Conventions,Calculation of Percentages,Door|Ramp|Rampflight|Stair|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,accessibility,architect,"Where the required number of elements or facilities to be provided is determined by calculations of ratios or percentages and remainders or fractions result, the next greater whole number of such elements or facilities shall be provided. Where the determination of the required size or dimension of an element or facility involves ratios or percentages, rounding down for values less than one half shall be permitted."
104.3,104 Conventions,Figures,Buildingelementproxy,Assembly (A)|Business (B)|Educational (E)|Factory And Industrial (F)|Residential (R),cd,occupancy_classification,architect,"Unless specifically stated otherwise, figures are provided for informational purposes only."
105.1,105 Referenced Standards,General,Buildingelementproxy,Assembly (A)|Business (B)|Educational (E)|Factory And Industrial (F)|High Hazard (H),cd,accessibility,architect,"The standards listed in 105.2 are incorporated by reference in this document and are part of the requirements to the prescribed extent of each such reference. The Director of the Federal Register has approved these standards for incorporation by reference in accordance with 5 U.S.C. 552(a) and 1 CFR part 51. Copies of the referenced standards may be inspected at the Architectural and Transportation Barriers Compliance Board, 1331 F Street, NW, Suite 1000, Washington, DC 20004; at the Department of Justice, Civil Rights Division, Disability Rights Section, 1425 New York Avenue, NW, Washington, DC; at the Department of Transportation, 400 Seventh Street, SW, Room 10424, Washington DC; or at the National Archives and Records Administration (NARA). For information on the availability of this material at NARA, call (202) 741-6030, or go to http://www.archives.gov/federal_register/code_of_federal_regulations/ibr_locations.html."
105.2,105 Referenced Standards,Referenced Standards,Buildingelementproxy,Assembly (A)|Business (B)|Educational (E)|Factory And Industrial (F)|Residential (R),concept|sd|dd|cd,special_construction,architect,"The specific edition of the standards listed below are referenced in this document. Where differences occur between this document and the referenced standards, this document applies."
