id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
9,,Fire Protection and Life Safety Systems,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"User note:About this chapter: Chapter 9 prescribes the minimum requirements for active fire protection equipment systems to perform the functions of detecting a fire, alerting the occupants or fire department of a fire emergency, mass notification, gas detection, controlling smoke and controlling or extinguishing the fire. Generally, the requirements are based on the occupancy, the height and the area of the building, because these are the factors that most affect fire-fighting capabilities and the relative hazard of a specific building or portion thereof. This chapter parallels and is substantially duplicated in Chapter 9 of the International Fire Code®."
901.1,Section 901 General,Scope,Wall|Door|Slab,Assembly (A)|Business (B)|Institutional (I)|Residential (R)|Storage (S),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"The provisions of this chapter shall specify where fire protection and life safety systems are required and shall apply to the design, installation and operation of fire protection and life safety systems."
901.2,Section 901 General,Fire Protection Systems,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Fire protection and life safety systems shall be installed, repaired, operated and maintained in accordance with this code and the International Fire Code. Any fire protection or life safety system for which an exception or reduction to the provisions of this code has been granted shall be considered to be a required system. Exception: Any fire protection or life safety system or portion thereof not required by this code shall be permitted to be installed for partial or complete protection provided that such system meets the requirements of this code."
901.3,Section 901 General,Modifications,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,Persons shall not remove or modify any fire protection system installed or maintained under the provisions of this code or the International Fire Code without approval by the building official.
901.4,Section 901 General,Threads,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Threads provided for fire department connections to sprinkler systems, standpipes, yard hydrants or any other fire hose connection shall be compatible with the connections used by the local fire department."
901.5,Section 901 General,Acceptance Tests,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"Fire protection systems shall be tested in accordance with the requirements of this code and the International Fire Code. Where required, the tests shall be conducted in the presence of the building official. Tests required by this code, the International Fire Code and the standards listed in this code shall be conducted at the expense of the owner or the owner's authorized agent. It shall be unlawful to occupy portions of a structure until the required fire protection systems within that portion of the structure have been tested and approved. Within 30 days after the completion of the installation, a copy of the acceptance test certificate must be forwarded by the firm conducting the test to the division of fire and life safety or the deferred authority having jurisdiction."
901.6,Section 901 General,Supervisory Service,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Where required, fire protection systems shall be monitored by an approved supervising station in accordance with NFPA 72."
901.6.1,Section 901 General,Automatic Sprinkler Systems,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Automatic sprinkler systems shall be monitored by an approved supervising station.Exceptions: A supervising station is not required for automatic sprinkler systems protecting one- and two-family dwellings.Limited area systems in accordance with Section 903.3.8.
901.6.2,Section 901 General,Integrated Testing,BuildingElementProxy|Door|Window|Wall,Assembly (A)|Business (B)|Institutional (I)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"Where two or more fire protection or life safety systems are interconnected, the intended response of subordinate fire protection and life safety systems shall be verified when required testing of the initiating system is conducted. In addition, integrated testing shall be performed in accordance with Sections 901.6.2.1 and 901.6.2.2."
901.6.2.1,Section 901 General,High-Rise Buildings,BuildingElementProxy|FireProtection,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"For high-rise buildings, integrated testing shall comply with NFPA 4, with an integrated test performed prior to issuance of the certificate of occupancy and at intervals not exceeding 10 years, unless otherwise specified by an integrated system test plan prepared in accordance with NFPA 4. If an equipment failure is detected during integrated testing, a repeat of the integrated test shall not be required, except as necessary to verify operation of fire protection or life safety functions that are initiated by equipment that was repaired or replaced."
901.6.2.2,Section 901 General,Smoke Control Systems,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,"Where a fire alarm system is integrated with a smoke control system as outlined in Section 909, integrated testing shall comply with NFPA 4, with an integrated test performed prior to issuance of the certificate of occupancy and at intervals not exceeding 10 years, unless otherwise specified by an integrated system test plan prepared in accordance with NFPA 4. If an equipment failure is detected during integrated testing, a repeat of the integrated test shall not be required, except as necessary to verify operation of fire protection or life safety functions that are initiated by equipment that was repaired or replaced."
