id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
9,,Roof Assemblies,Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"User note: About this chapter: Chapter 9 addresses the design and construction of roof assemblies. A roof assembly includes the roof deck, substrate or thermal barrier, insulation, vapor retarder and roof covering. This chapter provides the requirement for wind resistance of roof coverings. The types of roof covering materials and installation addressed by Chapter 9 are: asphalt shingles, clay and concrete tile, metal roof shingles, mineral-surfaced roll roofing, slate and slate-type shingles, wood shakes and shingles, built-up roofs, metal roof panels, modified bitumen roofing, thermoset and thermoplastic single-ply roofing, sprayed polyurethane foam roofing, liquid applied coatings and photovoltaic shingles. Chapter 9 also provides requirements for roof drainage, flashing, above-deck thermal insulation, rooftop-mounted photovoltaic systems and recovering or replacing an existing roof covering."
R901.1,Chapter 9 Roof Assemblies,Scope,Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"The provisions of this chapter shall govern the design, materials, construction and quality of roof assemblies."
R902.1,Chapter 9 Roof Assemblies,Roofing Covering Materials,Roof|Covering|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,"Roofs shall be covered with materials as set forth in Sections R904 and R905. Class A, B or C roofing shall be installed in jurisdictions designated by law as requiring their use or where the edge of the roof is less than 3 feet (914 mm) from a lot line. Class A, B and C roofing required by this section to be listed shall be tested in accordance with UL 790 or ASTM E108.Exceptions:Class A roof assemblies include those with coverings of brick, masonry and exposed concrete roof deck.Class A roof assemblies include ferrous or copper shingles or sheets, metal sheets and shingles, clay or concrete roof tile, or slate installed on noncombustible decks.Class A roof assemblies include minimum 16 ounces per square foot copper sheets installed over combustible decks. Class A roof assemblies include slate installed over underlayment over combustible decks."
R902.2,Chapter 9 Roof Assemblies,Fire-Retardant-Treated Shingles and Shakes,Roof|Covering,Residential (R),sd|dd|cd,finishes_materials,architect,"Fire-retardant-treated wood shakes and shingles shall be treated by impregnation with chemicals by the full-cell vacuum-pressure process, in accordance with AWPA C1. Each bundle shall be marked to identify the manufactured unit and the manufacturer, and shall be labeled to identify the classification of the material in accordance with the testing required in Section R902.1, the treating company and the quality control agency."
R902.3,Chapter 9 Roof Assemblies,Building-Integrated Photovoltaic Product,Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"Building-integrated photovoltaic products installed as the roof covering shall be tested, listed and labeled for fire classification in accordance with Section R902.1."
R902.4,Chapter 9 Roof Assemblies,Rooftop-Mounted Photovoltaic Panel Systems,Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"Rooftop-mounted photovoltaic panel systems installed on or above the roof covering shall be tested, listed and identified with a fire classification in accordance with UL 1703 and UL 2703. Class A, B or C photovoltaic panel systems and modules shall be installed in jurisdictions designated by law as requiring their use or where the edge of the roof is less than 3 feet (914 mm) from a lot line."
R903.1,Chapter 9 Roof Assemblies,General,Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,Roof decks shall be covered with approved roof coverings secured to the building or structure in accordance with the provisions of this chapter. Roof assemblies shall be designed and installed in accordance with this code and the approved manufacturer's instructions such that the roof assembly shall serve to protect the building or structure.
R903.2,Chapter 9 Roof Assemblies,Flashing,Wall|Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"Flashings shall be installed in a manner that prevents moisture from entering the wall and roof through joints in copings, through moisture permeable materials and at intersections with parapet walls and other penetrations through the roof plane."
R903.2.1,Chapter 9 Roof Assemblies,Locations,Wall|Roof|Covering|Slab|Window,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,"Flashings shall be installed at wall and roof intersections, wherever there is a change in roof slope or direction and around roof openings. A flashing shall be installed to divert the water away from where the eave of a sloped roof intersects a vertical sidewall. Where flashing is of metal, the metal shall be corrosion resistant with a thickness of not less than 0.019 inch (0.5 mm) (No. 26 galvanized sheet)."
R903.2.2,Chapter 9 Roof Assemblies,Crickets and Saddles,Chimney|Roof|Covering,Residential (R),sd|dd|cd,assemblies_envelope,architect,A cricket or saddle shall be installed on the ridge side of any chimney or penetration more than 30 inches (762 mm) wide as measured perpendicular to the slope. Cricket or saddle coverings shall be sheet metal or of the same material as the roof covering.Exception: Unit skylights installed in accordance with Section R308.6 and flashed in accordance with the manufacturer's instructions shall be permitted to be installed without a cricket or saddle.
