id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
5,,Prescriptive Compliance Method,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLECHAPTER 5 — PRESCRIPTIVE COMPLIANCE METHOD (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter X X Adopt Entire Chapter as amended (amended sections listed below) X X X Adopt only those sections that are listed below X X X X X X X X Chapter / Section 501 X X X X 501.1 X X X 501.1 — 501.3 X 501.1.2 X 501.3 † † † 501.4 — 501.5.1 X 501.5 X 502 X X X X 502.1 X X X X 502.1.2 X 502.2 — 502.3 X 502.5 X X † † † 502.6 † † † 503 X X X X 503.1 X X 503.2 X 503.3 X X X 503.14 X † † † 503.15 X 503.16 — 503.17 X † † † 503.18 † † † 503.19 X † † † 503.20 X 504 X † † † X X X X 505 X X X X X 505.2 X X 506 X X X X 506.1 — 506.1.1 X X 506.1.2 X X X X 506.2 — 506.3 X X 506.4 X 506.5 Exception X 506.6 † † † The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 5 provides details for the prescriptive compliance method—one of the three main options of compliance available in this code for buildings and structures undergoing alteration, addition or change of occupancy."
501.1,Section 501 General,Scope,Wall|Slab|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,"The provisions of this chapter shall control the alteration, addition and change of occupancy of existing buildings and structures, including historic buildings and structures, [BSC] including state-regulated structures in accordance with Section 501.1.2. Historic buildings and structures shall comply with Part 8, Title 24, C.C.R. Exceptions: [HCD 2] For relocated or moved buildings and maintenance, alteration, repair, addition or change of occupancy to existing buildings and accessory structures in mobilehome parks or special occupancy parks as provided in Section 1.8.2.1.3. See California Code of Regulations, Title 25, Division 1, Chapters 2 and 2.2. [HCD 1] Limited-density owner-built rural dwellings. [HCD 1] In addition to the requirements in this chapter, maintenance, alteration, repair, addition or change of occupancy to existing buildings and accessory structures under the authority of the Department of Housing and Community Development, as provided in Section 1.8.2.1.1, shall comply with California Code of Regulations, Title 25, Division 1, Chapter 1, Subchapter 1."
501.1.1,Section 501 General,Compliance With Other Methods,Wall|Door|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions and changes of occupancy to existing buildings and structures shall comply with the provisions of this chapter or with one of the methods provided in Section 301.3."
501.1.2,Section 501 General,Existing State-Owned Structures,Wall|Column|Beam|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"[BSC] The provisions of Sections 317 through 322 establish minimum standards for earthquake evaluation and design for retro-fit of existing state-owned structures, including buildings owned by the University of California, the California State University and the Judicial Council. The provisions of Sections 317 through 322 may be adopted by a local jurisdiction for earthquake evaluation and design for retro fit of existing buildings."
501.2,Section 501 General,Fire-Resistance Ratings,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),dd|cd,fire_resistance_smoke_protection,architect,"Where approved by the code official, in buildings where an automatic sprinkler system installed in accordance with Section 903.3.1.1 or 903.3.1.2 of the California Building Code has been added, and the building is now sprinklered throughout, the required fire-resistance ratings of building elements and materials shall be permitted to meet the requirements of the current building code. The building is required to meet the other applicable requirements of the California Building Code.Plans, investigation and evaluation reports, and other data shall be submitted indicating which building elements and materials the applicant is requesting the code official to review and approve for determination of applying the current building code fire-resistance ratings. Any special construction features, including fire-resistance-rated assemblies and smoke-resistive assemblies, conditions of occupancy, means of egress conditions, fire code deficiencies, approved modifications or approved alternative materials, design and methods of construction, and equipment applying to the building that impact required fire-resistance ratings shall be identified in the evaluation reports submitted."
501.3,Section 501 General,Health Care Facilities,BuildingElementProxy,Institutional (I),sd|dd|cd,mechanical_systems,mechanical_engineer,"In Group I-2 facilities, ambulatory care facilities and outpatient clinics, any altered or added portion of an existing electrical or medical gas systems shall be required to meet installation and equipment requirements in NFPA 99."
501.4,Section 501 General,Existing Group R Occupancies,BuildingElementProxy,Residential (R),sd|dd|cd,occupancy_classification,architect,[SFM] See the California Residential Code for existing Group R-3 occupancies or Chapter 11 of the California Fire Code for all other existing Group R occupancies.
501.5,Section 501 General,Carbon Monoxide Alarms,BuildingElementProxy,Residential (R),sd|dd|cd,fire_protection_alarm_systems,architect,"[HCD 1, SFM] Pursuant to Health and Safety Code Section 17926, carbon monoxide detection shall be provided in all existing Group R buildings, as required in Section 915 of the California Building Code or Section R315 of the California Residential Code, as applicable."
501.5.1,Section 501 General,Carbon Monoxide Detection in Alterations to an Existing Group E Building,BuildingElementProxy,Educational (E),sd|dd|cd,fire_protection_alarm_systems,architect,"Where the alteration adds any of the conditions identified in the California Fire Code Sections 915.1.2 through 915.1.6 to an existing Group E building, not previously required to be provided with carbon monoxide detection, new carbon monoxide detection shall be installed in accordance with Section 915 of the California Fire Code. Exceptions: The alteration replaces an existing fossil-fuel burning appliance, fireplace or forced-air furnace, or any of the conditions identified in Sections 915.1.2 through 915.1.6 are already present. The Group E building was constructed before the adoption of the 2016 California Building Standards Code."
502.1,Section 502 Additions,General,Wall|Slab|Roof|Stair|Elevator,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect,"Additions to any building or structure shall comply with the requirements of the California Building Code or California Residential Code, as applicable, for new construction. Alterations to the existing building or structure shall be made to ensure that the existing building or structure together with the addition are not less complying with the provisions of the California Building Code than the existing building or structure was prior to the addition except that the structural elements need only comply with Sections 502.2 through 502.3. An existing building together with its additions shall comply with the height and area provisions of Chapter 5 of the California Building Code. Where a new occupiable roof is added to a building or structure, the occupiable roof shall comply with the provisions of the California Building Code. [OSHPD 1R, 2, 4 &amp; 5] Structural elements shall comply with all the provisions of Section 502. Exceptions: In-filling of floor openings and nonoccupiable appendages such as elevator and exit stairway shafts shall be permitted beyond that permitted by the California Building Code. [BSC] For state-owned buildings, including those owned by the University of California and the California State University and the Judicial Council, structural elements shall also comply with the requirements of Sections 317 through 322."
