id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
9,,Alterations—Level 3,Wall|Stair|Slab|Door|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLE CHAPTER 9 — ALTERATIONS—LEVEL 3 (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter X X Adopt Entire Chapter as amended (amended sections listed below) X Adopt only those sections that are listed below Chapter / Section 901.2 Exception † † 902.1 Reserved X 902.2 — 902.2.1 X 902.2 — 902.3 † † 903.4 † † 904.1 X 904.2 X 904.2.1 X 908 † † The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 9 provides the technical requirements for those existing buildings that undergo Level 3 alterations. The purpose of this chapter is to provide detailed requirements and provisions to identify the required improvements in the existing building elements, building spaces and building structural system. This chapter is distinguished from Chapters 7 and 8 by involving alterations that cover 50 percent or more of the aggregate area of the building. In contrast, Level 1 alterations do not involve space reconfiguration, and Level 2 alterations involve extensive space reconfiguration that does not exceed 50 percent of the building area. Depending on the nature of alteration work, its location within the building, and whether it encompasses one or more tenants, improvements and upgrades could be required for the open floor penetrations, sprinkler system or the installation of additional means of egress such as stairs or fire escapes. At times and under certain situations, this chapter also is intended to improve the safety of certain building features beyond the work area and in other parts of the building where no alteration work might be taking place."
901.1,Section 901 General,Scope,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Level 3 alterations as described in Section 604 shall comply with the requirements of this chapter.
901.2,Section 901 General,Compliance,Wall|Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,means_of_egress,architect,"In addition to the provisions of this chapter, work shall comply with all of the requirements of Chapters 7 and 8. The requirements of Sections 802, 803, 804 and 805 shall apply within all work areas whether or not they include exits and corridors shared by more than one tenant and regardless of the occupant load. Exception: Buildings in which the reconfiguration of space affecting exits or shared egress access is exclusively the result of compliance with the accessibility requirements of Section 306.7.1 shall not be required to comply with this chapter."
902.2,Section 902 Special Use and Occupancy,Group R-2.1 Occupancies,BuildingElementProxy,Residential (R),concept|sd|dd|cd,occupancy_classification,architect,Group R-2.1 occupancies shall be classified in accordance with Section 308.2 of the California Building Code.
902.2.1,Section 902 Special Use and Occupancy,Smoke Barriers in Group R-2.1,Wall,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"In Group R-2.1 occupancies where the work area is on a story used for sleeping rooms for more than 30 care recipients, the story shall be divided into not fewer than two compartments by smoke barrier walls in accordance with Section 420.6 of the California Building Code."
902.3,Section 902 Special Use and Occupancy,Ambulatory Care Facilities,Wall|Door|Slab,Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect,"Where a Level 3 work area includes an existing ambulatory care facility, the following shall be provided:A smoke compartment in accordance with Section 422.3 of the California Building Code, where the alteration results in an ambulatory care facility greater than 10,000 square feet on one story.Separation from adjacent spaces in accordance with Section 422.2 of the California Building Code, where any such facility has the potential for four or more care recipients incapable of self-preservation at any time."
903.1,Section 903 Building Elements and Materials,Existing Shafts and Vertical Openings,Stair|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,"Existing stairways that are part of the means of egress shall be enclosed in accordance with Section 802.2.1 from the highest work area floor to, and including, the level of exit discharge and all floors below."
903.2,Section 903 Building Elements and Materials,Fire Partitions in Group R-3,Wall|Slab|Door,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,Fire separation in Group R-3 occupancies shall be in accordance with Section 903.2.1.
903.2.1,Section 903 Building Elements and Materials,Separation Required,Wall,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"Where the work area is in any attached dwelling unit in Group R-3 or any multiple single-family dwelling (townhouse), walls separating the dwelling units that are not continuous from the foundation to the underside of the roof sheathing shall be constructed to provide a continuous fire separation using construction materials consistent with the existing wall or complying with the requirements for new structures. Work shall be performed on the side of the dwelling unit wall that is part of the work area. Exception: Where alterations or repairs do not result in the removal of wall or ceiling finishes exposing the structure, walls are not required to be continuous through concealed floor spaces."
903.3,Section 903 Building Elements and Materials,Interior Finish,Wall|Door|Stair|StairFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,finishes_materials,architect,Interior finish in exits serving the work area shall comply with Section 802.4 between the highest floor on which there is a work area to the floor of exit discharge.
903.4,Section 903 Building Elements and Materials,Enhanced Classroom Acoustics,Wall|Ceiling|Slab|BuildingElementProxy,Educational (E),sd|dd|cd,interior_environment,architect,"In Group E occupancies, where the work area is a Level 3 alteration, enhanced classroom acoustics shall be provided in all classrooms with a volume of 20,000 cubic feet (565 m3) or less. Enhanced classroom acoustics shall comply with the reverberation time in Section 808 of ICC A117.1."
904.1,Section 904 Fire Protection,Automatic Sprinkler Systems,BuildingElementProxy|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,An automatic sprinkler system shall be provided in accordance with Section 903 of the California Building and California Fire Codes.
904.2,Section 904 Fire Protection,Fire Alarm and Detection Systems,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Fire alarm and detection shall be provided in accordance with Section 907 of the California Building Code as required for new construction in accordance with California Fire Code Sections 907 and 1103.7.
904.2.1,Section 904 Fire Protection,Systems Out of Service,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,Existing fire alarm and detection systems shall be maintained in accordance with Section 901.7 of the California Fire Code. Site fire protection during construction shall be in accordance with Chapter 33 of the California Building and California Fire Codes.
