id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1,,Administration,,,,,,"CALIFORNIA RESIDENTIAL CODE — MATRIX ADOPTION TABLECHAPTER 1 — ADMINISTRATION (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user.See Chapter 1 for state agency authority and building applications.) Adopting agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 Adopt entire chapter Adopt entire chapter as amended (amended sections listed below) Adopt only those sections that are listed below X X X Chapter / Section Division I California Administration 1.1 through 1.1.12 X X 1.8 through 1.8.10.2 X 1.11 through 1.11.11 X Division II Scope and Administration R101.2 X X R102.8 X R104.3 X R104.6 X R104.7.2 X R104.7.3 X R104.9 - R104.9.1 X R105.1 X R105.2 Building: Items 1 - 10 X X X Electrical: † Gas: † Mechanical: † Plumbing: † R105.2.1 - R105.2.2 X R105.3 - R105.3.1 X R105.4 X R105.5.1 X X R105.6 X R105.7 X R106 - R106.5 X R106.1 X R106.1.1 X R106.1.3 X R106.1.4 X R106.1.6 X R106.2 X R107 - R107.4 X R109.1 X X R109.1.1 X R109.1.1.1 X R109.1.2 X † R109.1.3 X R109.1.4 X X R109.1.4.1 X R109.1.4.2 X R109.1.5 X X R109.1.5.1 X X R109.1.5.2 X R109.1.5.3 X R109.1.6 X X R109.1.6.1 X R109.1.6.2 X R109.2 - R109.4 X R110 - R110.4 X R111 - R111.3 X R113.1 - R113.2 X R114.1 - R114.4 X The state agency does not adopt sections identified with the following symbol: †"
1.1.1,Chapter 1 Administration,Title,,,,,,"These regulations shall be known as the California Residential Code, may be cited as such and will be referred to herein as ""this code."" The California Residential Code is Part 2.5 of thirteen parts of the official compilation and publication of the adoption, amendment and repeal of building regulations to the California Code of Regulations, Title 24, also referred to as the California Building Standards Code. This part incorporates by adoption the 2024 International Residential Code of the International Code Council with necessary California amendments."
1.1.2,Chapter 1 Administration,Purpose,,,,,,"The purpose of this code is to establish the minimum requirements to safeguard the public health, safety and general welfare through structural strength, means of egress facilities, stability, access to persons with disabilities, sanitation, adequate lighting and ventilation and energy conservation; safety to life and property from fire and other hazards attributed to the built environment; and to provide safety to fire fighters and emergency responders during emergency operations."
1.1.3,Chapter 1 Administration,Scope,,,,,,"The provisions of this code shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, maintenance, removal and demolition of every detached one- and two-family dwelling and townhouse not more than three stories above grade plane in height with a separate means of egress and structures accessory thereto throughout the State of California.Exceptions:Live/work units complying with the requirements of Section 508.5 of the California Building Code shall be permitted to be constructed as one- and two-family dwellings or townhouses in accordance with this code, as applicable. Fire suppression required by Section 508.5.7 of the California Building Code when constructed under the California Residential Code for one- and two-family dwellings shall conform to Section 903.3.1.3 of the California Building Code.Owner-occupied lodging houses with five or fewer guestrooms shall be permitted to be constructed in accordance with the California Residential Code for one- and two-family dwellings when equipped with a fire sprinkler system in accordance with Section R309."
1.1.3.1,Chapter 1 Administration,Classification,,,,,,"Structures or portions of structures shall be classified with respect to occupancy in one or more of the groups listed in Chapter 3 of the California Building Code. A room or space that is intended to be occupied at different times for different purposes shall comply with all of the requirements that are applicable to each of the purposes for which the room or space will be occupied. Structures with multiple occupancies or uses shall comply with Section 508 of the California Building Code. Where a structure is proposed for a purpose that is not specifically provided for in this code, such structure shall be classified in the group that the occupancy most nearly resembles, according to the fire safety and relative hazard involved in accordance with this code or the California Building Code.Note: Live/work units complying with the requirements of Section 508.5 of the California Building Code are classified as a Group R-2 occupancy and are permitted to be constructed as one- and two-family dwellings or townhouses in accordance with this code."
1.1.3.1.1,Chapter 1 Administration,Utility and Miscellaneous Group U,,,,,,"Buildings and structures of an accessory character and miscellaneous structures not classified in any specific occupancy shall be constructed, equipped and maintained to conform to the requirements of this code commensurate with the fire and life hazard incidental to their occupancy. Group U shall include, but not be limited to, the following:Agricultural buildingsAircraft hangars, accessory to a one- or two-family residence (see Section 412.5 of the California Building Code)BarnsCarportsFences more than 7 feet (2134 mm) highGrain silos, accessory to a residential occupancyGreenhousesLivestock sheltersPrivate garagesRetaining wallsShedsStablesTanksTowers"
1.1.3.2,Chapter 1 Administration,"Regulated Buildings, Structures and Applications",,,,,,"The model code, state amendments to the model code and/or state amendments where there are no relevant model code provisions shall apply to detached one- and two-family dwellings, lodging houses, live/work units, townhouses and structures accessory thereto. State agencies with regulatory authority as specified in Sections 1.2 through 1.14, except where modified by local ordinance pursuant to Section 1.1.8. When adopted by a state agency, the provisions of this code shall be enforced by the appropriate enforcing agency, but only to the extent of authority granted to such agency by the state legislature. Note: See ""How to Distinguish Between Model Code Language and California Amendments"" following the Preface. One- and two-family dwellings, townhouses, employee housing, factory-built housing and other types of dwellings containing sleeping accommodations with common toilets or cooking facilities. See Section 1.8.2.1.1. Permanent buildings and permanent accessory buildings or structures constructed within mobilehome parks and special occupancy parks regulated by the Department of Housing and Community Development. See Section 1.8.2.1.3. Applications regulated by the Office of the State Fire Marshal include, but are not limited to, the following in accordance with Section 1.11: Buildings or structures used or intended for use as a/an: Home for the elderly, children's nursery, children's home or institution, school or any similar occupancy of any capacity Small family day-care homes, large family day-care homes, residential facilities and residential facilities for the elderly, residential care facilities State institutions or other state-owned or state-occupied buildings Residential structures Tents, awnings or other fabric enclosures used in connection with any occupancy Fire alarm devices, equipment and systems in connection with any occupancy Wildland-urban interface fire areas"
1.1.4,Chapter 1 Administration,Appendices,,,,,,"Provisions contained in the appendices of this code shall not apply unless specifically adopted by a state agency or adopted by a local enforcing agency in compliance with Health and Safety Code Section 18901 et seq. for Building Standards Law, Health and Safety Code Section 17950 for State Housing Law and Health and Safety Code Section 13869.7 for Fire Protection Districts. See Section 1.1.8 of this code."
1.1.5,Chapter 1 Administration,Referenced Codes,,,,,,"The codes, standards and publications adopted and set forth in this code, including other codes, standards and publications referred to therein are, by title and date of publication, hereby adopted as standard reference documents of this code. When this code does not specifically cover any subject related to building design and construction, recognized architectural or engineering practices shall be employed. The National Fire Codes, standards and the Fire Protection Handbook of the National Fire Protection Association are permitted to be used as authoritative guides in determining recognized fire prevention engineering practices."
1.1.6,Chapter 1 Administration,"Nonbuilding Standards, Orders and Regulations",,,,,,"Requirements contained in the International Residential Code, or in any other referenced standard, code or document, which are not building standards as defined in Health and Safety Code Section 18909, shall not be construed as part of the provisions of this code. For nonbuilding standards, orders and regulations, see other titles of the California Code of Regulations."
