id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
9,,Roof Assemblies,Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"CALIFORNIA RESIDENTIAL CODE — MATRIX ADOPTION TABLE CHAPTER 9 — ROOF ASSEMBLIES(Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user.See Chapter 1 for state agency authority and building applications.) Adopting agencyBSCBSC-CGSFMHCDDSAOSHPDBSCCDPHAGRDWRCECCASLSLC121/ACACSSSS/CC11R2345Adopt entire chapterAdopt entire chapter as amended (amended sections listed below)XAdopt only those sections that are listed belowXChapter / SectionR901.1XR902.1 - R902.4XR903.4.1XR904.1 - R904.4XR905.15XR905.16XR907.1XR907.2 — R907.5XR909XThe state agency does not adopt sections identified with the following symbol: †User notes:About this chapter: Chapter 9 addresses the design and construction of roof assemblies. A roof assembly includes the roof deck, substrate or thermal barrier, insulation, vapor retarder and roof covering. This chapter provides the requirement for wind resistance of roof coverings. The types of roof covering materials and installation addressed by Chapter 9 are: asphalt shingles, clay and concrete tile, metal roof shingles, mineral-surfaced roll roofing, slate and slate-type shingles, wood shakes and shingles, built-up roofs, metal roof panels, modified bitumen roofing, thermoset and thermoplastic single-ply roofing, sprayed polyurethane foam roofing, liquid applied coatings and building-integrated photovoltaic (BIPV) roof coverings. Chapter 9 also provides requirements for roof drainage, flashing, above-deck thermal insulation, rooftop-mounted photovoltaic systems and recovering or replacing an existing roof covering."
R901.1,Chapter 9 Roof Assemblies,Scope,Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"The provisions of this chapter shall govern the design, materials, construction and quality of roof assemblies."
R902.1,Chapter 9 Roof Assemblies,Roof Assemblies,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,assemblies_envelope,architect,"Roof decks shall be covered with materials as set forth in Section R904 or with roof coverings as set forth in Section R905. A minimum Class A, B or C roofing shall be installed in areas designated by this section or where the edge of the roof deck is less than 3 feet (914 mm) from a lot line. Where Class A, B or C roof assemblies are required, they shall be tested in accordance with ASTM E108 or UL 790. Where required, the roof assembly shall be listed and identified as to class by an approved testing agency. Exceptions: Class A roof assemblies include those with coverings of brick, masonry and exposed concrete roof deck. Class A roof assemblies include ferrous or copper shingles or sheets, metal sheets and shingles, clay or concrete roof tile, or slate installed on noncombustible roof decks or ferrous, copper or metal sheets installed without a roof deck on noncombustible framing. Class A roof assemblies include minimum 16 ounces per square foot (4.882 kg/m2) copper sheets installed over combustible roof decks. Class A roof assemblies include slate installed over underlayment over ASTM D226, Type II underlayment over combustible decks."
R902.1.1,Chapter 9 Roof Assemblies,Roofing Requirements Within Fire Hazard Severity Zones or in Wildland-Urban Interface (WUI) Area,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,fire_resistance_smoke_protection,architect,"Roofing requirements for structures located within Fire Hazard Severity Zones or in a Wildland-Urban Interface (WUI) area shall also comply with Part 7, California Wildland-Urban Interface Code."
R902.1.2,Chapter 9 Roof Assemblies,Roof Coverings in All Other Areas Other Than Fire Hazard Severity Zones or a Wildland-Urban Interface (WUI) Area,Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,fire_resistance_smoke_protection,architect,"The entire roof covering of every existing structure where more than 50 percent of the total roof area is replaced within any one-year period, the entire roof covering of every new structure, and any roof covering applied in the alteration, repair or replacement of the roof of every existing structure, shall be a fire-retardant roof covering that is at least Class C fire classification."
R902.2,Chapter 9 Roof Assemblies,Fire-Retardant-Treated Shingles and Shakes,Roof|Covering,Residential (R),sd|dd|cd,finishes_materials,architect,"Fire-retardant-treated wood shakes and shingles are wood shakes and shingles complying with UBC Standard 15-3 or 15-4 which are impregnated by the full-cell vacuum-pressure process with fire-retardant chemicals, and which have been qualified by UBC Standard 15-2 or ASTM E108 or UL 790 for use on Class A, B or C roofs. Fire-retardant-treated wood shakes and shingles shall comply with ICC-ES EG107 and with the weathering requirements contained in Health and Safety Code Section 13132.7 (j). Each bundle shall bear labels from an ICBO accredited quality control agency identifying their roof-covering classification and indicating their compliance with ICC-ES EG107 and with the weathering requirements contained in Health and Safety Code Section 13132.7 (j).Health and Safety Code Section 13132.7 (j) No wood roof covering materials shall be sold or applied in this state unless both of the following conditions are met: The materials have been approved and listed by the State Fire Marshal as complying with the requirements of this section. The materials have passed at least five years of the 10-year natural weathering test. The 10-year natural weathering test required by this subdivision shall be conducted in accordance with Standard 15-2 of the 1994 edition of the Uniform Building Code at a testing facility recognized by the State Fire Marshal."
R902.3,Chapter 9 Roof Assemblies,Building-Integrated Photovoltaic (BIPV) Systems,Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"Building-integrated photovoltaic (BIPV) systems installed as the roof covering shall be tested, listed and labeled for fire classification in accordance with UL 7103 [SFM] Section R902.1 through R902.1.2. Class A, B or C BIPV products shall be installed where the edge of the roof is less than 3 feet (914 mm) from a lot line."
R902.4,Chapter 9 Roof Assemblies,Rooftop-Mounted Photovoltaic (PV) Panel Systems,Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,"Rooftop-mounted photovoltaic (PV) panel systems installed on or above the roof covering shall be tested, listed and identified with a fire classification in accordance with UL 2703. Listed systems shall be installed in accordance with the manufacturer's installation instructions and their listing. Class A, B or C photovoltaic panel systems and modules shall be installed in jurisdictions designated by law as requiring their use or where the edge of the roof is less than 3 feet (914 mm) from a lot line."
R903.1,Chapter 9 Roof Assemblies,General,Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,Roof decks shall be covered with approved roof coverings secured to the building or structure in accordance with the provisions of this chapter. Roof assemblies shall be designed and installed in accordance with this code and the approved manufacturer's instructions such that the roof assembly shall serve to protect the building or structure.
R903.2,Chapter 9 Roof Assemblies,Flashing,Wall|Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"Flashings shall be installed in a manner that prevents moisture from entering the wall and roof through joints in copings, through moisture permeable materials and at intersections with parapet walls and other penetrations through the roof plane."
