id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
1,,Scope and Administration,"User notes: About this chapter: Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections 101—102) and Part 2—Administration and Enforcement (Sections 103—116). Section 101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section 102.4). This code is intended to be adopted as a legally enforceable document and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the code official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner. Chapter 1 is largely concerned with maintaining ""due process of law"" in enforcing the building performance criteria contained in the body of the code. Code development reminder: Code change proposals to this chapter will be considered by the Administrative Code Development Committee during the 2022 (Group B) Code Development Cycle.",,,,,
101.1,Section 101 Scope and General Requirements,Title,The 2021 International Building Code as amended in this section shall be known as the 2021 International Building Code portion of the 2022 Connecticut State Building Code.,,,,,
new_101.1.1,Section 101 Scope and General Requirements,Statutes,"Pursuant to sections 29-252a and 29-253 of the Connecticut General Statutes, respectively, this code shall be the building code for all towns, cities and boroughs and all state agencies.",,,,,
101.2,Section 101 Scope and General Requirements,Scope,"The provisions of this code shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, maintenance, removal and demolition of every building or structure or any appurtenances connected or attached to such buildings or structures. Exception: Detached one- and two-family dwellings and multiple single-family dwellings (townhouses) not more than three stories above grade plane in height with a separate means of egress and their accessory structures not more than three stories above grade plane in height, shall comply with the 2021 International Residential Code portion of the 2022 Connecticut State Building Code.",,,,,
101.2.1,Section 101 Scope and General Requirements,Appendices,"The provisions of Appendices C, H, I and P shall be incorporated into the requirements of this code.",,,,,
101.3,Section 101 Scope and General Requirements,Purpose,"The purpose of this code is to establish the minimum requirements to provide a reasonable level of safety, health and general welfare through structural strength, means of egress, stability, sanitation, light and ventilation, energy conservation, and for providing a reasonable level of life safety and property protection from the hazards of fire, explosion or dangerous conditions, and to provide a reasonable level of safety to fire fighters and emergency responders during emergency operations.",,,,,
101.4,Section 101 Scope and General Requirements,Referenced Codes,The other codes specified in Sections 101.4.1 through 101.4.7 and referenced elsewhere in this code shall be considered to be part of the requirements of this code to the prescribed extent of each such reference.,,,,,
101.4.1,Section 101 Scope and General Requirements,Gas,"The International Fuel Gas Code is not adopted by the state of Connecticut. Any references to the International Fuel Gas Code within the body of this code shall be considered references to requirements of NFPA 2, Hydrogen Technologies Code; NFPA 54, National Fuel Gas Code; and NFPA 58, Liquefied Petroleum Gas Code, as adopted in the 2022 Connecticut State Fire Safety Code and the 2022 Connecticut State Fire Prevention Code. These requirements apply to liquid petroleum storage systems, gas piping systems extending from the point of delivery to the inlet connections of appliances, the installation and operation of residential and commercial gas appliances, and related accessories as covered by this code.",,,,,
101.4.2,Section 101 Scope and General Requirements,Mechanical,"The provisions of the International Mechanical Code shall apply to the installation, alterations, repairs and replacement of mechanical systems, including equipment, appliances, fixtures, fittings and appurtenances, including ventilating, heating, cooling, air-conditioning and refrigeration systems, incinerators and other energy-related systems.",,,,,
101.4.3,Section 101 Scope and General Requirements,Plumbing,"The provisions of the International Plumbing Code shall apply to the installation, alterations, repairs and replacement of plumbing systems (including equipment, appliances, fixtures, fittings and appurtenances) where such systems are connected to a water or sewage system and to all aspects of a medical gas system. The International Private Sewage Disposal Code is not adopted by the state of Connecticut. Any reference to the International Private Sewage Disposal Code within the body of this code shall be deemed a reference to the regulations adopted pursuant to section 19a-36 of the Connecticut General Statutes, known as the Public Health Code.",,,,,
