id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
14,,Heating and Cooling Equipment and Appliances,BuildingElementProxy,Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"User notes:About this chapter: Chapter 14 addresses the indoor environmental control systems and appliances typically found in dwelling units. Coverage includes general requirements for equipment and appliance sizing, condensate disposal, access and support, and specific coverage for more than a dozen different types of space conditioning equipment and appliances common to dwelling units.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle."
M1401.1,Chapter 14 Heating and Cooling Equipment and Appliances,Installation,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,mechanical_systems,mechanical_engineer,Heating and cooling equipment and appliances shall be installed in accordance with the manufacturer's instructions and the requirements of this code.
M1401.2,Chapter 14 Heating and Cooling Equipment and Appliances,Access,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Heating and cooling equipment and appliances shall be located with respect to building construction and other equipment and appliances to permit maintenance, servicing and replacement. Clearances shall be maintained to permit cleaning of heating and cooling surfaces; replacement of filters, blowers, motors, controls and vent connections; lubrication of moving parts; and adjustments.Exception: Access shall not be required for ducts, piping, or other components approved for concealment."
M1401.3,Chapter 14 Heating and Cooling Equipment and Appliances,Equipment and Appliance Sizing,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,mechanical_systems,mechanical_engineer,Heating and cooling equipment and appliances shall be sized in accordance with ACCA Manual S or other approved sizing methodologies based on building loads calculated in accordance with ACCA Manual J or other approved heating and cooling calculation methodologies. Exception: Heating and cooling equipment and appliance sizing shall not be limited to the capacities determined in accordance with ACCA Manual S where either of the following conditions applies: The specified equipment or appliance utilizes multistage technology or variable refrigerant flow technology and the loads calculated in accordance with the approved heating and cooling calculation methodology are within the range of the manufacturer's published capacities for that equipment or appliance. The specified equipment or appliance manufacturer's published capacities cannot satisfy both the total and sensible heat gains calculated in accordance with the approved heating and cooling calculation methodology and the next larger standard size unit is specified.
M1401.4,Chapter 14 Heating and Cooling Equipment and Appliances,Outdoor Installations,BuildingElementProxy|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Equipment and appliances installed outdoors shall be listed and labeled for outdoor installation. Supports and foundations shall prevent excessive vibration, settlement or movement of the equipment. Supports and foundations shall be in accordance with Section M1305.1.3.1."
M1401.5,Chapter 14 Heating and Cooling Equipment and Appliances,Flood Hazard,BuildingElementProxy,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,mechanical_systems,mechanical_engineer,"In flood hazard areas as established by Table R301.2, heating and cooling equipment and appliances shall be located or installed in accordance with Section R322.1.6."
M1402.1,Chapter 14 Heating and Cooling Equipment and Appliances,General,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,Oil-fired central furnaces shall conform to ANSI/UL 727. Electric furnaces shall conform to UL 1995 or UL/CSA 60335-2-40.
M1402.2,Chapter 14 Heating and Cooling Equipment and Appliances,Clearances,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,Clearances shall be provided in accordance with the listing and the manufacturer's installation instructions.
M1402.3,Chapter 14 Heating and Cooling Equipment and Appliances,Combustion Air,Wall|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,Combustion air shall be supplied in accordance with Chapter 17. Combustion air openings shall be unobstructed for a distance of not less than 6 inches (152 mm) in front of the openings.
M1403.1,Chapter 14 Heating and Cooling Equipment and Appliances,Heat Pumps,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,mechanical_systems,mechanical_engineer,Electric heat pumps shall be listed and labeled in accordance with UL 1995 or UL/CSA 60335-2-40.
