id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
16,,Structural Design,Beam|Column|Slab|Wall|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,User note: Code change proposals to this chapter will be considered by the IBC — Structural Code Development Committee during the 2016 (Group B) Code Development Cycle. See explanation on page iv.
1601.1,Section 1601 General,Scope,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"The provisions of this chapter shall govern the structural design of buildings, structures and portions thereof regulated by this code."
1602.1,Section 1602 Definitions and Notations,Definitions,,,,,,"The following terms are defined in Chapter 2: ALLOWABLE STRESS DESIGN. DEAD LOADS. DESIGN STRENGTH. DIAPHRAGM. Diaphragm, blocked. Diaphragm boundary. Diaphragm chord. ESSENTIAL FACILITIES. FABRIC PARTITION. FACTORED LOAD. HELIPAD. ICE-SENSITIVE STRUCTURE. IMPACT LOAD. LIMIT STATE. LIVE LOAD. LIVE LOAD (ROOF). LOAD AND RESISTANCE FACTOR DESIGN (LRFD). LOAD EFFECTS. LOAD FACTOR. LOADS. NOMINAL LOADS. OTHER STRUCTURES. PANEL (PART OF A STRUCTURE). RESISTANCE FACTOR. RISK CATEGORY. STRENGTH, NOMINAL. STRENGTH, REQUIRED. STRENGTH DESIGN. SUSCEPTIBLE BAY. VEHICLE BARRIER. NOTATIONS. Af = wind area in accordance with Chapters 26-30 of ASCE 7. D = Dead load. Di = Weight of ice in accordance with Chapter 10 of ASCE 7. E = Combined effect of horizontal and vertical earthquake induced forces as defined in Section 12.4.2 of ASCE 7. F = Load due to fluids with well-defined pressures and maximum heights. Fa = Flood load in accordance with Chapter 5 of ASCE 7. H = Load due to lateral earth pressures, ground water pressure or pressure of bulk materials. L = Roof live load greater than 20 psf (0.96 kN/m2) and floor live load. Lr = Roof live load of 20 psf (0.96 kN/m2) or less. R = Rain load. S = Snow load. T = Self-straining load. Vasd = Nominal design wind speed (3-second gust), miles per hour (mph) (km/hr) where applicable. Vult = Ultimate design wind speeds (3-second gust), miles per hour (mph) (km/hr) determined from Figure 1609.3(1), 1609.3(2), 1609.3(3) or ASCE 7. W = Load due to wind pressure. Wi = Wind-on-ice in accordance with Chapter 10 of ASCE 7."
1603.1,Section 1603 Construction Documents,General,Beam|Column|Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"Construction documents shall show the size, section and relative locations of structural members with floor levels, column centers and offsets dimensioned. The design loads and other information pertinent to the structural design required by Sections 1603.1.1 through 1603.1.8 shall be indicated on the construction documents. Exception: Construction documents for buildings constructed in accordance with the conventional light-frame construction provisions of Section 2308 shall indicate the following structural design information: Floor and roof live loads. Ground snow load, pg. Ultimate design wind speed, Vult, (3-second gust), miles per hour (mph) (km/hr) and nominal design wind speed, Vasd, as determined in accordance with Section 1609.3.1 and wind exposure. Seismic design category and site class. Flood design data, if located in flood hazard areas established in Section 1612.3. Design load-bearing values of soils."
1603.1.1,Section 1603 Construction Documents,Floor Live Load,Slab|Beam|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"The uniformly distributed, concentrated and impact floor live load used in the design shall be indicated for floor areas. Use of live load reduction in accordance with Section 1607.10 shall be indicated for each type of live load used in the design."
1603.1.2,Section 1603 Construction Documents,Roof Live Load,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,The roof live load used in the design shall be indicated for roof areas (Section 1607.12).
1603.1.3,Section 1603 Construction Documents,Roof Snow Load Data,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"The ground snow load, pg, shall be indicated. In areas where the ground snow load, pg, exceeds 10 pounds per square foot (psf) (0.479 kN/m2), the following additional information shall also be provided, regardless of whether snow loads govern the design of the roof: Flat-roof snow load, pf. Snow exposure factor, Ce. Snow load importance factor, Is. Thermal factor, Ct. Drift surcharge load(s), pd, where the sum of pd and pf exceeds 20 psf (0.96 kN/m2). Width of snow drift(s), w."
new_1603.1.3.1,Section 1603 Construction Documents,Roof Drift on Existing Structures,,,,,,"It shall be the responsibility of the owner undertaking work on its premises to determine the impact of that work on the roof snow load of any adjacent existing structure(s). The following information shall be provided in any permit application for a new or altered building: The increased snow load on the roof of adjacent existing structure(s), if any, due to the proposed work; Information sufficient to show whether the roof of any adjacent structure can safely support any additional drift load caused by the work; and A plan to strengthen the roof of any adjacent structure so that it is able to support the new snow loads caused by the work. Exception: Items (b) and (c) are not required where: The proposed work will not increase the snow load on the roof of the adjacent structure above 30 psf; and The owner of the existing adjacent structure denies access to the owner undertaking the proposed work to inspect and measure the roof joists with ceiling access to determine whether the roof of the existing adjacent structure can support any additional snow drift loads caused by the work, and the owner undertaking the proposed work provides evidence of such denial in accordance with Section 3307.5.2."
1603.1.4,Section 1603 Construction Documents,Wind Design Data,,,,,,"The following information related to wind loads shall be shown, regardless of whether wind loads govern the design of the lateral force-resisting system of the structure: Ultimate design wind speed, Vult, (3-second gust), miles per hour (km/hr) and nominal design wind speed, Vasd, as determined in accordance with Section 1609.3.1. Risk category. Wind exposure. Applicable wind direction if more than one wind exposure is utilized. Applicable internal pressure coefficient. Design wind pressures to be used for exterior component and cladding materials not specifically designed by the registered design professional responsible for the design of the structure, psf (kN/m2)."
1603.1.5,Section 1603 Construction Documents,Earthquake Design Data,Wall|Column|Beam|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"The following information related to seismic loads shall be shown, regardless of whether seismic loads govern the design of the lateral force-resisting system of the structure: Risk category. Seismic importance factor, Ie. Mapped spectral response acceleration parameters, SS and S1. Site class. Design spectral response acceleration parameters, SDS and SD1. Seismic design category. Basic seismic force-resisting system(s). Design base shear(s). Seismic response coefficient(s), CS. Response modification coefficient(s), R. Analysis procedure used."
