id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
5,,General Building Heights and Areas,Wall|Slab|Column|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect,User note: Code change proposals to sections preceded by the designation [F] will be considered by the International Fire Code Development Committee during the 2016 (Group B) Code Development Cycle. See explanation on page iv.
501.1,Section 501 General,Scope,Wall|Column|Slab|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect,The provisions of this chapter control the height and area of structures hereafter erected and additions to existing structures.
502.1,Section 502 Definitions,Definitions,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"The following terms are defined in Chapter 2: AREA, BUILDING. BASEMENT. EQUIPMENT PLATFORM. GRADE PLANE. HEIGHT, BUILDING. MEZZANINE."
503.1,Section 503 General Building Height and Area Limitations,General,Wall|Slab|Roof|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,building_height_area_limits,architect,"Unless otherwise specifically modified in Chapter 4 and this chapter, building height, number of stories and building area shall not exceed the limits specified in Sections 504 and 506 based on the type of construction as determined by Section 602 and the occupancies as determined by Section 302 except as modified hereafter. Building height, number of stories and building area provisions shall be applied independently. Each portion of a building separated by one or more fire walls complying with Section 706 shall be considered to be a separate building."
503.1.1,Section 503 General Building Height and Area Limitations,Special Industrial Occupancies,BuildingElementProxy|CraneWay|Slab|Roof|Column,Factory and Industrial (F),sd|dd|cd,building_height_area_limits,architect,"Buildings and structures designed to house special low-hazard industrial processes that require large areas and unusual building heights to accommodate craneways or special machinery and equipment, including, among others, rolling mills; structural metal fabrication shops and foundries; or collection and treatment of sewage and stormwater, or the production and distribution of electric, gas or steam power, shall be exempt from the building height, number of stories and building area limitations specified in Sections 504 and 506. Ordinary repairs of such buildings or structures shall include specifically engineered structural and mechanical components designed for removal and replacement in kind."
503.1.2,Section 503 General Building Height and Area Limitations,Buildings on Same Lot,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect,"Two or more buildings on the same lot shall be regulated as separate buildings or shall be considered as portions of one building where the building height, number of stories of each building and the aggregate building area of the buildings are within the limitations specified in Sections 504 and 506. The provisions of this code applicable to the aggregate building shall be applicable to each building."
503.1.3,Section 503 General Building Height and Area Limitations,Type I Construction,Wall|Slab|Column|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect,Buildings of Type I construction permitted to be of unlimited tabular building heights and areas are not subject to the special requirements that allow unlimited area buildings in Section 507 or unlimited building height in Sections 503.1.1 and 504.3 or increased building heights and areas for other types of construction.
504.1,Section 504 Building Height and Number of Stories,General,Wall|Roof|Slab,Factory and Industrial (F)|Utility and Miscellaneous (U),sd|dd|cd,building_height_area_limits,architect,"The height, in feet, and the number of stories of a building shall be determined based on the type of construction, occupancy classification and whether there is an automatic sprinkler system installed throughout the building. Exception: The building height of one-story aircraft hangars, aircraft paint hangars and buildings used for the manufacturing of aircraft shall not be limited where the building is provided with an automatic sprinkler system or automatic fire-extinguishing system in accordance with Chapter 9 and is entirely surrounded by public ways or yards not less in width than one and one-half times the building height."
504.1.1,Section 504 Building Height and Number of Stories,Unlimited Area Buildings,Wall|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Storage (S),sd|dd|cd,building_height_area_limits,architect,The height of unlimited area buildings shall be designed in accordance with Section 507.
504.1.2,Section 504 Building Height and Number of Stories,Special Provisions,Wall|Slab|Column,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect,"The special provisions of Section 510 permit the use of special conditions that are exempt from, or modify, the specific requirements of this chapter regarding the allowable heights of buildings based on the occupancy classification and type of construction, provided the special condition complies with the provisions specified in Section 510."
504.2,Section 504 Building Height and Number of Stories,Mixed Occupancy,BuildingElementProxy|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,building_height_area_limits,architect,"In a building containing mixed occupancies in accordance with Section 508, no individual occupancy shall exceed the height and number of story limits specified in this section for the applicable occupancies."
