id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
601,Chapter 6 Types of Construction,General,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"TABLE 601 FIRE-RESISTANCE RATING REQUIREMENTS FOR BUILDING ELEMENTS (HOURS) BUILDING ELEMENT TYPE I TYPE II TYPE III TYPE IV TYPE V A B A B A B HT A B Primary structural framef (see Section 202) 3a 2a 1 0 1 0 HT 1 0 Bearing walls Exteriore, f 3 2 1 0 2 2 2 1 0 Interior 3a 2a 1 0 1 0 1/HT 1 0 Nonbearing walls and partitions Exterior See Table 602 Nonbearing walls and partitions Interiord 0 0 0 0 0 0 See Section 602.4.8 0 0 Floor construction and associated secondary members (see Section 202) 2 2 1 0 1 0 HT 1 0 Roof construction and associated secondary members (see Section 202) 11/2b 1b,c 1b,c 0c 1b,c 0 HT 1b,c 0 For SI: 1 foot = 304.8 mm. Roof supports: Fire-resistance ratings of primary structural frame and bearing walls are permitted to be reduced by 1 hour where supporting a roof only. Except in Group F-1, H, M and S-1 occupancies, fire protection of structural members shall not be required, including protection of roof framing and decking where every part of the roof construction is 20 feet or more above any floor immediately below. Fire-retardant-treated wood members shall be allowed to be used for such unprotected members. In all occupancies, heavy timber complying with Section 2304.11 shall be allowed where a 1-hour or less fire-resistance rating is required. Not less than the fire-resistance rating required by other sections of this code. Not less than the fire-resistance rating based on fire separation distance (see Table 602). Not less than the fire-resistance rating as referenced in Section 704.10."
601.1,Section 601 General,Scope,Wall|Column|Slab|Roof|Beam,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,construction_type_ratings,architect,The provisions of this chapter shall control the classification of buildings as to type of construction.
602,Chapter 6 Types of Construction,Construction Classification,,,,none,none,"TABLE 602 FIRE-RESISTANCE RATING REQUIREMENTS FOR EXTERIOR WALLS BASED ON FIRE SEPARATION DISTANCEa, d, g FIRE SEPARATION DISTANCE = X (feet) TYPE OF CONSTRUCTION OCCUPANCY GROUP He OCCUPANCY GROUP F-1, M, S-1f OCCUPANCY GROUP A, B, E, F-2, I, R, S-2, Uh X &lt; 5b All 3 2 1 5 ≤ X &lt; 10 IA 3 2 1 Others 2 1 1 10 ≤ X &lt; 30 IA, IB 2 1 1c IIB, VB 1 0 0 Others 1 1 1c X ≥ 30 All 0 0 0 For SI: 1 foot = 304.8 mm. Load-bearing exterior walls shall also comply with the fire-resistance rating requirements of Table 601. See Section 706.1.1 for party walls. Open parking garages complying with Section 406 shall not be required to have a fire-resistance rating. The fire-resistance rating of an exterior wall is determined based upon the fire separation distance of the exterior wall and the story in which the wall is located. For special requirements for Group H occupancies, see Section 415.6. For special requirements for Group S aircraft hangars, see Section 412.4.1. Where Table 705.8 permits nonbearing exterior walls with unlimited area of unprotected openings, the required fire-resistance rating for the exterior walls is 0 hours. For a building containing only a Group U occupancy private garage or carport, the exterior wall shall not be required to have a fire-resistance rating where the fire separation distance is 5 feet (1523 mm) or greater."
602.1,Section 602 Construction Classification,General,Wall|Slab|Column|Beam,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,construction_type_ratings,architect,"Buildings and structures erected or to be erected, altered or extended in height or area shall be classified in one of the five construction types defined in Sections 602.2 through 602.5. The building elements shall have a fire-resistance rating not less than that specified in Table 601 and exterior walls shall have a fire-resistance rating not less than that specified in Table 602. Where required to have a fire-resistance rating by Table 601, building elements shall comply with the applicable provisions of Section 703.2. The protection of openings, ducts and air transfer openings in building elements shall not be required unless required by other provisions of this code."
602.1.1,Section 602 Construction Classification,Minimum Requirements,Wall|Slab|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,construction_type_ratings,architect,A building or portion thereof shall not be required to conform to the details of a type of construction higher than that type which meets the minimum requirements based on occupancy even though certain features of such a building actually conform to a higher type of construction.
602.2,Section 602 Construction Classification,Types I and II,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,construction_type_ratings,architect,"Types I and II construction are those types of construction in which the building elements listed in Table 601 are of noncombustible materials, except as permitted in Section 603 and elsewhere in this code."
602.3,Section 602 Construction Classification,Type III,Wall|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,construction_type_ratings,architect,Type III construction is that type of construction in which the exterior walls are of noncombustible materials and the interior building elements are of any material permitted by this code. Fire-retardant-treated wood framing complying with Section 2303.2 shall be permitted within exterior wall assemblies of a 2-hour rating or less.
602.4,Section 602 Construction Classification,Type IV,Wall|Column|Slab|Stair|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,construction_type_ratings,architect,"Type IV construction is that type of construction in which the exterior walls are of noncombustible materials and the interior building elements are of solid wood, laminated wood, heavy timber (HT) or structural composite lumber (SCL) without concealed spaces. The minimum dimensions for permitted materials including solid timber, glued-laminated timber, structural composite lumber (SCL), and cross-laminated timber and details of Type IV construction shall comply with the provisions of this section and Section 2304.11. Exterior walls complying with Section 602.4.1 or 602.4.2 shall be permitted. Interior walls and partitions not less than 1-hour fire-resistance rating or heavy timber complying with Section 2304.11.2.2 shall be permitted."
602.4.1,Section 602 Construction Classification,Fire-Retardant-Treated Wood in Exterior Walls,,,,,,Fire-retardant-treated wood framing complying with Section 2303.2 shall be permitted within exterior wall assemblies with a 2-hour rating or less.
602.4.2,Section 602 Construction Classification,Cross-Laminated Timber in Exterior Walls,,,,,,"Cross-laminated timber complying with Section 2303.1.4 shall be permitted within exterior wall assemblies not less than 6 inches (152 mm) in thickness with a 2-hour rating or less, provided the exterior surface of the cross-laminated timber is protected by one the following: Fire-retardant-treated wood sheathing complying with Section 2303.2 and not less than 15/32 inch (12 mm) thick; Gypsum board not less than 1/2 inch (12.7 mm) thick; or A noncombustible material."
602.4.9,Section 602 Construction Classification,Exterior Structural Members,,,,,,"Where a horizontal separation of 20 feet (6096 mm) or more is provided, wood columns and arches conforming to heavy timber sizes complying with Section 2304.11 shall be permitted to be used externally."
602.5,Section 602 Construction Classification,Type V,Wall|Column|Slab|Beam|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,construction_type_ratings,architect,"Type V construction is that type of construction in which the structural elements, exterior walls and interior walls are of any materials permitted by this code."
