id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
701.1,Section 701 General,Scope,Wall|Slab|Door|CurtainWall|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect,"The provisions of this chapter shall govern the materials, systems and assemblies used for structural fire resistance and fire-resistance-rated construction separation of adjacent spaces to safeguard against the spread of fire and smoke within a building and the spread of fire to or from buildings."
701.2,Section 701 General,Multiple Use Fire Assemblies,,,,,,Fire assemblies that serve multiple purposes in a building shall comply with all of the requirements that are applicable for each of the individual fire assemblies.
702.1,Section 702 Definitions,Definitions,,,,,,The following terms are defined in Chapter 2:ANNULAR SPACE.BUILDING ELEMENT.CEILING RADIATION DAMPER.COMBINATION FIRE/SMOKE DAMPER.CORRIDOR DAMPER.DAMPER.DRAFTSTOPF RATING.FIRE BARRIER.FIRE DAMPER.FIRE DOOR.FIRE DOOR ASSEMBLY.FIRE PARTITION.FIRE PROTECTION RATING.FIRE-RATED GLAZING.FIRE RESISTANCE.FIRE-RESISTANCE RATING.FIRE-RESISTANT JOINT SYSTEM.FIRE SEPARATION DISTANCE.FIRE WALL.FIRE WINDOW ASSEMBLY.FIREBLOCKING.FLOOR FIRE DOOR ASSEMBLY.HORIZONTAL ASSEMBLY.JOINT.L RATING.MEMBRANE PENETRATION.MEMBRANE-PENETRATION FIRESTOP.MEMBRANE-PENETRATION FIRESTOP SYSTEM.MINERAL FIBER.MINERAL WOOL.PENETRATION FIRESTOP.SELF-CLOSING.SHAFT.SHAFT ENCLOSURE.SMOKE BARRIER.SMOKE COMPARTMENT.SMOKE DAMPER.SPLICE.T RATING.THROUGH PENETRATION.THROUGH-PENETRATION FIRESTOP SYSTEM.
703.1,Section 703 Fire-Resistance Ratings and Fire Tests,Scope,Wall|Slab|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_resistance_smoke_protection,architect,Materials prescribed herein for fire resistance shall conform to the requirements of this chapter.
703.2,Section 703 Fire-Resistance Ratings and Fire Tests,Fire-Resistance Ratings,,,,,,"The fire-resistance rating of building elements, components or assemblies shall be determined in accordance with the test procedures set forth in ASTM E119 or UL 263 or in accordance with Section 703.3. The fire-resistance rating of penetrations and fire-resistant joint systems shall be determined in accordance Sections 714 and 715, respectively."
703.2.1,Section 703 Fire-Resistance Ratings and Fire Tests,Nonsymmetrical Wall Construction,,,,,,"Interior walls and partitions of nonsymmetrical construction shall be tested with both faces exposed to the furnace, and the assigned fire-resistance rating shall be the shortest duration obtained from the two tests conducted in compliance with ASTM E119 or UL 263. Where evidence is furnished to show that the wall was tested with the least fire-resistant side exposed to the furnace, subject to acceptance of the building official, the wall need not be subjected to tests from the opposite side (see Section 705.5 for exterior walls)."
703.2.2,Section 703 Fire-Resistance Ratings and Fire Tests,Combustible Components,,,,,,Combustible aggregates are permitted in gypsum and Portland cement concrete mixtures for fire-resistance-rated construction. Any component material or admixture is permitted in assemblies if the resulting tested assembly meets the fire-resistance test requirements of this code.
703.2.3,Section 703 Fire-Resistance Ratings and Fire Tests,Restrained Classification,,,,,,Fire-resistance-rated assemblies tested under ASTM E119 or UL 263 shall not be considered to be restrained unless evidence satisfactory to the building official is furnished by the registered design professional showing that the construction qualifies for a restrained classification in accordance with ASTM E119 or UL 263. Restrained construction shall be identified on the construction documents.
703.2.4,Section 703 Fire-Resistance Ratings and Fire Tests,Supplemental Features,,,,,,"Where materials, systems or devices that have not been tested as part of a fire-resistance-rated assembly are incorporated into the building element, component or assembly, sufficient data shall be made available to the building official to show that the required fire-resistance rating is not reduced."
703.2.5,Section 703 Fire-Resistance Ratings and Fire Tests,Exterior Bearing Walls,,,,,,"In determining the fire-resistance rating of exterior bearing walls, compliance with the ASTM E119 or UL 263 criteria for unexposed surface temperature rise and ignition of cotton waste due to passage of flame or gases is required only for a period of time corresponding to the required fire-resistance rating of an exterior nonbearing wall with the same fire separation distance, and in a building of the same group. Where the fire-resistance rating determined in accordance with this exception exceeds the fire-resistance rating determined in accordance with ASTM E119 or UL 263, the fire exposure time period, water pressure and application duration criteria for the hose stream test of ASTM E119 or UL 263 shall be based on the fire-resistance rating determined in accordance with this section."
703.3,Section 703 Fire-Resistance Ratings and Fire Tests,Methods for Determining Fire Resistance,,,,,,"The application of any of the methods listed in this section shall be based on the fire exposure and acceptance criteria specified in ASTM E119 or UL 263. The required fire resistance of a building element, component or assembly shall be permitted to be established by any of the following methods or procedures: Fire-resistance designs documented in approved sources. Prescriptive designs of fire-resistance-rated building elements, components or assemblies as prescribed in Section 721. Calculations in accordance with Section 722. Engineering analysis based on a comparison of building element, component or assemblies designs having fire-resistance ratings as determined by the test procedures set forth in ASTM E119 or UL 263. Alternative protection methods as allowed by Section 104.11. Fire-resistance designs certified by an approved agency."
703.4,Section 703 Fire-Resistance Ratings and Fire Tests,Automatic Sprinklers,,,,,,"Under the prescriptive fire-resistance requirements of this code, the fire-resistance rating of a building element, component or assembly shall be established without the use of automatic sprinklers or any other fire suppression system being incorporated as part of the assembly tested in accordance with the fire exposure, procedures and acceptance criteria specified in ASTM E119 or UL 263. However, this section shall not prohibit or limit the duties and powers of the building official allowed by Sections 104.10 and 104.11."
703.5,Section 703 Fire-Resistance Ratings and Fire Tests,Noncombustibility Tests,,,,,,"The tests indicated in Sections 703.5.1 and 703.5.2 shall serve as criteria for acceptance of building materials as set forth in Sections 602.2, 602.3 and 602.4 in Type I, II, III and IV construction. The term ""noncombustible"" does not apply to the flame spread characteristics of interior finish or trim materials. A material shall not be classified as a noncombustible building construction material if it is subject to an increase in combustibility or flame spread beyond the limitations herein established through the effects of age, moisture or other atmospheric conditions."
703.5.1,Section 703 Fire-Resistance Ratings and Fire Tests,Elementary Materials,,,,,,Materials required to be noncombustible shall be tested in accordance with ASTM E136.
703.5.2,Section 703 Fire-Resistance Ratings and Fire Tests,Composite Materials,,,,,,Materials having a structural base of noncombustible material as determined in accordance with Section 703.5.1 with a surfacing not more than 0.125 inch (3.18 mm) thick that has a flame spread index not greater than 50 when tested in accordance with ASTM E84 or UL 723 shall be acceptable as noncombustible materials.
703.6,Section 703 Fire-Resistance Ratings and Fire Tests,Fire-Resistance-Rated Glazing,,,,,,"Fire-resistance-rated glazing, when tested in accordance with ASTM E119 or UL 263 and complying with the requirements of Section 707, shall be permitted. Fire-resistance-rated glazing shall bear a label marked in accordance with Table 716.3 issued by an agency and shall be permanently identified on the glazing."
703.7,Section 703 Fire-Resistance Ratings and Fire Tests,Marking and Identification,,,,,,"Where there is an accessible concealed floor, floor-ceiling or attic space, fire walls, fire barriers, fire partitions, smoke barriers and smoke partitions or any other wall required to have protected openings or penetrations shall be effectively and permanently identified with signs or stenciling in the concealed space. Such identification shall: Be located within 15 feet (4572 mm) of the end of each wall and at intervals not exceeding 30 feet (9144 mm) measured horizontally along the wall or partition. Include lettering not less than 3 inches (76 mm) in height with a minimum 3/8-inch (9.5 mm) stroke in a contrasting color incorporating the suggested wording, ""FIRE AND/OR SMOKE BARRIER—PROTECT ALL OPENINGS,"" or other wording."
704.1,Section 704 Fire-Resistance Rating of Structural Members,Requirements,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"The fire-resistance ratings of structural members and assemblies shall comply with this section and the requirements for the type of construction as specified in Table 601. The fire-resistance ratings shall be not less than the ratings required for the fire-resistance-rated assemblies supported by the structural members. Exception: Fire barriers, fire partitions, smoke barriers and horizontal assemblies as provided in Sections 707.5, 708.4, 709.4 and 711.2, respectively."
704.2,Section 704 Fire-Resistance Rating of Structural Members,Column Protection,,,,,,"Where columns are required to have protection to achieve a fire-resistance rating, the entire column shall be provided individual encasement protection by protecting it on all sides for the full column height, including connections to other structural members, with materials having the required fire-resistance rating. Where the column extends through a ceiling, the encasement protection shall be continuous from the top of the foundation or floor/ceiling assembly below through the ceiling space to the top of the column."
704.3,Section 704 Fire-Resistance Rating of Structural Members,Protection of the Primary Structural Frame Other Than Columns,,,,,,"Members of the primary structural frame other than columns that are required to have protection to achieve a fire-resistance rating and support more than two floors or one floor and roof, or support a load-bearing wall or a nonload-bearing wall more than two stories high, shall be provided individual encasement protection by protecting them on all sides for the full length, including connections to other structural members, with materials having the required fire-resistance rating. Exception: Individual encasement protection on all sides shall be permitted on all exposed sides provided the extent of protection is in accordance with the required fire-resistance rating, as determined in Section 703."
704.4,Section 704 Fire-Resistance Rating of Structural Members,Protection of Secondary Members,,,,,,Secondary members that are required to have protection to achieve a fire-resistance rating shall be protected by individual encasement protection.
704.4.1,Section 704 Fire-Resistance Rating of Structural Members,Light-Frame Construction,,,,,,Studs and boundary elements that are integral elements in load-bearing walls of light-frame construction shall be permitted to have required fire-resistance ratings provided by the membrane protection provided for the load-bearing wall.
704.4.2,Section 704 Fire-Resistance Rating of Structural Members,Horizontal Assemblies,,,,,,Horizontal assemblies are permitted to be protected with a membrane or ceiling where the membrane or ceiling provides the required fire-resistance rating and is installed in accordance with Section 711.
704.5,Section 704 Fire-Resistance Rating of Structural Members,Truss Protection,,,,,,The required thickness and construction of fire-resistance-rated assemblies enclosing trusses shall be based on the results of full-scale tests or combinations of tests on truss components or on approved calculations based on such tests that satisfactorily demonstrate that the assembly has the required fire resistance.
704.6,Section 704 Fire-Resistance Rating of Structural Members,Attachments to Structural Members,,,,,,"The edges of lugs, brackets, rivets and bolt heads attached to structural members shall be permitted to extend to within 1 inch (25 mm) of the surface of the fire protection."
704.7,Section 704 Fire-Resistance Rating of Structural Members,Reinforcing,,,,,,Thickness of protection for concrete or masonry reinforcement shall be measured to the outside of the reinforcement except that stirrups and spiral reinforcement ties are permitted to project not more than 0.5-inch (12.7 mm) into the protection.
704.8,Section 704 Fire-Resistance Rating of Structural Members,Embedments and Enclosures,,,,,,"Pipes, wires, conduits, ducts or other service facilities shall not be embedded in the required fire protective covering of a structural member that is required to be individually encased."
704.9,Section 704 Fire-Resistance Rating of Structural Members,Impact Protection,,,,,,"Where the fire protective covering of a structural member is subject to impact damage from moving vehicles, the handling of merchandise or other activity, the fire protective covering shall be protected by corner guards or by a substantial jacket of metal or other noncombustible material to a height adequate to provide full protection, but not less than 5 feet (1524 mm) from the finished floor. Exception: Corner protection is not required on concrete columns in open or enclosed parking garages."
704.10,Section 704 Fire-Resistance Rating of Structural Members,Exterior Structural Members,,,,,,Load-bearing structural members located within the exterior walls or on the outside of a building or structure shall be provided with the highest fire-resistance rating as determined in accordance with the following: As required by Table 601 for the type of building element based on the type of construction of the building; As required by Table 601 for exterior bearing walls based on the type of construction; and As required by Table 602 for exterior walls based on the fire separation distance.
704.11,Section 704 Fire-Resistance Rating of Structural Members,Bottom Flange Protection,,,,,,"Fire protection is not required at the bottom flange of lintels, shelf angles and plates, spanning not more than 6 feet 4 inches (1931 mm) whether part of the primary structural frame or not, and from the bottom flange of lintels, shelf angles and plates not part of the structural frame, regardless of span."
704.12,Section 704 Fire-Resistance Rating of Structural Members,Seismic Isolation Systems,,,,,,"Fire-resistance ratings for the isolation system shall meet the fire-resistance rating required for the columns, walls or other structural elements in which the isolation system is installed in accordance with Table 601. Isolation systems required to have a fire-resistance rating shall be protected with approved materials or construction assemblies designed to provide the same degree of fire resistance as the structural element in which the system is installed when tested in accordance with ASTM E119 or UL 263 (see Section 703.2).Such isolation system protection applied to isolator units shall be capable of retarding the transfer of heat to the isolator unit in such a manner that the required gravity load-carrying capacity of the isolator unit will not be impaired after exposure to the standard time-temperature curve fire test prescribed in ASTM E119 or UL 263 for a duration not less than that required for the fire-resistance rating of the structure element in which the system is installed.Such isolation system protection applied to isolator units shall be suitably designed and securely installed so as not to dislodge, loosen, sustain damage or otherwise impair its ability to accommodate the seismic movements for which the isolator unit is designed and to maintain its integrity for the purpose of providing the required fire-resistance protection."
704.13,Section 704 Fire-Resistance Rating of Structural Members,Sprayed Fire-Resistant Materials (SFRM),,,,,,Sprayed fire-resistant materials (SFRM) shall comply with Sections 704.13.1 through 704.13.5.
704.13.1,Section 704 Fire-Resistance Rating of Structural Members,Fire-Resistance Rating,,,,,,"The application of SFRM shall be consistent with the fire-resistance rating and the listing, including, but not limited to, minimum thickness and dry density of the applied SFRM, method of application, substrate surface conditions and the use of bonding adhesives, sealants, reinforcing or other materials."
704.13.2,Section 704 Fire-Resistance Rating of Structural Members,Manufacturer's Installation Instructions,,,,,,"The application of SFRM shall be in accordance with the manufacturer's installation instructions. The instructions shall include, but are not limited to, substrate temperatures and surface conditions and SFRM handling, storage, mixing, conveyance, method of application, curing and ventilation."
704.13.3,Section 704 Fire-Resistance Rating of Structural Members,Substrate Condition,,,,,,The SFRM shall be applied to a substrate in compliance with Sections 704.13.3.1 through 704.13.3.2.
704.13.3.1,Section 704 Fire-Resistance Rating of Structural Members,Surface Conditions,,,,,,"Substrates to receive SFRM shall be free of dirt, oil, grease, release agents, loose scale and any other condition that prevents adhesion. The substrates shall be free of primers, paints and encapsulants other than those fire tested and listed by a nationally recognized testing agency. Primed, painted or encapsulated steel shall be allowed, provided that testing has demonstrated that required adhesion is maintained."
