id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1201.1,Section 1201 General,Scope,Wall|Roof|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,special_construction,architect,"It is the intent of this chapter to provide means for the preservation of historic buildings. Historical buildings shall comply with the provisions of this chapter relating to their repair, alteration, relocation and change of occupancy."
1201.2,Section 1201 General,Report,Wall|Column|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"A historic building undergoing repair, alteration, or change of occupancy shall be investigated and evaluated. If it is intended that the building meet the requirements of this chapter, a written report shall be prepared and filed with the code official by a registered design professional when such a report is necessary in the opinion of the code official. Such report shall be in accordance with Chapter 1 and shall identify each required safety feature that is in compliance with this chapter and where compliance with other chapters of these provisions would be damaging to the contributing historic features. For buildings assigned to Seismic Design Category D, E or F, a structural evaluation describing, at a minimum, the vertical and horizontal elements of the lateral force-resisting system and any strengths or weaknesses therein shall be prepared. Additionally, the report shall describe each feature that is not in compliance with these provisions and shall demonstrate how the intent of these provisions is complied with in providing an equivalent level of safety."
1201.3,Section 1201 General,Special Occupancy Exceptions—Museums,Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"When a building in Group R-3 is also used for Group A, B, or M purposes such as museum tours, exhibits, and other public assembly activities, or for museums less than 3,000 square feet (279 m2), the code official may determine that the occupancy is Group B when life-safety conditions can be demonstrated in accordance with Section 1201.2. Adequate means of egress in such buildings, which may include a means of maintaining doors in an open position to permit egress, a limit on building occupancy to an occupant load permitted by the means of egress capacity, a limit on occupancy of certain areas or floors, or supervision by a person knowledgeable in the emergency exiting procedures, shall be provided."
1201.4,Section 1201 General,Flood Hazard Areas,Wall|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,site_planning,architect,"In flood hazard areas, if all proposed work, including repairs, work required because of a change of occupancy, and alterations, constitutes substantial improvement, then the existing building shall comply with Section 1612 of the International Building Code, or Section R322 of the International Residential Code, as applicable. Exception: If an historic building will continue to be an historic building after the proposed work is completed, then the proposed work is not considered a substantial improvement. For the purposes of this exception, an historic building is: Listed or preliminarily determined to be eligible for listing in the National Register of Historic Places; Determined by the Secretary of the U.S. Department of Interior to contribute to the historical significance of a registered historic district or a district preliminarily determined to qualify as a historic district; or Designated as historic under a state or local historic preservation program that is approved by the Department of Interior."
1202.1,Section 1202 Repairs,General,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect,"Repairs to any portion of an historic building or structure shall be permitted with original or like materials and original methods of construction, subject to the provisions of this chapter. Hazardous materials, such as asbestos and lead-based paint, shall not be used where the code for new construction would not permit their use in buildings of similar occupancy, purpose and location."
1202.2,Section 1202 Repairs,Unsafe Conditions,,,,,,Conditions determined by the code official to be unsafe shall be remedied. No work shall be required beyond what is required to remedy the unsafe conditions.
1202.3,Section 1202 Repairs,Relocated Buildings,,,,,,Foundations of relocated historic buildings and structures shall comply with the International Building Code. Relocated historic buildings shall otherwise be considered an historic building for the purposes of this code. Relocated historic buildings and structures shall be sited so that exterior wall and opening requirements comply with the International Building Code or with the compliance alternatives of this code.
1202.4,Section 1202 Repairs,Replacement,,,,,,"Replacement of existing or missing features using original materials shall be permitted. Partial replacement for repairs that match the original in configuration, height, and size shall be permitted. Replacement glazing in hazardous locations shall comply with the safety glazing requirements of Chapter 24 of the International Building Code. Exception: Glass block walls, louvered windows, and jalousies repaired with like materials."
1203.1,Section 1203 Fire Safety,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,interior_environment,architect,"Historic buildings undergoing alterations, changes of occupancy, or that are moved shall comply with Section 1203."
1203.2,Section 1203 Fire Safety,General,Wall|Door|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Every historic building that does not conform to the construction requirements specified in this code for the occupancy or use and that constitutes a distinct fire hazard as defined herein shall be provided with an approved automatic fire-extinguishing system as determined appropriate by the code official. However, an automatic fire-extinguishing system shall not be used to substitute for, or act as an alternative to, the required number of exits from any facility."
1203.3,Section 1203 Fire Safety,Means of Egress,Door|Stair|Corridor,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,"Existing door openings and corridor and stairway widths less than those specified elsewhere in this code may be approved, provided that, in the opinion of the code official, there is sufficient width and height for a person to pass through the opening or traverse the means of egress. When approved by the code official, the front or main exit doors need not swing in the direction of the path of exit travel, provided that other approved means of egress having sufficient capacity to serve the total occupant load are provided."
1203.4,Section 1203 Fire Safety,Transoms,Wall|Door,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"In fully sprinklered buildings of Group R-1, R-2 or R-3 occupancy, existing transoms in corridors and other fire-resistance-rated walls may be maintained if fixed in the closed position. A sprinkler shall be installed on each side of the transom."
1203.5,Section 1203 Fire Safety,Interior Finishes,Wall|Slab|Covering|Ceiling|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,The existing finishes of walls and ceilings shall be accepted when it is demonstrated that they are the historic finishes.
1203.6,Section 1203 Fire Safety,Stairway Enclosure,Wall|Door|Stair|StairFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"In buildings of three stories or less, exit enclosure construction shall limit the spread of smoke by the use of tight-fitting doors and solid elements. Such elements are not required to have a fire-resistance rating."
1203.7,Section 1203 Fire Safety,One-Hour Fire-Resistant Assemblies,Wall|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,fire_resistance_smoke_protection,architect,"Where 1-hour fire-resistance-rated construction is required by these provisions, it need not be provided, regardless of construction or occupancy, where the existing wall and ceiling finish is wood or metal lath and plaster."
1203.8,Section 1203 Fire Safety,Glazing in Fire-Resistance-Rated Systems,Wall|Door|Window,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,Historic glazing materials are permitted in interior walls required to have a 1-hour fire-resistance rating where the opening is provided with approved smoke seals and the area affected is provided with an automatic sprinkler system.
1203.9,Section 1203 Fire Safety,Stairway Railings,Stair|Railing,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,means_of_egress,architect,"Grand stairways shall be accepted without complying with the handrail and guard requirements. Existing handrails and guards at all stairways shall be permitted to remain, provided they are not structurally dangerous."
1203.10,Section 1203 Fire Safety,Guards,Railing|Stair|StairFlight|Ramp|RampFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,Guards shall comply with Sections 1203.10.1 and 1203.10.2.
1203.10.1,Section 1203 Fire Safety,Height,Railing,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Mercantile (M),sd|dd|cd,means_of_egress,architect,Existing guards shall comply with the requirements of Section 604.
1203.10.2,Section 1203 Fire Safety,Guard Openings,Railing,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,means_of_egress,architect,The spacing between existing intermediate railings or openings in existing ornamental patterns shall be accepted. Missing elements or members of a guard may be replaced in a manner that will preserve the historic appearance of the building or structure.
