id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1201.1,Section 1201 General,Scope,Wall|Slab|Roof|Door|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,interior_environment,architect,"The provisions of this chapter shall govern ventilation, temperature control, lighting, yards and courts, sound transmission, room dimensions, surrounding materials and rodentproofing associated with the interior spaces of buildings."
1202.1,Section 1202 Definitions,General,Window|Door|Wall|Slab,Residential (R)|Institutional (I),sd|dd|cd,interior_environment,mechanical_engineer,The following terms are defined in Chapter 2:SUNROOM.THERMAL ISOLATION.
1203.1,Section 1203 Ventilation,General,,,,,,"Buildings shall be provided with natural ventilation in accordance with Section 1203.4, or mechanical ventilation in accordance with the Florida Building Code, Mechanical.Where the air infiltration rate in a dwelling unit is less than 3 air changes per hour when tested with a blower door at a pressure 0.2 inch w.c. (50 Pa) in accordance with Section R402.4.1.2 of the Florida Building Code, Energy Conservation—Residential Provisions, the dwelling unit shall be ventilated by mechanical means in accordance with Section 403 of the Florida Building Code, Mechanical. Ambulatory care facilities and Group I-2 occupancies shall be ventilated by mechanical means in accordance with Section 407 of the Florida Building Code, Mechanical."
1203.2,Section 1203 Ventilation,Ventilation Required,,,,,,"Enclosed attics and enclosed rafter spaces formed where ceilings are applied directly to the underside of roof framing members shall have cross ventilation for each separate space by ventilation openings protected against the entrance of rain and snow. Blocking, bridging, and insulation shall be arranged so as not to interfere with the movement of air. An airspace of not less than 1 inch (25 mm) shall be provided between the insulation and the roof sheathing. The net free ventilating area shall be not less than 1/150 of the area of the space ventilated. Ventilators shall be installed in accordance with manufacturer's installation instructions.Exception: The net free cross-ventilation area shall be permitted to be reduced to 1/300 provided at least 40 percent and not more than 50 percent of the required venting area is provided by ventilators located in the upper portion of the attic or rafter space. Upper ventilators shall be located not more than 3 feet (914 mm) below the ridge or highest point of the space, measured vertically, with the balance of the ventilation provided by eave or cornice vents. Where the location of wall or roof framing members conflicts with the installation of upper ventilators, installation more than 3 feet (914 mm) below the ridge or highest point of the space shall be permitted."
1203.2.1,Section 1203 Ventilation,Openings Into Attic,,,,,,"Exterior openings into the attic space of any building intended for human occupancy shall be protected to prevent the entry of birds, squirrels, rodents, snakes and other similar creatures. Openings for ventilation having a least dimension of not less than 1/16 inch (1.6 mm) and not more than 1/4 inch (6.4 mm) shall be permitted. Openings for ventilation having a least dimension larger than 1/4 inch (6.4 mm) shall be provided with corrosion-resistant wire cloth screening, hardware cloth, perforated vinyl or similar material with openings having a least dimension of not less than 1/16 inch (1.6 mm) and not more than 1/4 inch (6.4 mm). Where combustion air is obtained from an attic area, it shall be in accordance with Chapter 7 of the Florida Building Code, Mechanical."
1203.3,Section 1203 Ventilation,Unvented Attic and Unvented Enclosed Rafter Assemblies,,,,,,"Unvented attics and unvented enclosed roof framing assemblies created by ceilings applied directly to the underside of the roof framing members/rafters and the structural roof sheathing at the top of the roof framing members shall be permitted where all the following conditions are met: The unvented attic space is completely within the building thermal envelope. No interior Class I vapor retarders are installed on the ceiling side (attic floor) of the unvented attic assembly or on the ceiling side of the unvented enclosed roof framing assembly. Where wood shingles or shakes are used, a minimum 1/4-inch (6.4 mm) vented airspace separates the shingles or shakes and the roofing underlayment above the structural sheathing. In Climate Zones 5, 6, 7 and 8, any air-impermeable insulation shall be a Class II vapor retarder or shall have a Class II vapor retarder coating or covering in direct contact with the underside of the insulation. Insulation shall comply with either Item 5.1 or 5.2, and additionally Item 5.3. Item 5.1.1, 5.1.2, 5.1.3 or 5.1.4 shall be met, depending on the air permeability of the insulation directly under the structural roof sheathing. Where only air-impermeable insulation is provided, it shall be applied in direct contact with the underside of the structural roof sheathing. Where air-permeable insulation is provided inside the building thermal envelope, it shall be installed in accordance with Item 5.1. In addition to the air-permeable insulation installed directly below the structural sheathing, rigid board or sheet insulation shall be installed directly above the structural roof sheathing in accordance with the R values in Table 1203.3 for condensation control. Where both air-impermeable and air-permeable insulation are provided, the air-impermeable insulation shall be applied in direct contact with the underside of the structural roof sheathing in accordance with Item 5.1.1 and shall be in accordance with the R values in Table 1203.3 for condensation control. The air-permeable insulation shall be installed directly under the air-impermeable insulation. Alternatively, sufficient rigid board or sheet insulation shall be installed directly above the structural roof sheathing to maintain the monthly average temperature of the underside of the structural roof sheathing above 45°F (7°C). For calculation purposes, an interior air temperature of 68°F (20°C) is assumed and the exterior air temperature is assumed to be the monthly average outside air temperature of the three coldest months. In Climate Zones 1, 2 and 3 air-permeable insulation installed in unvented attics shall meet the following requirements: A vapor diffusion port shall be installed not more than 12 inches (305 mm) from the highest point of the roof, measured vertically from the highest point of the roof to the lower edge of the port. The port area shall be greater than or equal to 1/600 of the ceiling area. Where there are multiple ports in the attic, the sum of the port areas shall be greater than or equal to the area requirement. The vapor permeable membrane in the vapor diffusion port shall have a vapor permeance rating of greater than or equal to 20 perms when tested in accordance with Procedure A of ASTM E96. The vapor diffusion port shall serve as an air barrier between the attic and the exterior of the building. The vapor diffusion port shall protect the attic against the entrance of rain and snow. Framing members and blocking shall not block the free flow of water vapor to the port. Not less than a 2-inch (50 mm) space shall be provided between any blocking and the roof sheathing. Air-permeable insulation shall be permitted within that space. The roof slope shall be greater than or equal to 3 units vertical in 12 units horizontal (3:12). Where only air-permeable insulation is used, it shall be installed directly below the structural roof sheathing, on top the attic floor, or on top of the ceiling. Where only air-permeable insulation is used and is installed directly below the structural roof sheathing, air shall be supplied at a flow rate greater than or equal to 50 cubic feet per minute (23.6 L/s) per 1,000 square feet (93 m2) of ceiling. The air shall be supplied from ductwork providing supply air to the occupiable space when the conditioning system is operating. Alternatively, the air shall be supplied by a supply fan when the conditioning system is operating. Where preformed insulation board is used as the air-impermeable insulation layer, it shall be sealed at the perimeter of each individual sheet interior surface to form a continuous layer. Exceptions: Section 1203.3 does not apply to special use structures or enclosures such as swimming pool enclosures, data processing centers, hospitals or art galleries. Section 1203.3 does not apply to enclosures in Climate Zones 5 through 8 that are humidified beyond 35 percent during the three coldest months. TABLE 1203.3 INSULATION FOR CONDENSATION CONTROL CLIMATE ZONE MINIMUM R-VALUE OF AIR-IMPERMEABLE INSULATIONa 2B and 3B tile roof only 0 (none required) 1, 2A, 2B, 3A, 3B, 3C R-5 4C R-10 4A, 4B R-15 5 R-20 6 R-25 7 R-30 8 R-35 Contributes to, but does not supersede, thermal resistance requirements for attic and roof assemblies in Section C402.2.1 of the Florida Building Code, Energy Conservation."
1203.4,Section 1203 Ventilation,Under-Floor Ventilation,,,,,,The space between the bottom of the floor joists and the earth under any building except spaces occupied by basements or cellars shall be provided with ventilation openings through foundation walls or exterior walls. Such openings shall be placed so as to provide cross ventilation of the under-floor space.
1203.4.1,Section 1203 Ventilation,Openings for Under-Floor Ventilation,,,,,,"The net area of ventilation openings shall be not less than 1 square foot for each 150 square feet (0.67 m2 for each 100 m2) of crawl-space area. Ventilation openings shall be covered for their height and width with any of the following materials, provided that the least dimension of the covering shall be not greater than 1/4 inch (6.4 mm):Perforated sheet metal plates not less than 0.070 inch (1.8 mm) thick.Expanded sheet metal plates not less than 0.047 inch (1.2 mm) thick.Cast-iron grilles or gratings.Extruded load-bearing vents.Hardware cloth of 0.035-inch (0.89 mm) wire or heavier.Corrosion-resistant wire mesh, with the least dimension not greater than 1/8 inch (3.2 mm)."
1203.4.2,Section 1203 Ventilation,Exceptions,,,,,,"The following are exceptions to Sections 1203.4 and 1203.4.1:Where warranted by climatic conditions, ventilation openings to the outdoors are not required if ventilation openings to the interior are provided.The total area of ventilation openings is permitted to be reduced to 1/1,500 of the under-floor area where the ground surface is covered with a Class I vapor retarder material and the required openings are placed so as to provide cross ventilation of the space. The installation of operable louvers shall not be prohibited.Ventilation openings are not required where continuously operated mechanical ventilation is provided at a rate of 1.0 cubic foot per minute (cfm) for each 50 square feet (1.02 L/s for each 10 m2) of crawlspace floor area and the ground surface is covered with a Class I vapor retarder.Ventilation openings are not required where the ground surface is covered with a Class I vapor retarder, the perimeter walls are insulated and the space is conditioned in accordance with the Florida Building Code, Energy Conservation.For buildings in flood hazard areas as established in Section 1612.3, the openings for under-floor ventilation shall be deemed as meeting the flood opening requirements of ASCE 24 provided that the ventilation openings are designed and installed in accordance with ASCE 24."
1203.5,Section 1203 Ventilation,Natural Ventilation,,,,,,"Natural ventilation of an occupied space shall be through windows, doors, louvers or other openings to the outdoors. The operating mechanism for such openings shall be provided with ready access so that the openings are readily controllable by the building occupants."
1203.5.1,Section 1203 Ventilation,Ventilation Area Required,,,,,,The openable area of the openings to the outdoors shall be not less than 4 percent of the floor area being ventilated.
1203.5.1.1,Section 1203 Ventilation,Adjoining Spaces,,,,,,"Where rooms and spaces without openings to the outdoors are ventilated through an adjoining room, the opening to the adjoining room shall be unobstructed and shall have an area of not less than 8 percent of the floor area of the interior room or space, but not less than 25 square feet (2.3 m2). The openable area of the openings to the outdoors shall be based on the total floor area being ventilated.Exception: Exterior openings required for ventilation shall be permitted to open into a sunroom with thermal isolation or a patio cover provided that the openable area between the sunroom addition or patio cover and the interior room shall have an area of not less than 8 percent of the floor area of the interior room or space, but not less than 20 square feet (1.86 m2). The openable area of the openings to the outdoors shall be based on the total floor area being ventilated."
1203.5.1.2,Section 1203 Ventilation,Openings Below Grade,,,,,,"Where openings below grade provide required natural ventilation, the outside horizontal clear space measured perpendicular to the opening shall be one and one-half times the depth of the opening. The depth of the opening shall be measured from the average adjoining ground level to the bottom of the opening."
1203.5.2,Section 1203 Ventilation,Contaminants Exhausted,,,,,,"Contaminant sources in naturally ventilated spaces shall be removed in accordance with the Florida Building Code, Mechanical and the Florida Fire Prevention Code."
1203.5.2.1,Section 1203 Ventilation,Bathrooms,,,,,,"Rooms containing bathtubs, showers, spas and similar bathing fixtures shall be mechanically ventilated in accordance with the Florida Building Code, Mechanical."
1203.5.3,Section 1203 Ventilation,Openings on Yards or Courts,,,,,,"Where natural ventilation is to be provided by openings onto yards or courts, such yards or courts shall comply with Section 1206."
1203.6,Section 1203 Ventilation,Other Ventilation and Exhaust Systems,,,,,,"Ventilation and exhaust systems for occupancies and operations involving flammable or combustible hazards or other contaminant sources as covered in the Florida Building Code, Mechanical or the Florida Fire Prevention Code shall be provided as required by both codes."
1204.1,Section 1204 Temperature Control,Equipment and Systems,,,,,,"Interior spaces intended for human occupancy shall be provided with active or passive space heating systems capable of maintaining an indoor temperature of not less than 68°F (20°C) at a point 3 feet (914 mm) above the floor on the design heating day.Exceptions: Space heating systems are not required for:Interior spaces where the primary purpose of the space is not associated with human comfort.Group F, H, S or U occupancies."
1205.1,Section 1205 Lighting,General,Wall|Window|Door,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Institutional (I),sd|dd|cd,interior_environment,architect,Every space intended for human occupancy shall be provided with natural light by means of exterior glazed openings in accordance with Section 1205.2 or shall be provided with artificial light in accordance with Section 1205.3. Exterior glazed openings shall open directly onto a public way or onto a yard or court in accordance with Section 1206.
1205.2,Section 1205 Lighting,Natural Light,,,,,,The minimum net glazed area shall be not less than 8 percent of the floor area of the room served.
1205.2.1,Section 1205 Lighting,Adjoining Spaces,,,,,,"For the purpose of natural lighting, any room is permitted to be considered as a portion of an adjoining room where one-half of the area of the common wall is open and unobstructed and provides an opening of not less than one-tenth of the floor area of the interior room or 25 square feet (2.32 m2), whichever is greater.Exception: Openings required for natural light shall be permitted to open into a sunroom with thermal isolation or a patio cover where the common wall provides a glazed area of not less than one-tenth of the floor area of the interior room or 20 square feet (1.86 m2), whichever is greater."
1205.2.2,Section 1205 Lighting,Exterior Openings,,,,,,"Exterior openings required by Section 1205.2 for natural light shall open directly onto a public way, yard or court, as set forth in Section 1206. Exceptions: Required exterior openings are permitted to open into a roofed porch where the porch meets all of the following criteria: Abuts a public way, yard or court. Has a ceiling height of not less than 7 feet (2134 mm). Has a longer side at least 65 percent open and unobstructed. Skylights are not required to open directly onto a public way, yard or court."
1205.3,Section 1205 Lighting,Artificial Light,,,,,,Artificial light shall be provided that is adequate to provide an average illumination of 10 footcandles (107 lux) over the area of the room at a height of 30 inches (762 mm) above the floor level.
1205.4,Section 1205 Lighting,Stairway Illumination,,,,,,Stairways within dwelling units and exterior stairways serving a dwelling unit shall have an illumination level on tread runs of not less than 1 footcandle (11 lux). Stairways in other occupancies shall be governed by Chapter 10.
1205.4.1,Section 1205 Lighting,Controls,,,,,,The control for activation of the required stairway lighting shall be in accordance with NFPA 70.
1205.5,Section 1205 Lighting,Emergency Egress Lighting,,,,,,The means of egress shall be illuminated in accordance with Section 1008.1.
1206.1,Section 1206 Yards or Courts,General,,,,,,This section shall apply to yards and courts adjacent to exterior openings that provide natural light or ventilation. Such yards and courts shall be on the same lot as the building.
1206.2,Section 1206 Yards or Courts,Yards,,,,,,"Yards shall be not less than 3 feet (914 mm) in width for buildings two stories or less above grade plane. For buildings more than two stories above grade plane, the minimum width of the yard shall be increased at the rate of 1 foot (305 mm) for each additional story. For buildings exceeding 14 stories above grade plane, the required width of the yard shall be computed on the basis of 14 stories above grade plane."
1206.3,Section 1206 Yards or Courts,Courts,,,,,,"Courts shall be not less than 3 feet (914 mm) in width. Courts having windows opening on opposite sides shall be not less than 6 feet (1829 mm) in width. Courts shall be not less than 10 feet (3048 mm) in length unless bounded on one end by a public way or yard. For buildings more than two stories above grade plane, the court shall be increased 1 foot (305 mm) in width and 2 feet (610 mm) in length for each additional story. For buildings exceeding 14 stories above grade plane, the required dimensions shall be computed on the basis of 14 stories above grade plane."
1206.3.1,Section 1206 Yards or Courts,Court Access,,,,,,Access shall be provided to the bottom of courts for cleaning purposes.
1206.3.2,Section 1206 Yards or Courts,Air Intake,,,,,,Courts more than two stories in height shall be provided with a horizontal air intake at the bottom not less than 10 square feet (0.93 m2) in area and leading to the exterior of the building unless abutting a yard or public way.
1206.3.3,Section 1206 Yards or Courts,Court Drainage,,,,,,"The bottom of every court shall be properly graded and drained to a public sewer or other approved disposal system complying with the Florida Building Code, Plumbing."
1207.1,Section 1207 Sound Transmission,Scope,,,,,,"This section shall apply to common interior walls, partitions and floor/ceiling assemblies between adjacent dwelling units and sleeping units or between dwelling units and sleeping units and adjacent public areas such as halls, corridors, stairways or service areas."
1207.2,Section 1207 Sound Transmission,Airborne Sound,,,,,,"Walls, partitions and floor/ceiling assemblies separating dwelling units and sleeping units from each other or from public or service areas shall have a sound transmission class of not less than 50 where tested in accordance with ASTM E90, or have a Normalized Noise Isolation Class (NNIC) rating of not less than 45 if field tested in accordance with ASTM E336 for airborne noise. Alternatively, the sound transmission class of walls, partitions and floor/ceiling assemblies shall be established by engineering analysis based on a comparison of walls, partitions and floor/ceiling assemblies having sound transmission class ratings as determined by the test procedures set forth in ASTM E90. Penetrations or openings in construction assemblies for piping; electrical devices; recessed cabinets; bathtubs; soffits; or heating, ventilating or exhaust ducts shall be sealed, lined, insulated or otherwise treated to maintain the required ratings. This requirement shall not apply to entrance doors; however, such doors shall be tight fitting to the frame and sill."
1207.2.1,Section 1207 Sound Transmission,Masonry,,,,,,The sound transmission class of concrete masonry and clay masonry assemblies shall be calculated in accordance with TMS 0302 or determined through testing in accordance with ASTM E90.
1207.3,Section 1207 Sound Transmission,Structure-Borne Sound,,,,,,"Floor/ceiling assemblies between dwelling units and sleeping units or between a dwelling unit or sleeping unit and a public or service area within the structure shall have an impact insulation class rating of not less than 50 where tested in accordance with ASTM E492, or have an Apparent Impact Insulation Class (AIIC) of not less than 45 if field tested in accordance with ASTM E1007. Alternatively, the impact insulation class of floor/ceiling assemblies shall be established by engineering analysis based on a comparison of floor/ceiling assemblies having impact insulation class ratings as determined by the test procedures set forth in ASTM E492."
1208.1,Section 1208 Interior Space Dimensions,Minimum Room Widths,Wall|Slab|Door|Window,Residential (R)|Institutional (I)|Assembly (A)|Business (B)|Educational (E),sd|dd|cd,interior_environment,architect,"Habitable spaces, other than a kitchen, shall be not less than 7 feet (2134 mm) in any plan dimension. Kitchens shall have a clear passageway of not less than 3 feet (914 mm) between counter fronts and appliances or counter fronts and walls."
1208.2,Section 1208 Interior Space Dimensions,Minimum Ceiling Heights,Slab|Roof|Beam|Wall,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Institutional (I),sd|dd|cd,interior_environment,architect,"Occupiable spaces, habitable spaces and corridors shall have a ceiling height of not less than 7 feet 6 inches (2286 mm) above the finished floor. Bathrooms, toilet rooms, kitchens, storage rooms and laundry rooms shall have a ceiling height of not less than 7 feet (2134 mm) above the finished floor.Exceptions:In one- and two-family dwellings, beams or girders spaced not less than 4 feet (1219 mm) on center shall be permitted to project not more than 6 inches (152 mm) below the required ceiling height.If any room in a building has a sloped ceiling, the prescribed ceiling height for the room is required in one-half the area thereof. Any portion of the room measuring less than 5 feet (1524 mm) from the finished floor to the ceiling shall not be included in any computation of the minimum area thereof.The height of mezzanines and spaces below mezzanines shall be in accordance with Section 505.1.Corridors contained within a dwelling unit or sleeping unit in a Group R occupancy shall have a ceiling height of not less than 7 feet (2134 mm) above the finished floor."
1208.2.1,Section 1208 Interior Space Dimensions,Furred Ceiling,Slab|Covering|Wall,Residential (R)|Assembly (A)|Business (B)|Educational (E),sd|dd|cd,interior_environment,architect,"Any room with a furred ceiling shall be required to have the minimum ceiling height in two-thirds of the area thereof, but in no case shall the height of the furred ceiling be less than 7 feet (2134 mm)."
1208.3,Section 1208 Interior Space Dimensions,Room Area,,,,,,Every dwelling unit shall have no fewer than one room that shall have not less than 120 square feet (11.2 m2) of net floor area. Other habitable rooms shall have a net floor area of not less than 70 square feet (6.5 m2).Exception: Kitchens are not required to be of a minimum floor area.
1208.4,Section 1208 Interior Space Dimensions,Efficiency Dwelling Units,,,,,,"Efficiency dwelling units shall conform to the requirements of the code except as modified herein:The unit shall have a living room of not less than 190 square feet (17.7 m2) of floor area.The unit shall be provided with a separate closet.The unit shall be provided with a kitchen sink, cooking appliance and refrigeration facilities, each having a clear working space of not less than 30 inches (762 mm) in front. Light and ventilation conforming to this code shall be provided.The unit shall be provided with a separate bathroom containing a water closet, lavatory and bathtub or shower."
1209.1,Section 1209 Access to Unoccupied Spaces,Crawl Spaces,Slab|Wall,Residential (R)|Business (B)|Educational (E)|Assembly (A)|Mercantile (M),sd|dd|cd,accessibility,architect,Crawl spaces shall be provided with not fewer than one access opening that shall be not less than 18 inches by 24 inches (457 mm by 610 mm).
1209.2,Section 1209 Access to Unoccupied Spaces,Attic Spaces,Slab|Roof|Wall|BuildingElementProxy,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Institutional (I),sd|dd|cd,means_of_egress,architect,An opening not less than 20 inches by 30 inches (559 mm by 762 mm) shall be provided to any attic area having a clear height of over 30 inches (762 mm). Clear headroom of not less than 30 inches (762 mm) shall be provided in the attic space at or above the access opening.
1209.3,Section 1209 Access to Unoccupied Spaces,Mechanical Appliances,Roof|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,mechanical_systems,mechanical_engineer,"Access to mechanical appliances installed in under-floor areas, in attic spaces and on roofs or elevated structures shall be in accordance with the Florida Building Code, Mechanical."
1210.1,Section 1210 Toilet and Bathroom Requirements,Required Fixtures,BuildingElementProxy|Slab|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,plumbing_systems,architect,The number and type of plumbing fixtures provided in any occupancy shall comply with Chapter 29.
1210.2,Section 1210 Toilet and Bathroom Requirements,Finish Materials,Wall|Slab|Partition|Floor|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,finishes_materials,architect,"Walls, floors and partitions in toilet and bathrooms shall comply with Sections 1210.2.1 through 1210.2.4."
1210.2.1,Section 1210 Toilet and Bathroom Requirements,Floors and Wall Bases,Slab|Wall|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,finishes_materials,architect,"In other than dwelling units, toilet, bathing and shower room floor finish materials shall have a smooth, hard, nonabsorbent surface. The intersections of such floors with walls shall have a smooth, hard, nonabsorbent vertical base that extends upward onto the walls not less than 4 inches (102 mm)."
