id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
301.1,Section 301 Scope,General,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd,occupancy_classification,architect,The provisions of this chapter shall control the classification of all buildings and structures as to occupancy and use. Different classifications of occupancy and use represent varying levels of hazard and risk to building occupants and adjacent properties.
302.1,Section 302 Occupancy Classification and Use Designation,Occupancy Classification,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Occupancy classification is the formal designation of the primary purpose of the building, structure or portion thereof. Structures shall be classified into one or more of the occupancy groups listed in this section based on the nature of the hazards and risks to building occupants generally associated with the intended purpose of the building or structure. An area, room or space that is intended to be occupied at different times for different purposes shall comply with all applicable requirements associated with such potential multipurpose. Structures containing multiple occupancy groups shall comply with Section 508. Where a structure is proposed for a purpose that is not specifically listed in this section such structure shall be classified in the occupancy it most nearly resembles based on the fire safety and relative hazard. Occupied roofs shall be classified in the group that the occupancy most nearly resembles, according to the fire safety and relative hazard involved, and shall comply with Section 503.1.4.Assembly (see Section 303): Groups A-1, A-2, A-3, A-4 and A-5.Business (see Section 304): Group B.Educational (see Section 305): Group E.Factory and Industrial (see Section 306): Groups F-1 and F-2.High Hazard (see Section 307): Groups H-1, H-2, H-3, H-4 and H-5.Institutional (see Section 308): Groups I-1, I-2, I-3 and I-4.Mercantile (see Section 309): Group M.Residential (see Section 310): Groups R-1, R-2, R-3 and R-4.Storage (see Section 311): Groups S-1 and S-2.Utility and Miscellaneous (see Section 312): Group U."
302.2,Section 302 Occupancy Classification and Use Designation,Use Designation,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd,occupancy_classification,architect,"Occupancy groups contain subordinate uses having similar hazards and risks to building occupants. Uses include, but are not limited to, those functional designations listed within the occupancy group descriptions in Section 302.1. Certain uses require specific limitations and controls in accordance with the provisions of Chapter 4 and elsewhere in this code."
303.1,Section 303 Assembly Group A,Assembly Group A,Wall|Door|Slab,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Assembly Group A occupancy includes, among others, the use of a building or structure, or a portion thereof, for the gathering of persons for purposes such as civic, social or religious functions; recreation, food or drink consumption or awaiting transportation."
303.1.1,Section 303 Assembly Group A,Small Buildings and Tenant Spaces,Wall|Door|Slab,Assembly (A)|Business (B),sd|dd|cd,occupancy_classification,architect,A building or tenant space used for assembly purposes with an occupant load of less than 50 persons shall be classified as a Group B occupancy.
303.1.2,Section 303 Assembly Group A,Small Assembly Spaces,Wall|Door|Slab,Assembly (A)|Business (B),concept|sd|dd|cd,occupancy_classification,architect,The following rooms and spaces shall not be classified as Assembly occupancies:A room or space used for assembly purposes with an occupant load of less than 50 persons and accessory to another occupancy shall be classified as a Group B occupancy or as part of that occupancy.A room or space used for assembly purposes that is less than 750 square feet (70 m2) in area and accessory to another occupancy shall be classified as a Group B occupancy or as part of that occupancy.
303.1.3,Section 303 Assembly Group A,Associated With Group E Occupancies,Wall|Door|Slab,Educational (E)|Assembly (A),sd|dd|cd,occupancy_classification,architect,A room or space used for assembly purposes that is associated with a Group E occupancy is not considered a separate occupancy.
303.1.4,Section 303 Assembly Group A,Accessory to Places of Religious Worship,BuildingElementProxy|Door|Wall,Assembly (A)|Educational (E),sd|dd|cd,occupancy_classification,architect,Accessory religious educational rooms and religious auditoriums with occupant loads of less than 100 per room or space are not considered separate occupancies.
303.2,Section 303 Assembly Group A,Assembly Group A-1,Wall|Door|Window,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Group A-1 occupancy includes assembly uses, usually with fixed seating, intended for the production and viewing of the performing arts or motion pictures including, but not limited to:Motion picture theatersSymphony and concert hallsTelevision and radio studios admitting an audienceTheaters"
303.3,Section 303 Assembly Group A,Assembly Group A-2,BuildingElementProxy|Wall|Door,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Group A-2 occupancy includes assembly uses intended for food and/or drink consumption including, but not limited to:Banquet hallsCasinos (gaming areas)NightclubsRestaurants, cafeterias and similar dining facilities (including associated commercial kitchens)Taverns and bars"
303.4,Section 303 Assembly Group A,Assembly Group A-3,Wall|Slab|Door|Window,Assembly (A),sd|dd|cd,occupancy_classification,architect,"Group A-3 occupancy includes assembly uses intended for worship, recreation or amusement and other assembly uses not classified elsewhere in Group A including, but not limited to:Amusement arcadesArt galleriesBowling alleysCommunity hallsCourtroomsDance halls (not including food or drink consumption)Exhibition hallsFuneral parlorsGymnasiums (without spectator seating)Indoor swimming pools (without spectator seating)Indoor tennis courts (without spectator seating)Lecture hallsLibrariesMuseumsPlaces of religious worshipPool and billiard parlorsWaiting areas in transportation terminals"
303.5,Section 303 Assembly Group A,Assembly Group A-4,Wall|Slab|Stair|Railing,Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"Group A-4 occupancy includes assembly uses intended for viewing of indoor sporting events and activities with spectator seating including, but not limited to:ArenasSkating rinksSwimming poolsTennis courts"
