id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1501.1,Section 1501 General,Scope,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),cd|ca,special_construction,architect,The provisions of this chapter shall govern safety during construction that is under the jurisdiction of this code and the protection of adjacent public and private properties.
1501.2,Section 1501 General,Storage and Placement,,,,,,"Construction equipment and materials shall be stored and placed so as not to endanger the public, the workers or adjoining property for the duration of the construction project."
1501.3,Section 1501 General,"Alterations, Repairs, and Additions",,,,,,"Required exits, existing structural elements, fire protection devices, and sanitary safeguards shall be maintained at all times during alterations, repairs, or additions to any building or structure.Exceptions:When such required elements or devices are being altered or repaired, adequate substitute provisions shall be made.When the existing building is not occupied."
1501.4,Section 1501 General,Manner of Removal,,,,,,"Waste materials shall be removed in a manner which prevents injury or damage to persons, adjoining properties, and public rights-of-way."
1501.5,Section 1501 General,Fire Safety During Construction,,,,,,"Fire safety during construction shall comply with the applicable requirements of the Florida Building Code, Building and the applicable provisions of the Florida Fire Prevention Code."
1501.6,Section 1501 General,Protection of Pedestrians,,,,,,"Pedestrians shall be protected during construction and demolition activities as required by Sections 1501.6.1 through 1501.6.7 and Table 1501.6. Signs shall be provided to direct pedestrian traffic.[BS] TABLE 1501.6PROTECTION OF PEDESTRIANS HEIGHT OF CONSTRUCTION DISTANCE OF CONSTRUCTION TO LOT LINE TYPE OF PROTECTION REQUIRED 8 feet or less Less than 5 feet Construction railings 5 feet or more None More than 8 feet Less than 5 feet Barrier and covered walkway 5 feet or more, but not more than one-fourth the height of construction Barrier and covered walkway 5 feet or more, but between one-fourth and one-half the height of construction Barrier 5 feet or more, but exceeding one-half the height of construction None For SI: 1 foot = 304.8 mm."
1501.6.1,Section 1501 General,Walkways,,,,,,"A walkway shall be provided for pedestrian travel in front of every construction and demolition site unless the applicable governing authority authorizes the sidewalk to be fenced or closed. Walkways shall be of sufficient width to accommodate the pedestrian traffic, but in no case shall they be less than 4 feet (1219 mm) in width. Walkways shall be provided with a durable walking surface. Walkways shall be accessible in accordance with Chapter 11 of the Florida Building Code, Building and shall be designed to support all imposed loads and in no case shall the design live load be less than 150 pounds per square foot (psf) (7.2 kN/m2)."
1501.6.2,Section 1501 General,Directional Barricades,,,,,,Pedestrian traffic shall be protected by a directional barricade where the walkway extends into the street. The directional barricade shall be of sufficient size and construction to direct vehicular traffic away from the pedestrian path.
1501.6.3,Section 1501 General,Construction Railings,,,,,,Construction railings shall be at least 42 inches (1067 mm) in height and shall be sufficient to direct pedestrians around construction areas.
1501.6.4,Section 1501 General,Barriers,,,,,,Barriers shall be a minimum of 8 feet (2438 mm) in height and shall be placed on the side of the walkway nearest the construction. Barriers shall extend the entire length of the construction site. Openings in such barriers shall be protected by doors which are normally kept closed.
1501.6.4.1,Section 1501 General,Barrier Design,,,,,,"Barriers shall be designed to resist loads required in Chapter 16 of the Florida Building Code, Building unless constructed as follows:Barriers shall be provided with 2 × 4 top and bottom plates.The barrier material shall be a minimum of 3/4 inch (19.1 mm) boards or 1/4 inch (6.4 mm) wood structural use panels.Wood structural use panels shall be bonded with an adhesive identical to that for exterior wood structural use panels.Wood structural use panels 1/4 inch (6.4 mm) or 1/16 inch (1.6 mm) in thickness shall have studs spaced not more than 2 feet (610 mm) on center.Wood structural use panels 3/8 inch (9.5 mm) or 1/2 inch (12.7 mm) in thickness shall have studs spaced not more than 4 feet (1219 mm) on center, provided a 2-inch by 4-inch (51 mm by 102 mm) stiffener is placed horizontally at the mid-height where the stud spacing exceeds 2 feet (610 mm) on center.Wood structural use panels 5/8 inch (15.9 mm) or thicker shall not span over 8 feet (2438 mm)."
1501.6.5,Section 1501 General,Covered Walkways,,,,,,"Covered walkways shall have a minimum clear height of 8 feet (2438 mm) as measured from the floor surface to the canopy overhead. Adequate lighting shall be provided at all times. Covered walkways shall be designed to support all imposed loads. In no case shall the design live load be less than 150 psf (7.2 kN/m2) for the entire structure.Exception: Roofs and supporting structures of covered walkways for new, light-frame construction not exceeding two stories above grade plane are permitted to be designed for a live load of 75 psf (3.6 kN/m2) or the loads imposed on them, whichever is greater. In lieu of such designs, the roof and supporting structure of a covered walkway are permitted to be constructed as follows:Footings shall be continuous 2 × 6 members.Posts not less than 4 × 6 shall be provided on both sides of the roof and spaced not more than 12 feet (3658 mm) on center.Stringers not less than 4 × 12 shall be placed on edge upon the posts.Joists resting on the stringers shall be at least 2 × 8 and shall be spaced not more than 2 feet (610 mm) on center.The deck shall be planks at least 2 inches (51 mm) thick or wood structural panels with an exterior exposure durability classification at least 23/32 inch (18.3 mm) thick nailed to the joists.Each post shall be knee-braced to joists and stringers by 2 × 4 minimum members 4 feet (1219 mm) long.A 2 × 4 minimum curb shall be set on edge along the outside edge of the deck."
1501.6.6,Section 1501 General,"Repair, Maintenance and Removal",,,,,,"Pedestrian protection required by Section 1501.6 shall be maintained in place and kept in good order for the entire length of time pedestrians may be endangered. The owner or the owner's agent, upon the completion of the construction activity, shall immediately remove walkways, debris and other obstructions and leave such public property in as good a condition as it was before such work was commenced."
1501.6.7,Section 1501 General,Adjacent to Excavations,,,,,,"Every excavation on a site located 5 feet (1524 mm) or less from the street lot line shall be enclosed with a barrier not less than 6 feet (1829 mm) high. Where located more than 5 feet (1524 mm) from the street lot line, a barrier shall be erected when required by the code official. Barriers shall be of adequate strength to resist wind pressure as specified in Chapter 16 of the Florida Building Code, Building."
1501.7,Section 1501 General,Facilities Required,,,,,,"Sanitary facilities shall be provided during construction or demolition activities in accordance with the Florida Building Code, Plumbing."
1502.1,Section 1502 Protection of Adjoining Property,Protection Required,,,,,,"Adjoining public and private property shall be protected from damage during construction and demolition work. Protection must be provided for footings, foundations, party walls, chimneys, skylights and roofs. Provisions shall be made to control water runoff and erosion during construction or demolition activities. The person making or causing an excavation to be made shall provide written notice to the owners of adjoining buildings advising them that the excavation is to be made and that the adjoining buildings should be protected. Said notification shall be delivered not less than 10 days prior to the scheduled starting date of the excavation."
1503.1,"Section 1503 Temporary Use of Streets, Alleys and Public Property",Storage and Handling of Materials,,,,,,"The temporary use of streets or public property for the storage or handling of materials or equipment required for construction or demolition, and the protection provided to the public shall comply with the provisions of the applicable governing authority and this chapter."
1503.2,"Section 1503 Temporary Use of Streets, Alleys and Public Property",Obstructions,,,,,,"Construction materials and equipment shall not be placed or stored so as to obstruct access to fire hydrants, standpipes, fire or police alarm boxes, catch basins or manholes, nor shall such material or equipment be located within 20 feet (6.1 m) of a street intersection, or placed so as to obstruct normal observations of traffic signals or to hinder the use of public transit loading platforms."
1503.3,"Section 1503 Temporary Use of Streets, Alleys and Public Property",Utility Fixtures,,,,,,"Building materials, fences, sheds or any obstruction of any kind shall not be placed so as to obstruct free approach to any fire hydrant, fire department connection, utility pole, manhole, fire alarm box, or catch basin, or so as to interfere with the passage of water in the gutter. Protection against damage shall be provided to such utility fixtures during the progress of the work, but sight of them shall not be obstructed."
