id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
301.1,Section 301 Administration,General,Wall|Slab|Door|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"The repair, alteration, change of occupancy, addition or relocation of all existing buildings shall comply with Sections 301.2 or 301.3, as applicable."
301.1.1,Section 301 Administration,"Bleachers, Grandstands and Folding and Telescopic Seating",BuildingElementProxy,Assembly (A),sd|dd|cd,special_construction,architect,"Existing bleachers, grandstands and folding and telescopic seating shall comply with ICC 300."
301.2,Section 301 Administration,Repairs,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),cd|ca,special_construction,architect,Repairs shall comply with the requirements of Chapter 4.
301.3,Section 301 Administration,"Alteration, Change of Occupancy, Addition or Relocation",Wall|Column|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,"The alteration, change of occupancy, addition or relocation of all existing buildings shall comply with one of the methods listed in Sections 301.3.1 through 301.3.3 as selected by the applicant. Sections 301.3.1 through 301.3.3 shall not be applied in combination with each other.Exception: Subject to the approval of the code official, alterations complying with the laws in existence at the time the building, or the affected portion of the building, was built shall be considered in compliance with the provisions of this code. New structural members added as part of the alteration shall comply with the Florida Building Code, Building. This exception shall not apply to alterations that constitute substantial improvement in flood hazard areas that comply with Section 503.2, 701.3 or 1302.6. This exception shall not apply to the structural provisions of Chapter 5 or to the structural provisions of Sections 707, 807 and 907."
301.3.1,Section 301 Administration,Prescriptive Compliance Method,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions and changes of occupancy complying with Chapter 5 of this code in buildings complying with the Florida Fire Prevention Code shall be considered in compliance with the provisions of this code."
301.3.2,Section 301 Administration,Work Area Compliance Method,Wall|Door|Window,Assembly (A)|Business (B)|Mercantile (M)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions, changes in occupancy and relocated buildings complying with the applicable requirements of Chapters 6 through 13 of this code shall be considered in compliance with the provisions of this code."
301.3.3,Section 301 Administration,Performance Compliance Method,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions, changes in occupancy and relocated buildings complying with Chapter 14 of this code shall be considered in compliance with the provisions of this code."
301.3.4,Section 301 Administration,Concrete Evaluation and Design Procedures,Slab|Beam|Column|Footing|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,Evaluation and design of structural concrete in compliance with ACI 562 shall be permitted.Exception: ACI 562 shall not be used to comply with provisions of this code for seismic evaluation and design procedures.
301.4,Section 301 Administration,Existing Mechanical Equipment,Roof|MechanicalSystem,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,mechanical_systems,mechanical_engineer,An agency or local government may not require that existing mechanical equipment located on or above the surface of a roof be installed in compliance with the requirements of the Florida Building Code except during reroofing when the equipment is being replaced or moved and is not in compliance with the provisions of the Florida Building Code relating to roof-mounted mechanical units.
301.5,Section 301 Administration,Relocated Buildings,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,special_construction,architect,Relocated buildings shall comply with the requirements of Chapter 13 of this code.
