id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
R901.1,Chapter 9 Roof Assemblies,Scope,Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"The provisions of this chapter shall govern the design, materials, construction and quality of roof assemblies.Exception: Buildings and structures located within the High-Velocity Hurricane Zone shall comply with the provisions of Chapter 44."
R902.1,Chapter 9 Roof Assemblies,Roofing Covering Materials,,,,,,"Roofs shall be covered with materials as set forth in Sections R904 and R905. Class A, B or C roof assemblies shall be installed in jurisdictions designated by law as requiring their use or where the edge of the roof is less than 3 feet (914 mm) from a lot line. Where Class A, B, or C roof assemblies are required, they shall be tested in accordance with ASTM E108 or UL 790. Where required, the roof assembly shall be listed and identified as to Class by an approved testing agency.Exceptions:Class A roof assemblies include those with coverings of brick, masonry and exposed concrete roof deck.Class A roof assemblies include ferrous or copper shingles or sheets, metal sheets and shingles, clay or concrete roof tile, or slate installed on noncombustible decks.Class A roof assemblies include minimum 16 ounces per square foot copper sheets installed over combustible decks."
R902.2,Chapter 9 Roof Assemblies,Fire-Retardant-Treated Shingles and Shakes,Roof|Covering,Residential (R),sd|dd|cd,finishes_materials,architect,"Fire-retardant-treated wood shakes and shingles shall be treated by impregnation with chemicals by the full-cell vacuum-pressure process, in accordance with AWPA C1. Each bundle shall be marked to identify the manufactured unit and the manufacturer, and shall be labeled to identify the classification of the material in accordance with the testing required in Section R902.1, the treating company and the quality control agency."
R902.3,Chapter 9 Roof Assemblies,Building-Integrated Photovoltaic Product,,,,,,Reserved.
R902.4,Chapter 9 Roof Assemblies,Rooftop-Mounted Photovoltaic Panel Systems,Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"Rooftop-mounted photovoltaic panel systems installed on or above the roof covering shall be tested, listed and identified with a fire classification in accordance with UL 1703 and UL 2703. Class A, B or C photovoltaic panel systems and modules shall be installed in jurisdictions designated by law as requiring their use or where the edge of the roof is less than 3 feet (914 mm) from a lot line."
R903.1,Chapter 9 Roof Assemblies,General,Roof|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,Roof decks shall be covered with approved roof coverings secured to the building or structure in accordance with the provisions of this chapter. Roof assemblies shall be designed and installed in accordance with this code and the approved manufacturer's installation instructions such that the roof assembly shall serve to protect the building or structure.
R903.2,Chapter 9 Roof Assemblies,Flashing,Wall|Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect,"Flashings shall be used to seal roofing systems, where the system is interrupted or terminated and shall be installed in a manner that prevents moisture from entering the wall and roof through joints in copings, through moisture permeable materials and at intersections with parapet walls and other penetrations through the roof plane."
R903.2.1,Chapter 9 Roof Assemblies,Locations,Wall|Roof|Covering|Slab|Window,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,assemblies_envelope,architect,"Flashings shall be installed at wall and roof intersections, wherever there is a change in roof slope or direction and around roof openings. Where flashing is of metal, the metal shall be corrosion resistant with a thickness of not less than provided in Table R903.2.1 or in compliance with RAS 111.Exception: Flashing is not required at hip and ridge junctions.TABLE R903.2.1METAL FLASHING MATERIAL MATERIAL GAGE MINIMUM THICKNESS (inches) GAGE WEIGHT (lbf) Copper 0.024 — 1 (16 oz) Aluminum 0.024 — — Stainless steel — 28 — Galvanized steel 0.0179 26 (zinc coated G90) 26 (zinc coated G90) Aluminum zinc coated steel 0.0179 26 (AZ50 alum zinc) 26 (AZ50 alum zinc) Zinc alloy 0.027 — — Lead — 2.5 (40 oz.) — Painted terne — — 1.25 (20 oz.)"
R903.2.2,Chapter 9 Roof Assemblies,Crickets and Saddles,Chimney|Roof|Covering,Residential (R),sd|dd|cd,assemblies_envelope,architect,A cricket or saddle shall be installed on the ridge side of any chimney or penetration more than 30 inches (762 mm) wide as measured perpendicular to the slope. Cricket or saddle coverings shall be sheet metal or of the same material as the roof covering.Exception: Unit skylights installed in accordance with Section R308.6 and flashed in accordance with the manufacturer's instructions shall be permitted to be installed without a cricket or saddle.
R903.2.3,Chapter 9 Roof Assemblies,Membrane Flashings,,,,,,All membrane flashing shall be installed according to the roof assembly manufacturer's published literature.
