id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
6,,Wall Construction,Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"User notes:About this chapter: Chapter 6 contains prescriptive provisions for the design and construction of walls. The wall construction covered in Chapter 6 consists of five different types: wood framed, cold-formed steel framed, masonry, concrete and structural insulated panel (SIP). The primary concern of this chapter is the structural integrity of wall construction and transfer of all imposed loads to the supporting structure."
R601.1,Chapter 6 Wall Construction,Application,Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,assemblies_envelope,architect,The provisions of this chapter shall control the design and construction of walls and partitions for buildings.
R601.2,Chapter 6 Wall Construction,Requirements,Wall|Bearing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,Wall construction shall be capable of accommodating all loads imposed in accordance with Section R301 and of transmitting the resulting loads to the supporting structural elements.
R601.2.1,Chapter 6 Wall Construction,Compressible Floor-Covering Materials,Covering|Wall|Column|Slab,Assembly (A)|Business (B)|Residential (R)|Educational (E),sd|dd|cd,finishes_materials,architect,"Compressible floor-covering materials that compress more than 1/32 inch (0.8 mm) when subjected to 50 pounds (23 kg) applied over 1 inch square (645 mm) of material and are greater than 1/8 inch (3.2 mm) in thickness in the uncompressed state shall not extend beneath walls, partitions or columns, which are fastened to the floor."
R602.1,Chapter 6 Wall Construction,General,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,Wood and wood-based products used for load-supporting purposes shall conform to the applicable provisions of this section.
R602.1.1,Chapter 6 Wall Construction,Sawn Lumber,Wall|Beam|Column|Roof|Slab,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Mercantile (M),sd|dd|cd,finishes_materials,architect,"Sawn lumber shall be identified by a grade mark of an accredited lumber grading or inspection agency and have design values certified by an accreditation body that complies with DOC PS 20. In lieu of a grade mark, a certification of inspection issued by a lumber grading or inspection agency meeting the requirements of this section shall be accepted."
R602.1.2,Chapter 6 Wall Construction,End-Jointed Lumber,Wall|Beam|Column|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,fire_resistance_smoke_protection,architect,"Approved end-jointed lumber identified by a grade mark conforming to Section R602.1 shall be permitted to be used interchangeably with solid-sawn members of the same species and grade. End-jointed lumber used in an assembly required elsewhere in this code to have a fire-resistance rating shall have the designation ""Heat Resistant Adhesive"" or ""HRA"" included in its grade mark."
R602.1.3,Chapter 6 Wall Construction,Structural Glued-Laminated Timbers,Beam|Column|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"Glued-laminated timbers shall be manufactured and identified as required in ANSI A190.1, ANSI 117 and ASTM D3737."
R602.1.4,Chapter 6 Wall Construction,Structural Log Members,Beam|Column|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,Structural log members shall comply with the provisions of ICC 400.
R602.1.5,Chapter 6 Wall Construction,Structural Composite Lumber,Beam|Column|Wall|Slab,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Factory and Industrial (F),sd|dd|cd,structural_design,structural_engineer,Structural capacities for structural composite lumber shall be established and monitored in accordance with ASTM D5456.
R602.1.6,Chapter 6 Wall Construction,Cross-Laminated Timber,Wall|Slab|Roof|Beam|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,construction_type_ratings,architect,Cross-laminated timber shall be manufactured and identified as required by ANSI/APA PRG 320.
R602.1.7,Chapter 6 Wall Construction,Engineered Wood Rim Board,Slab|Plate,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,Engineered wood rim boards shall conform to ANSI/APA PRR 410 or shall be evaluated in accordance with ASTM D7672. Structural capacities shall be in accordance with either ANSI/APA PRR 410 or established in accordance with ASTM D7672. Rim boards conforming to ANSI/APA PRR 410 shall be marked in accordance with that standard.
R602.1.8,Chapter 6 Wall Construction,Wood Structural Panels,Wall|Slab|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,"Wood structural panel sheathing shall conform to DOC PS 1, DOC PS 2 or, when manufactured in Canada, CSA O325 or CSA O437. Panels shall be identified for grade, bond classification, and performance category by a grade mark or certificate of inspection issued by an approved agency."
R602.1.9,Chapter 6 Wall Construction,Particleboard,Wall|Slab|Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,Particleboard shall conform to ANSI A208.1. Particleboard shall be identified by the grade mark or certificate of inspection issued by an approved agency.
R602.1.10,Chapter 6 Wall Construction,Fiberboard,Wall|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,"Fiberboard shall conform to ASTM C208. Fiberboard sheathing, where used structurally, shall be identified by an approved agency as conforming to ASTM C208."
R602.1.11,Chapter 6 Wall Construction,Structural Insulated Panels,Wall|Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,assemblies_envelope,architect,Structural insulated panels shall be manufactured and identified in accordance with ANSI/APA PRS 610.1.
R602.2,Chapter 6 Wall Construction,Grade,Wall|Column|Bearing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"Studs shall be a minimum No. 3, standard or stud grade lumber. Exception: Bearing studs not supporting floors and nonbearing studs shall be permitted to be utility grade lumber, provided that the studs are spaced in accordance with Table R602.3(5)."
