id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
12,,Historic Buildings,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,"User notes:About this chapter: Chapter 12 provides some exceptions from code requirements when the building in question has historic value. The most important criterion for application of this chapter is that the building must be essentially accredited as being of historic significance by a state or local authority after careful review of the historical value of the building. Most, if not all, states have such authorities, as do many local jurisdictions. The agencies with such authority can be located at the state or local government level or through the local chapter of the American Institute of Architects (AIA). Other considerations include the structural condition of the building (i.e., is the building structurally sound), its proposed use, its impact on life safety and how the intent of the code, if not the letter, will be achieved."
1201.1,Section 1201 General,Scope,Wall|Roof|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,special_construction,architect,"This chapter is intended to provide means for the preservation of historic buildings. Historic buildings shall comply with the provisions of this chapter relating to their repair, alteration, relocation and change of occupancy."
1201.2,Section 1201 General,Report,Wall|Column|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"A historic building undergoing alteration or change of occupancy shall be investigated and evaluated, and a written report shall be prepared and filed with the code official by a registered design professional where required by the code official. The report shall identify all unsafe conditions as defined in Section 115. For buildings assigned to Seismic Design Category D, E or F, a description of the vertical and horizontal elements of the lateral force-resisting system and strengths or weaknesses therein shall be included. Additionally, the report shall describe the components of the building that provide a level of safety substantially below that required of existing nonhistoric buildings.Exception: An investigation, evaluation and report shall not be required where the alteration is scoped by Section 602 as a Level 1 alteration and does not make the building or structure less compliant with the provisions of the Building Code of New York State."
1201.3,Section 1201 General,Special Occupancy Exceptions—Museums,Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"Where a building in Group R-3 is used for Group A, B or M purposes such as museum tours, exhibits and other public assembly activities, or for museums less than 3,000 square feet (279 m2) per floor and a maximum of three stories, the occupancy shall be classified as Group B where life safety conditions are approved by the code official in accordance with Section 1201.2. Adequate means of egress in such buildings, including, but not limited to, a means of maintaining doors in an unlocked position to permit egress, a limit on building occupancy to an occupant load permitted by the means of egress capacity, a limit on occupancy of certain areas or floors, or supervision by a person knowledgeable in the emergency exiting procedures, shall be provided."
1201.4,Section 1201 General,Flood Hazard Areas,Wall|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,site_planning,architect,"In flood hazard areas, if all proposed work, including repairs, work required because of a change of occupancy, and alterations, constitutes substantial improvement, then the existing building shall comply with Section 1612 of the Building Code of New York State, or Section R306 of the Residential Code of New York State, as applicable.Exception: If a historic building will continue to be a historic building after the proposed work is completed, then the proposed work is not considered a substantial improvement. For the purposes of this exception, a historic building is any of the following: Listed, or certified as eligible for listing, in the National Register of Historic Places or in the New York State Register of Historic Places. Designated as historic under an applicable state or local law. Certified as a contributing resource within a National Register-listed, State Register-listed, or locally designated historic district."
1201.5,Section 1201 General,Unsafe Conditions,Wall|Roof|Slab|Column|Stair,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,fire_resistance_smoke_protection,architect,Conditions determined by the code official to be unsafe shall be remedied. Work shall not be required beyond what is required to remedy the unsafe conditions.
1202.1,Section 1202 Repairs,General,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect,"Repairs to any portion of a historic building or structure shall be permitted with original or like materials and original methods of construction, subject to the provisions of this chapter. Hazardous materials, such as asbestos and lead-based paint, shall not be used where the code for new construction would not permit their use in buildings of similar occupancy, purpose and location."
1202.2,Section 1202 Repairs,Replacement,Wall|Window|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,"Replacement of existing or missing features using original materials shall be permitted. Partial replacement for repairs that match the original in configuration, height and size shall be permitted.Replacement glazing in hazardous locations shall comply with the safety glazing requirements of Chapter 24 of the Building Code of New York State.Exception: Glass block walls, louvered windows and jalousies repaired with like materials."
1203.1,Section 1203 Fire Safety,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,interior_environment,architect,"Historic buildings undergoing alterations, changes of occupancy or that are moved shall comply with Section 1203."
1203.2,Section 1203 Fire Safety,General,Wall|Door|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Every historic building that does not conform to the construction requirements specified in this code for the occupancy or use and that constitutes a distinct fire hazard as defined herein shall be provided with an approved automatic sprinkler system as determined appropriate by the code official. However, an automatic sprinkler system shall not be used to substitute for, or act as an alternative to, the required number of exits from any facility."
1203.3,Section 1203 Fire Safety,Means of Egress,Door|Stair|Corridor,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,"Where, in the opinion of the code official, there is sufficient width and height for a person to pass through the opening or traverse the means of egress, existing door openings and corridor and stairway widths are not required to meet the widths required by the Building Code of New York State or this code. Where approved by the code official, the front or main exit doors need not swing in the direction of the path of exit travel, provided that other approved means of egress having sufficient capacity to serve the total occupant load are provided."
1203.4,Section 1203 Fire Safety,Transoms,Wall|Door,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"In buildings with automatic sprinkler systems of Group R-1, R-2 or R-3, existing transoms in corridors and other fire-resistance-rated walls may be maintained if fixed in the closed position. A sprinkler shall be installed on each side of the transom."
1203.5,Section 1203 Fire Safety,Interior Finishes,Wall|Slab|Covering|Ceiling|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,The existing interior finishes shall be accepted where it is demonstrated that they are the historic finishes.
1203.6,Section 1203 Fire Safety,Stairway Enclosure,Wall|Door|Stair|StairFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"In buildings of three stories or less, exit enclosure construction shall limit the spread of smoke by the use of tight-fitting doors and solid elements. Such elements are not required to have a fire-resistance rating."
1203.7,Section 1203 Fire Safety,One-Hour Fire-Resistant Assemblies,Wall|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,fire_resistance_smoke_protection,architect,"Where 1-hour fire-resistance-rated construction is required by these provisions, it need not be provided, regardless of construction or occupancy, where the existing wall and ceiling finish is wood or metal lath and plaster."
1203.8,Section 1203 Fire Safety,Glazing in Fire-Resistance-Rated Systems,Wall|Door|Window,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,Historic glazing materials are permitted in interior walls required to have a 1-hour fire-resistance rating where the opening is provided with approved smoke seals and the area affected is provided with an automatic sprinkler system.
1203.9,Section 1203 Fire Safety,Stairway Railings,Stair|Railing,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,means_of_egress,architect,"Grand stairways shall be accepted without complying with the handrail and guard requirements. Existing handrails and guards at all stairways shall be permitted to remain, provided they are not structurally dangerous."
1203.10,Section 1203 Fire Safety,Guards,Railing|Stair|StairFlight|Ramp|RampFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,Guards shall comply with Sections 1203.10.1 and 1203.10.2.
1203.10.1,Section 1203 Fire Safety,Height,Railing,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Mercantile (M),sd|dd|cd,means_of_egress,architect,Existing guards shall comply with the requirements of Section 404.
1203.10.2,Section 1203 Fire Safety,Guard Openings,Railing,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,means_of_egress,architect,The spacing between existing intermediate railings or openings in existing ornamental patterns shall be accepted. Missing elements or members of a guard may be replaced in a manner that will preserve the historic appearance of the building or structure.
1203.11,Section 1203 Fire Safety,Exit Signs,Wall|Door|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,means_of_egress,architect,"Where exit sign or egress path marking location would damage the historic character of the building, alternative exit signs are permitted with approval of the code official. Alternative signs shall identify the exits and egress path."
1203.12,Section 1203 Fire Safety,Automatic Sprinkler Systems,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Every historic building that cannot be made to conform to the construction requirements specified in the Building Code of New York State for the occupancy or use and that constitutes a distinct fire hazard shall be deemed to be in compliance if provided with an approved automatic sprinkler system.Exception: Where the code official approves an alternative life-safety system.
1204.1,Section 1204 Change of Occupancy,General,Wall|Door|Window,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"Historic buildings undergoing a change of occupancy shall comply with the applicable provisions of Chapter 10, except as specifically permitted in this chapter. Where Chapter 10 requires compliance with specific requirements of Chapter 7, Chapter 8 or Chapter 9 and where those requirements are subject to the exceptions in Section 1202, the same exceptions shall apply to this section."
1204.2,Section 1204 Change of Occupancy,Building Area,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),concept|sd|dd,building_height_area_limits,architect,The allowable floor area for historic buildings undergoing a change of occupancy shall be permitted to exceed by 20 percent the allowable areas specified in Chapter 5 of the Building Code of New York State.
1204.3,Section 1204 Change of Occupancy,Location on Property,Wall|Window|Door,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,Historic structures undergoing a change of use to a higher-hazard category in accordance with Section 1011.7 may use alternative methods to comply with the fire-resistance and exterior opening protective requirements. Such alternatives shall comply with Section 1201.2.
1204.4,Section 1204 Change of Occupancy,Occupancy Separation,Wall|Door|Slab,Assembly (A)|Business (B)|Residential (R)|Institutional (I)|Mercantile (M),sd|dd|cd,fire_resistance_smoke_protection,architect,Required occupancy separations of 1 hour may be omitted where the building is provided with an approved automatic sprinkler system throughout.
1204.5,Section 1204 Change of Occupancy,Roof Covering,Roof|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"Regardless of occupancy or use group, roof-covering materials not less than Class C, where tested in accordance with ASTM E108 or UL 790, shall be permitted where a fire-retardant roof covering is required."
1204.6,Section 1204 Change of Occupancy,Means of Egress,Door|StairFlight|Corridor,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,means_of_egress,architect,"Existing door openings and corridor and stairway widths less than those that would be acceptable for nonhistoric buildings under these provisions shall be approved, provided that, in the opinion of the code official, there is sufficient width and height for a person to pass through the opening or traverse the exit and that the capacity of the exit system is adequate for the occupant load, or where other operational controls to limit occupancy are approved by the code official."
