id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
4,,Repairs,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),cd|ca,special_construction,architect,User notes:About this chapter: Chapter 4 provides requirements for repairs of existing buildings. The provisions define conditions under which repairs may be made using materials and methods like those of the original construction or the extent to which repairs must comply with requirements for new buildings.
401.1,Section 401 General,Scope,Wall|Roof|Door|Window|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,special_construction,architect,Repairs shall comply with the requirements of this chapter. Repairs to historic buildings need only comply with Chapter 12.
401.1.1,Section 401 General,"Bleachers, Folding and Telescopic Seating and Grandstands",BuildingElementProxy|Stair|Railing|Slab,Assembly (A),sd|dd|cd,special_construction,architect,"Repairs to existing bleachers, folding and telescopic seating and grandstands shall comply with ICC 300."
401.2,Section 401 General,Compliance,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd|ca,special_construction,architect,The work shall not make the building less complying than it was before the repair was undertaken. Work on nondamaged components that is necessary for the required repair of damaged components shall be considered part of the repair and shall not be subject to requirements for alterations.
401.3,Section 401 General,Flood Hazard Areas,Wall|Slab|Footing,Residential (R)|Business (B)|Assembly (A),sd|dd|cd,site_planning,architect,"In flood hazard areas, repairs that constitute substantial improvement shall require that the building comply with Section 1612 of the Building Code of New York State, or Section R306 of the Residential Code of New York State, as applicable."
402.1,Section 402 Building Elements and Materials,Glazing in Hazardous Locations,Window|Door|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,finishes_materials,architect,"Replacement glazing in hazardous locations shall comply with the safety glazing requirements of the Building Code of New York State or Residential Code of New York State as applicable.Exception: Glass block walls, louvered windows and jalousies repaired with like materials."
403.1,Section 403 Fire Protection,General,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),cd|ca,fire_resistance_smoke_protection,architect,Repairs shall be done in a manner that maintains the level of fire protection provided.
404.1,Section 404 Means of Egress,General,Wall|Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd|ca,means_of_egress,architect,Repairs shall be done in a manner that maintains the level of protection provided for the means of egress.
405.1,Section 405 Structural,General,Wall|Slab|Beam|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),cd|ca,structural_design,structural_engineer,Structural damage shall be repaired in compliance with this section and Section 401.2.
405.1.1,Section 405 Structural,Structural Concrete,Slab|Beam|Column|Wall|Footing,Business (B)|Assembly (A)|Residential (R)|Educational (E)|Factory and Industrial (F),cd|ca,structural_design,structural_engineer,"Repair of structural concrete shall be permitted to comply with ACI 562 Section 1.7, except where Section 405.2.2, 405.2.3 or 405.2.4.1 requires compliance with Section 304.3."
405.2,Section 405 Structural,Repairs to Damaged Buildings,Wall|Roof|Slab|Column|Beam,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,special_construction,architect,Repairs to damaged buildings shall comply with this section.
405.2.1,Section 405 Structural,Repairs for Less Than Substantial Structural Damage,Wall|Beam|Column|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,structural_design,structural_engineer,"Unless otherwise required by this section, for damage less than substantial structural damage, the damaged elements shall be permitted to be restored to their predamage condition."
405.2.1.1,Section 405 Structural,Snow Damage,Roof|Slab|Beam|Column|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,structural_design,structural_engineer,"Structural components whose damage was caused by or related to snow load effects shall be repaired, replaced or altered to satisfy the requirements of Section 1608 of the Building Code of New York State."
405.2.2,Section 405 Structural,Disproportionate Earthquake Damage,Wall|Column|Beam|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"A building assigned to Seismic Design Category D, E or F that has sustained disproportionate earthquake damage shall be subject to the requirements for buildings with substantial structural damage to vertical elements of the lateral force-resisting system."
405.2.3,Section 405 Structural,Substantial Structural Damage to Vertical Elements of the Lateral Force-Resisting System,Column|Wall|Footing|Beam|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"A building that has sustained substantial structural damage to the vertical elements of its lateral force-resisting system shall be evaluated in accordance with Section 405.2.3.1, and either repaired in accordance with Section 405.2.3.2 or repaired and retrofitted in accordance with Section 405.2.3.3, depending on the results of the evaluation.Exceptions:Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
405.2.3.1,Section 405 Structural,Evaluation,Wall|Column|Footing|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"The building shall be evaluated by a registered design professional, and the evaluation findings shall be submitted to the code official. The evaluation shall establish whether the lateral force-resisting system of the damaged building, including its foundation, if repaired to its predamage state, would comply with the provisions of the Building Code of New York State for load combinations that include wind effects, and with Section 304.3.2 of this code."
405.2.3.2,Section 405 Structural,Extent of Repair for Compliant Buildings,Wall|Slab|Roof|Column|Beam,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,special_construction,architect,"If the evaluation establishes that the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the damaged elements shall be permitted to be restored to their predamage condition."
