id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
2,,Definitions,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect,"User note:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
201.1,Section 201 General,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
201.2,Section 201 General,Interchangeability,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Terms Defined in Other Codes,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect,"Where terms are not defined in this code and are defined in the other International Codes, such terms shall have the meanings ascribed to them in those codes."
201.4,Section 201 General,Terms Not Defined,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies."
ADDITION_,Section 202 General Definitions,Addition,,,,,,"An extension or increase in floor area, number of stories, or height of a building or structure."
alteration_,Section 202 General Definitions,Alteration,Wall|Slab|Door|Window|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"Any construction or renovation to an existing structure other than a repair or addition. Alterations are classified as Level 1, Level 2, and Level 3."
approved_,Section 202 General Definitions,Approved,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,Acceptable to the code official or authority having jurisdiction for compliance with the provisions of the applicable code or reference.
new_boarding_house_,Section 202 General Definitions,Boarding House,,,,,,"A building arranged or used for lodging for compensation, with or without meals, and not occupancies as a single-family unit."
new_carbon_monoxide_alarm_,Section 202 General Definitions,Carbon Monoxide Alarm,,,,,,"A single- or multiple-station alarm intended to detect carbon monoxide gas and alert occupants by a distinct audible signal. It incorporates a sensor, control components and an alarm notification appliance in a single unit."
new_carbon_monoxide_detector_,Section 202 General Definitions,Carbon Monoxide Detector,,,,,,A device with an integral sensor to detect carbon monoxide gas and transmit an alarm signal to a connected alarm control unit
change_of_occupancy_,Section 202 General Definitions,Change of Occupancy,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"Any of the following shall be considered as a change of occupancy where the current International Building Code requires a greater degree of safety, accessibility, structural strength, fire protection, means of egress, ventilation or sanitation than is existing in the current building or structure: Any change in the occupancy classification. Any change from one group to another group within an occupancy classification. Any change in use within a group for which there is a change in application of the requirements of this code."
change_of_use_,Section 202 General Definitions,Change of Use,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,occupancy_classification,architect,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements."
code_official_,Section 202 General Definitions,Code Official,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,occupancy_classification,owner,The officer or other designated authority charged with the administration and enforcement of this code.
new_commercial_building_,Section 202 General Definitions,Commercial Building,,,,,,"For energy conservation provisions, all buildings that are not included in the definition of ""Residential Building.""."
dangerous_,Section 202 General Definitions,Dangerous,Wall|Column|Roof|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd|ca,structural_design,structural_engineer,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation, or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under service loads."
disproportionate_earthquake_damage_,Section 202 General Definitions,Disproportionate Earthquake Damage,Column|Wall|Beam,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,A condition of earthquake-related damage where both of the following occur: The 0.3-second spectral acceleration at the building site as estimated by the United States Geological Survey for the earthquake in question is less than 40 percent of the mapped acceleration parameter SS. The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 10 percent from its predamage condition.
emergency_escape_and_rescue_opening_,Section 202 General Definitions,Emergency Escape and Rescue Opening,Window|Door|Wall,Residential (R)|Institutional (I)|Educational (E),sd|dd|cd,means_of_egress,architect,"An operable exterior window, door or other similar device that provides for a means of escape and access for rescue in the event of an emergency."
equipment_or_fixture_,Section 202 General Definitions,Equipment or Fixture,BuildingElementProxy|Elevator,Business (B)|Factory and Industrial (F)|Institutional (I)|Mercantile (M)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Any plumbing, heating, electrical, ventilating, air conditioning, refrigerating, and fire protection equipment, and elevators, dumb waiters, escalators, boilers, pressure vessels and other mechanical facilities or installations that are related to building services. Equipment or fixture shall not include manufacturing, production, or process equipment, but shall include connections from building service to process equipment."
