id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1,,Scope and Administration,BuildingElementProxy,Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect,"User note:About this chapter: Chapter 1 establishes the limits of applicability of this code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Application (Sections R101—R102) and Part 2—Administration and Enforcement (Sections R103—R114). Section R101 identifies which buildings and structures come under its purview and references other I-Codes as applicable. Standards and codes are scoped to the extent referenced (see Section R102.4).The one- and two-family dwelling code is intended to be adopted as a legally enforceable document, and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the building official appointed by the authority having jurisdiction and also establish the rights and privileges of the design professional, contractor and property owner."
R101.1,Chapter 1 Scope and Administration,Title,BuildingElementProxy,Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"These provisions shall be known as the North Carolina Residential Code for One- and Two-family Dwellings and shall be cited as such and will be referred to herein as ""this code."" These regulations were adopted by the North Carolina Building Code Council on September 12, 2023 to be effective January 1, 2025. References to the International Codes shall mean the North Carolina Codes. The North Carolina Amendments to the International Codes are underlined."
R101.2,Chapter 1 Scope and Administration,Scope,Wall|Roof|Slab|Door|Window,Residential (R)|Business (B)|Institutional (I)|Assembly (A),concept|sd|dd|cd,occupancy_classification,architect,"The provisions of this code shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, removal and demolition of one or more detached one- and two-family dwellings and townhouses located on a parcel and not more than three stories above grade plane in height with a separate means of egress and their accessory structures not more than three stories above grade plane in height. Single family dwellings otherwise permitted by this code shall include bed and breakfast homes. Exception: Live/work units complying with the requirements of Section 508.5 of the International Building Code shall be permitted to be built as one- and two- family dwellings or townhouses. Fire suppression required by Section 508.5.7 of the International Building Code where constructed under the International Residential Code for One- and Two-family Dwellings shall conform to Section P2904 of the International Residential Code for One- and Two-family Dwellings."
new_R101.2.1,Chapter 1 Scope and Administration,Accessory Buildings,,,,,,"Accessory buildings with any dimension greater than 12 feet (3658 mm) shall meet the provisions of this code. Accessory buildings are permitted to be constructed without a masonry or concrete foundation, except in coastal high hazard or ocean hazard areas, provided all of the following conditions are met: The accessory building shall not exceed 400 square feet (37 m2) or one story in height; The building is supported on a wood foundation of minimum 2-inch by 6-inch (51-mm by 152-mm) or 3-inch by 4-inch (76-mm by 102-mm) mudsill of approved wood in accordance with Section R317; The building is anchored to resist overturning and sliding by installing a minimum of one ground anchor at each corner of the building. The total resisting force of the anchors shall be equal to 20 psf (958 Pa) times the plan area of the building."
new_R101.2.2,Chapter 1 Scope and Administration,Accessory Structures,,,,,,"Only the following accessory structures shall meet the provisions of this code. Decks, see Appendix M, Gazebos, Retaining walls, see Section R404.4, Detached masonry chimneys located less than 10 feet (3048 mm) from other buildings or lot lines, Swimming pools and spas, see Appendix NC-A, Detached carports, Exception: Portable, lightweight carports not exceeding 400 square feet (37 m2) or 12 feet (3658 mm) mean roof height. Docks, piers, bulkheads, and waterway structures, see Section R331. Ground mounted photovoltaic system, see Section R324.7"
R101.3,Chapter 1 Scope and Administration,Purpose,Wall|Slab|Stair,Assembly (A)|Business (B)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"The purpose of this code is to establish minimum requirements to provide a reasonable level of safety, health and general welfare through affordability, structural strength, means of egress, stability, sanitation, light and ventilation, energy conservation and safety to life and property from fire and other hazards attributed to the built environment."
R102.1,Chapter 1 Scope and Administration,General,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern."
R102.2,Chapter 1 Scope and Administration,Other Laws,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"The provisions of this code shall not be deemed to nullify any provisions of local, state or federal law."
R102.3,Chapter 1 Scope and Administration,Application of References,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect,"References to chapter or section numbers, or to provisions not specifically identified by number, shall be construed to refer to such chapter, section or provision of this code."
R102.4,Chapter 1 Scope and Administration,Referenced Codes and Standards,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,special_construction,architect,"The codes and standards referenced in this code shall be considered part of the requirements of this code to the prescribed extent of each such reference and as further regulated in Sections R102.4.1 and R102.4.2.Exception: Where enforcement of a code provision would violate the conditions of the listing of the equipment or appliance, the conditions of the listing and manufacturer's instructions shall apply."
R102.4.1,Chapter 1 Scope and Administration,Conflicts,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect,"Where conflicts occur between provisions of this code and referenced codes and standards, the provisions of this code shall apply."
R102.4.2,Chapter 1 Scope and Administration,Provisions in Referenced Codes and Standards,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect,"Where the extent of the reference to a referenced code or standard includes subject matter that is within the scope of this code, the provisions of this code, as applicable, shall take precedence over the provisions in the referenced code or standard."
R102.5,Chapter 1 Scope and Administration,Appendices,,,,,,Provisions in the appendices shall not apply unless specifically referenced in the code text.
R102.6,Chapter 1 Scope and Administration,Partial Invalidity,,,,,,"In the event any part or provision of this code is held to be illegal or void, this shall not have the effect of making void or illegal any of the other parts or provisions."
R102.7,Chapter 1 Scope and Administration,Existing Structures,,,,,,"For requirements of existing structures, refer to the North Carolina Administrative Code and Policies and the North Carolina Existing Building Code."
R102.7.1,Chapter 1 Scope and Administration,"Additions, Alterations or Repairs",,,,,,"Additions, alterations or repairs to any structure shall conform to the requirements for a new structure without requiring the existing structure to comply with the requirements of this code, unless otherwise stated. Additions, alterations, repairs and relocations shall not cause an existing structure to become less compliant with the provisions of this code than the existing building or structure was prior to the addition, alteration or repair. Where the alteration causes the use or occupancy to be changed to one not within the scope of this code, the provisions of the International Existing Building Code shall apply."
divider_1_2,Chapter 1 Scope and Administration,Administration and Enforcement,,,,none,none,See the North Carolina Administrative Code and Policies for the administration and enforcement of the North Carolina State Building Codes as adopted by the Building Code Council and enforced by State and local code enforcement officials.
