id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
2,,Definitions,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"User notes: About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purposes of the code. Code development reminder: Code change proposals to sections preceded by the designation [A] or [BS] will be considered by one of the code development committees meeting during the 2022 (Group B) Code Development Cycle."
201.1,Section 201 General,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd|ca,occupancy_classification,architect,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
201.2,Section 201 General,Interchangeability,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Terms Defined in Other Codes,Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),cd,occupancy_classification,architect,"Where terms are not defined in this code and are defined in the International Energy Conservation Code, International Fuel Gas Code, International Fire Code, International Mechanical Code or International Plumbing Code, such terms shall have the meanings ascribed to them as in those codes."
201.4,Section 201 General,Terms Not Defined,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies."
aac_masonry_,Section 202 Definitions,AAC Masonry,Wall|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect,"Masonry made of autoclaved aerated concrete (AAC) units, manufactured without internal reinforcement and bonded together using thin- or thick-bed mortar."
new_above_ground_storage_tank_,Section 202 Definitions,Above-Ground Storage Tank,,,,,,"A vessel, intended for fixed installation above grade, at grade, or below grade without backfill, used for the purpose of bulk storage, dispensing, handling or processing of hazardous, flammable or combustible liquids or gases and not connected to and utilized for the operation of building service equipment."
accessible_,Section 202 Definitions,Accessible,Door|Ramp|Stair|Slab|RampFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,accessibility,architect,"A site, building, facility or portion thereof that complies with Chapter 11."
accessible_means_of_egress_,Section 202 Definitions,Accessible Means of Egress,Door|Ramp|Stair|RampFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,accessibility,architect,A continuous and unobstructed way of egress travel from any accessible point in a building or facility to a public way.
accessible_route_,Section 202 Definitions,Accessible Route,Door|Ramp|RampFlight|Stair|Slab,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,accessibility,architect,"A continuous, unobstructed path that complies with Chapter 11."
