id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
3,,Provisions for All Compliance Methods,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"User note:About this chapter: Chapter 3 explains the three compliance options for alterations and additions available in the code. In addition, this chapter also lays out the methods to be used for seismic design and evaluation throughout this code. Finally, this chapter clarifies that provisions in other I-Codes® related to repairs, alterations, additions, relocation and changes of occupancy must also be addressed unless they conflict with this code. In that case, this code takes precedence."
301.1,Section 301 Administration,Applicability,Wall|Roof|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,"The repair, alteration, change of occupancy, addition or relocation of all existing buildings shall comply with Section 301.2, 301.3 or 301.4. The provisions of Sections 302 through 309 shall apply to all alterations, repairs, additions, relocation of structures and changes of occupancy regardless of compliance method."
301.1.1,Section 301 Administration,"Bleachers, Grandstands and Folding and Telescopic Seating",BuildingElementProxy,Assembly (A),sd|dd|cd,special_construction,architect,"Existing bleachers, grandstands and folding and telescopic seating shall comply with ICC 300."
301.2,Section 301 Administration,Repairs,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),cd|ca,special_construction,architect,Repairs shall comply with the requirements of Chapter 4.
301.3,Section 301 Administration,"Alteration, Addition or Change of Occupancy",Wall|Column|Beam|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect,"The alteration, addition or change of occupancy of all existing buildings shall comply with one of the methods listed in Section 301.3.1, 301.3.2 or 301.3.3 as selected by the applicant. Sections 301.3.1 through 301.3.3 shall not be applied in combination with each other. Exception: Deleted."
301.3.1,Section 301 Administration,Prescriptive Compliance Method,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions, and changes of occupancy complying with Sections 302 through 309 and Chapter 5 of this code are to be considered in compliance with the provisions of this code."
301.3.2,Section 301 Administration,Work Area Compliance Method,Wall|Door|Window,Assembly (A)|Business (B)|Mercantile (M)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions, and changes of occupancy complying with Sections 302 through 309 and the applicable requirements of Chapters 6 through 12 of this code are to be considered in compliance with the provisions of this code."
301.3.3,Section 301 Administration,Performance Compliance Method,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions, and changes of occupancy complying with Sections 302 through 309 and Chapter 13 of this code are to be considered in compliance with the provisions of this code."
301.4,Section 301 Administration,Relocated Buildings,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,special_construction,architect,Relocated buildings shall comply with the requirements of Chapter 14.
new_301.5,Section 301 Administration,Maintenance,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),ca,fire_protection_alarm_systems,owner,"Buildings, structures, equipment and parts thereof, are to be maintained in a safe and sanitary condition and in accordance with the condition(s) established in current and any previous plan approvals and certificates of occupancy. Devices or safeguards which are required by this code are to be maintained in conformance with the code edition under which installed. The owner or the owner's designated agent is responsible for the maintenance of buildings and structures. To determine compliance with this subsection, the building official has the authority to mandate that a building or structure to be inspected. The removal or abrogation of fire protection and safety systems and devices in existing structures is not to occur without approval of the building official."
302.1,Section 302 General Provisions,Dangerous Conditions,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,fire_resistance_smoke_protection,architect,The code official shall have the authority to require the elimination of conditions deemed dangerous.
302.2,Section 302 General Provisions,Additional Codes,BuildingElementProxy,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,Deleted.
302.2.1,Section 302 General Provisions,Additional Codes in Health Care,BuildingElementProxy,Institutional (I),sd|dd|cd,occupancy_classification,architect,"In existing Group I-2 occupancies, ambulatory health care facilities, outpatient clinics and hyperbaric facilities, alterations, repairs, additions and changes of occupancy to, or relocation of, existing buildings and structures shall also comply with NFPA 99."
302.3,Section 302 General Provisions,Existing Materials,Wall|Roof|Slab|Door|Window,Assembly (A)|Business (B)|Educational (E),cd|ca,finishes_materials,architect,Materials already in use in a building in compliance with requirements or approvals in effect at the time of their erection or installation shall be permitted to remain in use unless determined by the code official to be unsafe.
302.4,Section 302 General Provisions,New and Replacement Materials,Wall|Slab|Roof|Door|Window,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),sd|dd|cd,finishes_materials,architect,"Except as otherwise required or permitted by this code, materials permitted by the applicable code for new construction shall be used. Like materials shall be permitted for repairs and alterations, provided that unsafe conditions are not created. Hazardous materials shall not be used where the code for new construction would not permit their use in buildings of similar occupancy, purpose and location."
302.4.1,Section 302 General Provisions,New Structural Members and Connections,Beam|Column|Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"New structural members and connections shall comply with the detailing provisions of the International Building Code for new buildings of similar structure, purpose and location.Exception: Where alternative design criteria are specifically permitted."
302.5,Section 302 General Provisions,Occupancy and Use,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),concept|sd|dd,occupancy_classification,architect,"Where determining the appropriate application of the referenced sections of this code, the occupancy and use of a building shall be determined in accordance with Chapter 3 of the International Building Code."
new_302.6,Section 302 General Provisions,Used Materials and Products,Wall|Slab|Roof|Door|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect,The use of used materials and products which meet the requirements of this code for new materials and products is permitted if approved by the building official.
