id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
7,,Wall Covering,Wall|Covering|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,finishes_materials,architect,"User note: About this chapter: Chapter 7 establishes the various types of materials, materials standards and methods of application permitted as interior and exterior wall coverings. Interior coverings include interior plaster, gypsum board, ceramic tile, wood veneer paneling, hardboard paneling, wood shakes and wood shingles. Exterior wall coverings regulated by this section include aluminum, stone and masonry veneer, wood, hardboard, particleboard, wood structural panel siding, wood shakes and shingles, exterior plaster, steel, vinyl, fiber cement and exterior insulation finish systems. This chapter also contains requirements for the use of vapor retarders for moisture control in walls; wind resistance and water-resistive barriers for exterior wall coverings; and the water-resistive barrier required beneath exterior materials."
R701.1,Chapter 7 Wall Covering,Application,Wall|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,finishes_materials,architect,The provisions of this chapter shall control the design and construction of the interior and exterior wall covering for buildings.
R701.2,Chapter 7 Wall Covering,Installation,Wall|Covering|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,finishes_materials,architect,Products sensitive to adverse weather shall not be installed until adequate weather protection for the installation is provided. Exterior sheathing shall be dry before applying exterior cover.
R702.1,Chapter 7 Wall Covering,General,Wall|Slab|Covering,Residential (R)|Business (B)|Assembly (A)|Educational (E)|Institutional (I),sd|dd|cd,finishes_materials,architect,"Interior coverings or wall finishes shall be installed in accordance with this chapter and Table 702.1(1), Table 702.1(2), Table 702.1(3) and Table 702.3.5. Interior masonry veneer shall comply with the requirements of Section 703.7.1 for support and Section 703.7.4 for anchorage, except an airspace is not required. Interior finishes and materials shall conform to the flame spread and smoke-development requirements of Section 302.9. TABLE 702.1(1) THICKNESS OF PLASTER PLASTER BASE FINISHED THICKNESS OF PLASTER FROM FACE OF LATH, MASONRY, CONCRETE (inches) Gypsum Plaster Cement Plaster Expanded metal lath 5/8, minimuma 5/8, minimuma Wire lath 5/8, minimuma 3/4, minimum (interior)b 7/8, minimum (exterior)b Gypsum lathg 1/2, minimum 3/4, minimum (interior)b Masonry wallsc 1/2, minimum 1/2, minimum Monolithic concrete wallsc, d 5/8, maximum 7/8, maximum Monolithic concrete ceilingsc, d 3/8, maximume 1/2, maximum Gypsum veneer basef, g 1/16, minimum 3/4, minimum (interior)b Gypsum sheathingg — 3/4, minimum (interior)b 7/8, minimum (exterior)b For SI: 1 inch = 25.4 mm. Where measured from back plane of expanded metal lath, exclusive of ribs, or self-furring lath, plaster thickness shall be 3/4 inch minimum. Where measured from face of support or backing. Because masonry and concrete surfaces vary in plane, thickness of plaster need not be uniform. Where applied over a liquid bonding agent, finish coat shall be permitted to be applied directly to concrete surface. Approved acoustical plaster shall be permitted to be applied directly to concrete or over base coat plaster, beyond the maximum plaster thickness shown. Attachment shall be in accordance with Table 702.3.5. Where gypsum board is used as a base for cement plaster, a water-resistive barrier complying with Section 703.2 shall be provided. TABLE 702.1(2) GYPSUM PLASTER PROPORTIONSa NUMBER COAT PLASTER BASE OR LATH MAXIMUM VOLUME AGGREGATE PER 100 POUNDS NEAT PLASTERb(cubic feet) Damp Loose Sanda Perlite or Vermiculitec Two-coat work Base coat Gypsum lath 2.5 2 Base coat Masonry 3 3 Three-coat work First coat Lath 2d 2 Second coat Lath 3d 2e First and second coats Masonry 3 3 For SI: 1 inch = 25.4 mm, 1 cubic foot = 0.0283 m3, 1 pound = 0.454 kg. Wood-fibered gypsum plaster shall be mixed in the proportions of 100 pounds of gypsum to not more than 1 cubic foot of sand where applied on masonry or concrete. Where determining the amount of aggregate in set plaster, a tolerance of 10 percent shall be allowed. Combinations of sand and lightweight aggregate shall be permitted to be used, provided the volume and weight relationship of the combined aggregate to gypsum plaster is maintained. If used for both first and second coats, the volume of aggregate shall be permitted to be 2.5 cubic feet. Where plaster is 1 inch or more in total thickness, the proportions for the second coat may be increased to 3 cubic feet. TABLE 702.1(3) CEMENT PLASTER PROPORTIONS, PARTS BY VOLUME COAT CEMENTPLASTERTYPE CEMENTITIOUS MATERIALS VOLUME OFAGGREGATE PERSUM OF SEPARATEVOLUMES OFCEMENTITIOUSMATERIALSb Portland CementType I, II or III;Blended HydraulicCement Type IP,I (S &lt; 70), IL, orIT (S &lt; 70); or HydraulicCement Type GU, HE,MS, HS or MH PlasticCement Masonry CementType M, S or N Lime First Portland or blended 1 — — 3/4 - 11/2a 21/2 - 4 Masonry — 1 — 21/2 - 4 Plastic — 1 — — 21/2 - 4 Second Portland or blended 1 — — 3/4 - 11/2 3 - 5 Masonry — 1 — 3 - 5 Plastic — 1 — — 3 - 5 Finish Portland or blended 1 — — 11/2 - 2 11/2 - 3 Masonry — — 1 — 11/2 - 3 Plastic — 1 — 11/2 - 3 For SI: 1 inch = 25.4 mm, 1 pound = 0.454 kg. Lime by volume of 0 to 3/4 shall be used where the plaster will be placed over low-absorption surfaces such as dense clay tile or brick. The same or greater sand proportion shall be used in the second coat than used in the first coat."
R702.2.1,Chapter 7 Wall Covering,Gypsum Plaster,Wall|Slab|Covering,Residential (R)|Business (B)|Assembly (A),dd|cd,finishes_materials,architect,"Gypsum plaster materials shall conform to ASTM C5, C22, C28, C35, C59, C61, C587, C631, C847, C933, C1032 and C1047, and shall be installed or applied in compliance with ASTM C841, C842 and C843. Gypsum lath or gypsum base for veneer plaster shall conform to ASTM C1396 and shall be installed in compliance with ASTM C844. Plaster shall be not less than three coats where applied over metal lath and not less than two coats where applied over other bases permitted by this section, except that veneer plaster shall be applied in one coat not to exceed 3/16 inch (4.76 mm) thickness, provided the total thickness is in accordance with Table 702.1(1)."
R702.2.2,Chapter 7 Wall Covering,Cement Plaster,Wall|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,finishes_materials,architect,"Cement plaster materials shall conform to ASTM C91 (Type M, S or N), C150 (Types I, II and III), C595 [Types IP, I (PM), IS and I (SM), C847, C897, C933, C1032, C1047 and C1328, and shall be installed or applied in compliance with ASTM C926 and C1063. Gypsum lath shall conform to ASTM C1396. Plaster shall be not less than three coats where applied over metal lath and not less than two coats where applied over other bases permitted by this section."
R702.2.2.1,Chapter 7 Wall Covering,Application,Wall|Covering,Residential (R)|Business (B)|Assembly (A),cd|ca,finishes_materials,architect,Each coat shall be kept in a moist condition for not less than 24 hours prior to application of the next coat.Exception: Applications installed in accordance with ASTM C926.
R702.2.2.2,Chapter 7 Wall Covering,Curing,Wall|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R),cd|ca,finishes_materials,architect,"The finish coat for two-coat cement plaster shall not be applied sooner than 48 hours after application of the first coat. For three-coat cement plaster, the second coat shall not be applied sooner than 24 hours after application of the first coat. The finish coat for three-coat cement plaster shall not be applied sooner than 48 hours after application of the second coat."
R702.2.3,Chapter 7 Wall Covering,Support,Wall|Slab|Covering,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,finishes_materials,architect,Support spacing for gypsum or metal lath on walls or ceilings shall not exceed 16 inches (406 mm) for 3/8-inch-thick (9.5 mm) or 24 inches (610 mm) for 1/2-inch-thick (12.7 mm) plain gypsum lath. Gypsum lath shall be installed at right angles to support framing with end joints in adjacent courses staggered by not less than one framing space.
R702.3.1,Chapter 7 Wall Covering,Materials,Wall|Covering|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R),sd|dd|cd,finishes_materials,architect,"Gypsum board and gypsum panel product materials and accessories shall conform to ASTM C22, C475, C514, C1002, C1047, C1177, C1178, C1278, C1396, C1658 or C1766 and shall be installed in accordance with the provisions of this section. Adhesives for the installation of gypsum board and gypsum panel products shall conform to ASTM C557."
