id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
1,,Scope and Administration,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"User notes:About this chapter: Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. Chapter 1 is in two parts: Part 1—Scope and Administration (Sections 101—102) and Part 2—Administration and Enforcement (Sections 103—117). Section 101 identifies which buildings and structures come under its purview and references other I-Codes®as applicable.This code is intended to be adopted as a legally enforceable document, and it cannot be effective without adequate provisions for its administration and enforcement. The provisions of Chapter 1 establish the authority and duties of the code official appointed by the authority having jurisdiction and also establish the rights and privileges of the registered design professional, contractor and property owner.Section 104 was revised for the 2024 edition. For complete information, see the Relocations table in the Preface of this code.QR code use: A QR code is placed at the beginning of any section that has undergone technical revision. To see those revisions, scan the QR code with a smart device or enter the 7-digit code beneath the QR code at the end of the following URL: qr.iccsafe.org/ (see Formatting Changes to the 2024 International Codes for more information)."
101.2,Section 101 Scope and General Requirements,Scope,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"The provisions of this chapter shall apply to the repair, alteration, change of occupancy, addition to and relocation of existing buildings."
101.3,Section 101 Scope and General Requirements,Purpose,BuildingElementProxy,Assembly (A)|Business (B)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"The intent of this chapter is to provide flexibility to permit the use of alternative approaches to achieve compliance with minimum requirements to provide a reasonable level of safety, health, property protection and general welfare insofar as they are affected by the repair, alteration, change of occupancy, addition and relocation of existing buildings."
101.4,Section 101 Scope and General Requirements,Applicability,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"This chapter shall apply to the repair, alteration, change of occupancy, addition and relocation of existing buildings, regardless of occupancy, subject to the criteria of Sections 101.3.1 through 101.3.4."
101.4.1,Section 101 Scope and General Requirements,Buildings Not Previously Occupied,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"A building or portion of a building that has not been previously occupied or used for its intended purpose, in accordance with the code in existence at the time of its completion, shall be permitted to comply with the provisions of the code in existence at the time of its original permit unless such permit has expired. Subsequent permits shall comply with the requirements of this code for new construction."
101.4.2,Section 101 Scope and General Requirements,Buildings Previously Occupied,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd,occupancy_classification,architect,"The legal occupancy of any building existing on the date of adoption of this code shall be permitted to continue without change, except as is specifically covered in this code."
new_101.3.3,Section 101 Scope and General Requirements,Discontinued Use and Vacancy,,,,,,The continuation of a legal occupancy shall be permitted regardless of the length of vacancy or discontinuation of use provided such continuation is not subject to a required change of occupancy.
new_101.3.4,Section 101 Scope and General Requirements,Change of Occupancy,,,,,,"A building shall not be used or occupied in whole or in part, and a change of occupancy of a building or portion thereof shall not be made until the building official has issued a certificate of occupancy therefore as provided herein. Issuance of a certificate of occupancy shall not be construed as an approval of a violation of the provisions of this code or of other laws. Discontinued use of a legal occupancy, in accordance with Section 101.3.3, shall not require issuance of a new certificate of occupancy upon continuation of the use. See Chapter 1 for certificate of occupancy requirements."
new_101.3.5,Section 101 Scope and General Requirements,Existing Risk Categorization,,,,,,"For alterations where there is no change of occupancy or change in occupant load that would result in the existing building, or portion thereof, being reclassified to a higher risk category, and for repairs, the existing risk categorization originally approved as a condition of the current, valid certificate of occupancy shall be referenced."
new_101.4,Section 101 Scope and General Requirements,Correction of Violations of Other Codes,,,,,,"Repairs or alterations mandated by any property, housing or fire safety maintenance code, or mandated by any licensure rule adopted pursuant to law, and outside the scope and authority of the state building code, shall conform only to the requirements of that code, rule, ordinance or licensure, and shall not be required to conform to this chapter unless the code requiring such repair or alteration so provides. Repairs and alterations shall require a permit where specified by this code. Nothing in this code limits a local municipality's ability to require application of its own ordinances, or to enforce its own ordinances unless preempted."
new_101.4.1,Section 101 Scope and General Requirements,Permits Required,,,,,,"Any owner or owner's authorized agent who intends to repair, add to, alter, relocate or change the occupancy of a building shall first make application to the building official and obtain the required permit. Any owner or owner's authorized agent who intends to repair an existing fire protection system or life safety system shall first notify the local building official and obtain any necessary building permit, where required by the municipality."
new_101.4.2,Section 101 Scope and General Requirements,Emergency Repairs,,,,,,"Where repairs must be performed in an emergency situation, the permit application shall be submitted within the next 5 working business days to the building official."
new_101.5,Section 101 Scope and General Requirements,Repairs,,,,,,"Application or notice to the building official is not required for repairs to structures and items listed in Section 105.2, provided that such repairs do not include any of the following: The removal or cutting away of any wall, partition, floor, ceiling or portion thereof. The removal, modification or cutting of any structural beam or load-bearing support. The removal or change of any required means of egress elements or rearrangement of parts of a building that would affect the existing egress path. Any addition to, alteration of, replacement or relocation of any standpipe."
