id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
2,,Definitions,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,"User notes: About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code. Code development reminder: Code change proposals to definitions in this chapter preceded by a bracketed letter are considered by the IRC—Building Code Development Committee [RB], the IRC—Mechanical/Plumbing Code Development Committee [MP] or the IECC—Residential Code Development Committee [RE] during the Group B (2022) Code Development Cycle."
R201.1,Chapter 2 Definitions,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),concept|sd|dd|cd|ca,occupancy_classification,architect,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings indicated in this chapter."
R201.2,Chapter 2 Definitions,Interchangeability,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect,"Words used in the present tense include the future; words in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
R201.3,Chapter 2 Definitions,Terms Defined in Other Codes,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect,Where terms are not defined in this code such terms shall have the meanings ascribed in other code publications of the International Code Council.
R201.4,Chapter 2 Definitions,Terms Not Defined,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd,occupancy_classification,architect,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies."
above_grade_wall_,Chapter 2 Definitions,Above-Grade Wall,,,,,,"For the definition applicable in Chapter 11, see Section N1101.6."
access_to_,Chapter 2 Definitions,Access (To),,,,,,"That which enables a device, an appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel, door or similar obstruction."
accessory_structure_,Chapter 2 Definitions,Accessory Structure,,,,,,A structure that is accessory to and incidental to that of the dwelling(s) and that is located on the same lot.
addition_,Chapter 2 Definitions,Addition,,,,,,"An extension or increase in floor area, number of stories or height of a building or structure. For the definition applicable in Chapter 11, see Section N1101.6."
adhered_stone_or_masonry_veneer_,Chapter 2 Definitions,Adhered Stone or Masonry Veneer,,,,,,Stone or masonry veneer secured and supported through the adhesion of an approved bonding material applied to an approved backing.
