id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
5,,Prescriptive Compliance Method,Wall|Slab|Roof,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,building_height_area_limits,architect,"User note:About this chapter: Chapter 5 provides details for the prescriptive compliance method—one of the three main options of compliance available in this code for buildings and structures undergoing alteration, addition or change of occupancy."
501.1,Section 501 General,Scope,Wall|Slab|Door,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,"The provisions of this chapter shall control the alteration, addition and change of occupancy of existing buildings and structures, including historic buildings and structures as referenced in Section 301.3.1."
501.1.1,Section 501 General,Compliance With Other Methods,Wall|Door|Slab,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions and changes of occupancy to existing buildings and structures shall comply with the provisions of this chapter or with one of the methods provided in Section 301.3."
501.2,Section 501 General,Fire-Resistance Ratings,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),dd|cd,fire_resistance_smoke_protection,architect,"Where approved by the code official, in buildings where an automatic sprinkler system installed in accordance with Section 903.3.1.1 or 903.3.1.2 of the International Building Code has been added, and the building is now sprinklered throughout, the required fire-resistance ratings of building elements and materials shall be permitted to meet the requirements of the current building code. The building is required to meet the other applicable requirements of the International Building Code.Plans, investigation and evaluation reports, and other data shall be submitted indicating which building elements and materials the applicant is requesting the code official to review and approve for determination of applying the current building code fire-resistance ratings. Any special construction features, including fire-resistance-rated assemblies and smoke-resistive assemblies, conditions of occupancy, means of egress conditions, fire code deficiencies, approved modifications or approved alternative materials, design and methods of construction, and equipment applying to the building that impact required fire-resistance ratings shall be identified in the evaluation reports submitted."
501.3,Section 501 General,Health Care Facilities,BuildingElementProxy,Institutional (I),sd|dd|cd,mechanical_systems,mechanical_engineer,"In Group I-2 facilities, ambulatory care facilities and outpatient clinics, any altered or added portion of an existing electrical or medical gas systems shall be required to meet installation and equipment requirements in NFPA 99."
502.1,Section 502 Additions,General,Wall|Slab|Roof|Stair|Elevator,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,building_height_area_limits,architect,Additions to any building or structure shall comply with the requirements of the International Building Code for new construction. Alterations to the existing building or structure shall be made to ensure that the existing building or structure together with the addition are not less complying with the provisions of the International Building Code than the existing building or structure was prior to the addition. An existing building together with its additions shall comply with the height and area provisions of Chapter 5 of the International Building Code.
502.2,Section 502 Additions,Disproportionate Earthquake Damage,Wall|Column|Beam,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"A building assigned to Seismic Design Category D, E or F that has sustained disproportionate earthquake damage shall be subject to the requirements for buildings with substantial structural damage to vertical elements of the lateral force-resisting system."
502.3,Section 502 Additions,Flood Hazard Areas,Slab|Wall|Footing|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,architect,"For buildings and structures in flood hazard areas established in Section 1612.3 of the International Building Code, or Section R322 of the International Residential Code, as applicable, any addition that constitutes substantial improvement of the existing structure shall comply with the flood design requirements for new construction, and all aspects of the existing structure shall be brought into compliance with the requirements for new construction for flood design.For buildings and structures in flood hazard areas established in Section 1612.3 of the International Building Code, or Section R322 of the International Residential Code, as applicable, any additions that do not constitute substantial improvement of the existing structure are not required to comply with the flood design requirements for new construction."
502.4,Section 502 Additions,Existing Structural Elements Carrying Gravity Load,Beam|Column|Slab|Footing|Wall,Residential (R)|Business (B)|Assembly (A)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"Any existing gravity load-carrying structural element for which an addition and its related alterations cause an increase in design dead, live or snow load, including snow drift effects, of more than 5 percent shall be replaced or altered as needed to carry the gravity loads required by the International Building Code for new structures. Any existing gravity load-carrying structural element whose vertical load-carrying capacity is decreased as part of the addition and its related alterations shall be considered to be an altered element subject to the requirements of Section 503.3. Any existing element that will form part of the lateral load path for any part of the addition shall be considered to be an existing lateral load-carrying structural element subject to the requirements of Section 502.5.Exception: Buildings of Group R occupancy with not more than five dwelling or sleeping units used solely for residential purposes where the existing building and the addition together comply with the conventional light-frame construction methods of the International Building Code or the provisions of the International Residential Code."
502.5,Section 502 Additions,Existing Structural Elements Carrying Lateral Load,Wall|Beam|Column|Slab,Residential (R)|Business (B),sd|dd|cd,structural_design,structural_engineer,"Where the addition is structurally independent of the existing structure, existing lateral load-carrying structural elements shall be permitted to remain unaltered. Where the addition is not structurally independent of the existing structure, the existing structure and its addition acting together as a single structure shall be shown to meet the requirements of Sections 1609 and 1613 of the International Building Code using full seismic forces.Exceptions: Any existing lateral load-carrying structural element whose demand-capacity ratio with the addition considered is not more than 10 percent greater than its demand-capacity ratio with the addition ignored shall be permitted to remain unaltered. For purposes of calculating demand-capacity ratios, the demand shall consider applicable load combinations with design lateral loads or forces in accordance with Sections 1609 and 1613 of the International Building Code. For purposes of this exception, comparisons of demand-capacity ratios and calculation of design lateral loads, forces and capacities shall account for the cumulative effects of additions and alterations since original construction.Buildings of Group R occupancy with not more than five dwelling or sleeping units used solely for residential purposes where the existing building and the addition together comply with the conventional light-frame construction methods of the International Building Code or the provisions of the International Residential Code."
