id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
22,,Special Piping and Storage Systems,User note: Code change proposals to this chapter will be considered by the IRC- Plumbing and Mechanical Code Development Committee during the 2015 (Group A) Code Development Cycle. See explanation on page iv.,,,,,
M2201,Chapter 22 Special Piping and Storage Systems,Oil Tanks,,,,,,
M2201.1,Chapter 22 Special Piping and Storage Systems,Materials,Supply tanks shall be listed and labeled and shall conform to UL 58 for underground tanks and UL 80 for indoor tanks.,,,,,
M2201.2,Chapter 22 Special Piping and Storage Systems,Above-Ground Tanks,"The maximum amount of fuel oil stored above ground or inside of a building shall be 660 gallons (2498 L). The supply tank shall be supported on rigid noncombustible supports to prevent settling or shifting. Exception: The storage of fuel oil, used for space or water heating, above ground or inside buildings in quantities exceeding 660 gallons (2498 L) shall comply with NFPA 31.",,,,,
M2201.2.1,Chapter 22 Special Piping and Storage Systems,Tanks Within Buildings,Supply tanks for use inside of buildings shall be of such size and shape to permit installation and removal from dwellings as whole units. Supply tanks larger than 10 gallons (38 L) shall be placed not less than 5 feet (1524 mm) from any fire or flame either within or external to any fuel-burning appliance.,,,,,
M2201.2.2,Chapter 22 Special Piping and Storage Systems,Outside Above-Ground Tanks,Tanks installed outside above ground shall be a minimum of 5 feet (1524 mm) from an adjoining property line. Such tanks shall be suitably protected from the weather and from physical damage.,,,,,
M2201.3,Chapter 22 Special Piping and Storage Systems,Underground Tanks,"Excavations for underground tanks shall not undermine the foundations of existing structures. The clearance from the tank to the nearest wall of a basement, pit or property line shall be not less than 1 foot (305 mm). Tanks shall be set on and surrounded with noncorrosive inert materials such as clean earth, sand or gravel well tamped in place. Tanks shall be covered with not less than 1 foot (305 mm) of earth. Corrosion protection shall be provided in accordance with Section M2203.7.",,,,,
M2201.4,Chapter 22 Special Piping and Storage Systems,Multiple Tanks,Cross connection of two supply tanks shall be permitted in accordance with Section M2203.6.,,,,,
M2201.5,Chapter 22 Special Piping and Storage Systems,Oil Gauges,Inside tanks shall be provided with a device to indicate when the oil in the tank has reached a predetermined safe level. Glass gauges or a gauge subject to breakage that could result in the escape of oil from the tank shall not be used. Liquid-level indicating gauges shall comply with UL 180.,,,,,
M2201.6,Chapter 22 Special Piping and Storage Systems,Flood-Resistant Installation,"In flood hazard areas as established by Table R301.2(1), tanks shall be installed in accordance with Section R322.2.4 or R322.3.7.",,,,,
M2201.7,Chapter 22 Special Piping and Storage Systems,Tanks Abandoned or Removed,Exterior above-grade fill piping shall be removed when tanks are abandoned or removed. Tank abandonment and removal shall be in accordance with the International Fire Code.,,,,,
M2202,Chapter 22 Special Piping and Storage Systems,"Oil Piping, Fitting and Connections",,,,,,
