id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
11,,[RE] Energy Efficiency,Refer to the Arkansas Energy Code,Slab|Roof|Wall|Window|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect
N1101,Chapter 11 [RE] Energy Efficiency,General,,,,,none,none
N1102,Chapter 11 [RE] Energy Efficiency,(R402) Building Thermal Envelope,,,,,none,none
N1103,Chapter 11 [RE] Energy Efficiency,(R403) Systems,,,,,none,none
N1104,Chapter 11 [RE] Energy Efficiency,(R404) Electrical Power and Lighting Systems,,,,,,
N1105,Chapter 11 [RE] Energy Efficiency,(R405) Total Building Performance,,,,,,
N1106,Chapter 11 [RE] Energy Efficiency,(R406) Energy Rating Index Compliance Alternative,,,,,none,none
N1107,Chapter 11 [RE] Energy Efficiency,(R407) Tropical Climate Region Compliance Path,,,,,none,none
N1108,Chapter 11 [RE] Energy Efficiency,(R408) Additional Efficiency Package Options,,,,,,
N1109,Chapter 11 [RE] Energy Efficiency,(R501) Existing Buildings—General,,,,,none,none
N1110,Chapter 11 [RE] Energy Efficiency,(R502) Additions,,,,,none,none
N1111,Chapter 11 [RE] Energy Efficiency,(R503) Alterations,,,,,none,none
N1112,Chapter 11 [RE] Energy Efficiency,(R504) Repairs,,,,,none,none
N1113,Chapter 11 [RE] Energy Efficiency,(R505) Change of Occupancy or Use,,,,,none,none
