id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
27,,Plumbing Fixtures,Refer to Arkansas Plumbing Code.,,,,,
P2701,Chapter 27 Plumbing Fixtures,"Fixtures, Faucets and Fixture Fittings",,,,,,
P2702,Chapter 27 Plumbing Fixtures,Fixture Accessories,,,,,,
P2703,Chapter 27 Plumbing Fixtures,Tail Pieces,,,,,,
P2704,Chapter 27 Plumbing Fixtures,Slip-Joint Connections,,,,,,
P2705,Chapter 27 Plumbing Fixtures,Installation,,,,,,
P2706,Chapter 27 Plumbing Fixtures,Waste Receptors,,,,,,
P2707,Chapter 27 Plumbing Fixtures,Directional Fittings,,,,,,
P2708,Chapter 27 Plumbing Fixtures,Showers,,,,,,
P2709,Chapter 27 Plumbing Fixtures,Shower Receptors,,,,,,
P2710,Chapter 27 Plumbing Fixtures,Shower Walls,,,,,,
P2711,Chapter 27 Plumbing Fixtures,Lavatories,,,,,,
P2712,Chapter 27 Plumbing Fixtures,Water Closets,,,,,,
P2713,Chapter 27 Plumbing Fixtures,Bathtubs,,,,,,
P2714,Chapter 27 Plumbing Fixtures,Sinks,,,,,,
P2715,Chapter 27 Plumbing Fixtures,Laundry Tubs,,,,,,
P2716,Chapter 27 Plumbing Fixtures,Food-Waste Disposer,,,,,,
P2717,Chapter 27 Plumbing Fixtures,Dishwashing Machines,,,,,,
P2718,Chapter 27 Plumbing Fixtures,Clothes Washing Machine,,,,,,
P2719,Chapter 27 Plumbing Fixtures,Floor Drains,,,,,,
P2720,Chapter 27 Plumbing Fixtures,Whirlpool Bathtubs,,,,,,
P2721,Chapter 27 Plumbing Fixtures,Bidet Installations,,,,,,
P2722,Chapter 27 Plumbing Fixtures,Fixture Fitting,,,,,,
P2723,Chapter 27 Plumbing Fixtures,Macerating Toilet Systems,,,,,,
P2724,Chapter 27 Plumbing Fixtures,Specialty Temperature Control Devices and Valves,,,,,,
P2725,Chapter 27 Plumbing Fixtures,Nonliquid Saturated Treatment Systems,,,,,,
