id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
31,,Vents,Refer to Arkansas Plumbing Code.,,,,,
P3101,Chapter 31 Vents,Vent Systems,,,,,,
P3102,Chapter 31 Vents,Vent Stacks and Stack Vents,,,,,,
P3103,Chapter 31 Vents,Vent Terminals,,,,,,
P3104,Chapter 31 Vents,Vent Connections and Grades,,,,,,
P3105,Chapter 31 Vents,Fixture Vents,,,,,,
P3106,Chapter 31 Vents,Individual Vent,,,,,,
P3107,Chapter 31 Vents,Common Vent,,,,,,
P3108,Chapter 31 Vents,Wet Venting,,,,,,
P3109,Chapter 31 Vents,Waste Stack Vent,,,,,,
P3110,Chapter 31 Vents,Circuit Venting,,,,,,
P3111,Chapter 31 Vents,Combination Waste and Vent System,,,,,,
P3112,Chapter 31 Vents,Island Fixture Venting,,,,,,
P3113,Chapter 31 Vents,Vent Pipe Sizing,,,,,,
P3114,Chapter 31 Vents,Air Admittance Valves,,,,,,
