id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
16,,Structural Design,Beam|Column|Slab|Wall|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"CALIFORNIA BUILDING CODE — MATRIX ADOPTION TABLE CHAPTER 16 — STRUCTURAL DESIGN (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt entire chapter X X X X Adopt entire chapter as amended (amended sections listed below) X X X X X Adopt only those sections that are listed below X X X Chapter / Section 1601.1.1 X X X X 1601.1.2 X X X X 1601.1.3 X 1601.1.4 X X X X 1601.1.5 X X X X 1601.2 X X X X 1603.1 X X X Table 1604.5 X X 1605.2 X X X Table 1607.1 X X X 1607.9 X 1607.9.2 X X 1607.12.4 X 1607.14.3.5 X X X 1612.3.2 X X X 1613.1 X X X 1613.1.1 X 1613.1.2 X 1613.1.3 X 1613.2 X X X 1613.4 X X X 1613.7 X X X 1617 X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 16 establishes minimum design requirements so that the structural components of buildings are proportioned to resist the loads that are likely to be encountered. In addition, this chapter assigns buildings and structures to risk categories that are indicative of their intended use. The loads specified herein along with the required load combinations have been established through research and service performance of buildings and structures. The application of these loads and adherence to the serviceability criteria enhance the protection of life and property. ICC code development note: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2025 (Group B) Code Development Cycle."
1601,Chapter 16 Structural Design,General,,,,none,none,
1601.1,Section 1601 General,Scope,Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"The provisions of this chapter shall govern the structural design of buildings, structures and portions thereof."
1601.1.1,Section 1601 General,Application,,,,,,"[DSA-SS/CC, OSHPD] The scope of application of Chapter 16 is as follows: Structures regulated by the Division of the State Architect-Structural Safety/Community Colleges (DSA-SS/CC), which include those applications listed in Section 1.9.2.2. Hospital buildings removed from general acute care service, skilled nursing facility buildings, intermediate care facility buildings and acute psychiatric hospital buildings regulated by the Department of Health Care Access and Information/Office of Statewide Hospital Planning and Development (OSHPD) as listed in Sections 1.10.1, 1.10.2 and 1.10.5."
1601.1.2,Section 1601 General,Amendments in This Chapter,,,,,,[DSA-SS/CC] DSA-SS/CC adopts this chapter as amended. [OSHPD] OSHPD adopts this chapter as amended.
1601.1.3,Section 1601 General,Identification of Amendments,,,,,,"[DSA-SS/CC] [OSHPD 1R, 2 &amp; 5] Division of the State Architect - Structural Safety/Community Colleges amendments appear in this chapter preceded by the appropriate acronym, as follows: [DSA-SS/CC] - For applications listed in Section 1.9.2.2. [OSHPD 1R, 2 &amp; 5] Office of Statewide Hospital Planning and Development (OSHPD) amendments appear in this chapter preceded with the appropriate acronym, as follows: [OSHPD 1R] - For applications listed in Section 1.10.1. [OSHPD 2] - For applications listed in Section 1.10.2. [OSHPD 5] - For applications listed in Section 1.10.5."
1601.1.4,Section 1601 General,Reference to Other Chapters,,,,,,"[DSA-SS/CC] Where reference within this chapter is made to sections in Chapters 17 and 18, the provisions in Chapters 17A and 18A respectively shall apply instead."
1601.1.5,Section 1601 General,Additional Amendments,,,,,,"[DSA-SS/CC, OSHPD] [OSHPD 1R, 2 &amp; 5] In addition to the amendments in this chapter, these buildings shall comply with the requirements of Sections 1617A.1.1, 1617A.1.4, 1617A.1.11, 1617A.1.13, 1617A.1.18, 1617A.1.27, 1617A.1.39 and 1617A.1.41. [DSA-SS/CC] See Section 1617 for additional requirements."
1601.2,Section 1601 General,Enforcement Agency Approval,,,,,,"[DSA-SS/CC, OSHPD 1R, 2 &amp; 5] In addition to requirements of the California Administrative Code and the California Building Code, any aspect of project design, construction, quality assurance or quality control programs for which this code requires approval by the Registered Design Professional (RDP), are also subject to approval by the enforcement agency."
1602,Chapter 16 Structural Design,Notations,,,,none,none,
1602.1,Section 1602 Notations,Notations,Slab|Roof|Wall|Column|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"The following notations are used in this chapter: D = Dead load. Di = Weight of ice in accordance with Chapter 10 of ASCE 7. E = Combined effect of horizontal and vertical earthquake induced forces as defined in Section 12.4 of ASCE 7. F = Load due to fluids with well-defined pressures and maximum heights. Fa = Flood load in accordance with Chapter 5 of ASCE 7. H = Load due to lateral earth pressures, ground water pressure or pressure of bulk materials. L = Live load. Lr = Roof live load. pg(asd) = Allowable stress design ground snow load. pg = Ground snow load determined from Figures 1608.2(1) through 1608.2(4) and Table 1608.2. R = Rain load. S = Snow load. T = Cumulative effects of self-straining load forces and effects. Vasd = Allowable stress design wind speed, mph (m/s) where applicable. V = Basic wind speed, V, mph (m/s) determined from Figures 1609.3(1) through 1609.3(4) or ASCE 7. VT = Tornado speed, mph (m/s) determined from Chapter 32 of ASCE 7. W = Load due to wind pressure. Wi = Wind-on-ice in accordance with Chapter 10 of ASCE 7."
1603,Chapter 16 Structural Design,Construction Documents,,,,none,none,
1603.1,Section 1603 Construction Documents,General,Beam|Column|Footing|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"Construction documents shall show the material, size, section and relative locations of structural members with floor levels, column centers and offsets dimensioned. The design loads and other information pertinent to the structural design required by Sections 1603.1.1 through 1603.1.9 shall be indicated on the construction documents. Exception: Construction documents for buildings constructed in accordance with the conventional light-frame construction provisions of Section 2308 shall indicate the following structural design information: Floor and roof dead and live loads. Ground snow load, pg, and allowable stress design ground snow load, pg(asd). Basic wind speed, V, mph (m/s), and allowable stress design wind speed, Vasd, as determined in accordance with Section 1609.3.1 and wind exposure. Seismic design category and site class. Flood design data, if located in flood hazard areas established in Section 1612.3. Design load-bearing values of soils. Rain load data. [OSHPD 1R, 2 &amp; 5] Additional requirements are included in Sections 7-115 and 7-125 of the California Administrative Code (Part 1, Title 24, C.C.R)."
1603.1.1,Section 1603 Construction Documents,Floor Live Load,Slab|Beam|Column,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,"The uniformly distributed, concentrated and impact floor live load used in the design shall be indicated for floor areas. Use of live load reduction in accordance with Section 1607.13 shall be indicated for each type of live load used in the design."
1603.1.2,Section 1603 Construction Documents,Roof Live Load,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer,The roof live load used in the design shall be indicated for roof areas.
1603.1.3,Section 1603 Construction Documents,Roof Snow Load Data,Roof|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"The ground snow load, pg, shall be indicated. In areas where the ground snow load, pg, exceeds 15 pounds per square foot (psf) (0.72 kN/m2), the following additional information shall also be provided, regardless of whether snow loads govern the design of the roof:Flat-roof snow load, pf.Snow exposure factor, Ce.Risk category.Thermal factor, Ct.Slope factor(s), Cs.Drift surcharge load(s), pd, where the sum of pd and pf exceeds 30 psf (1.44 kN/m2).Width of snow drift(s), w.Winter wind parameter for snow drift, W2."
1603.1.4,Section 1603 Construction Documents,Wind and Tornado Design Data,Wall|Roof|Slab|Window|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer,"The following information related to wind loads and, where required by Section 1609.5, tornado loads shall be shown, regardless of whether wind or tornado loads govern the design of the lateral force-resisting system of the structure:Basic wind speed, V, mph (m/s), tornado speed, VT, mph (m/s), and allowable stress design wind speed, Vasd, mph (m/s), as determined in accordance with Section 1609.3.1.Risk category.Effective plan area, Ae, for tornado design in accordance with Chapter 32 of ASCE 7.Wind exposure. Applicable wind direction if more than one wind exposure is utilized.Applicable internal pressure coefficients, and applicable tornado internal pressure coefficients.Design wind pressures and their applicable zones with dimensions to be used for exterior component and cladding materials not specifically designed by the registered design professional responsible for the design of the structure, pounds per square foot (kN/m2). Where design for tornado loads is required, the design pressures shown shall be the maximum of wind or tornado pressures."
1603.1.5,Section 1603 Construction Documents,Earthquake Design Data,Wall|Column|Beam|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,structural_design,structural_engineer,"The following information related to seismic loads shall be shown, regardless of whether seismic loads govern the design of the lateral force-resisting system of the structure:Risk category.Seismic importance factor, Ie.Spectral response acceleration parameters, SS and S1.Site class.Design spectral response acceleration parameters, SDS and SD1.Seismic design category.Basic seismic force-resisting system(s).Design base shear(s).Seismic response coefficient(s), CS.Response modification coefficient(s), R.Analysis procedure used."
1603.1.6,Section 1603 Construction Documents,Geotechnical Information,Footing|Slab|DeepFoundation|EarthworksElement,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,structural_design,civil_engineer,The design load-bearing values of soils shall be shown on the construction documents.
1603.1.7,Section 1603 Construction Documents,Flood Design Data,Slab|Footing|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,site_planning,civil_engineer,"For buildings located in whole or in part in flood hazard areas as established in Section 1612.3, the documentation pertaining to design, if required in Section 1612.4, shall be included and the following information, referenced to the datum on the community's Flood Insurance Rate Map (FIRM), shall be shown, regardless of whether flood loads govern the design of the building:Flood design class assigned according to ASCE 24.In flood hazard areas other than coastal high hazard areas or coastal A zones, the elevation of the proposed lowest floor, including the basement.In flood hazard areas other than coastal high hazard areas or coastal A zones, the elevation to which any nonresidential building will be dry floodproofed.In coastal high hazard areas and coastal A zones, the proposed elevation of the bottom of the lowest horizontal structural member of the lowest floor, including the basement."
1603.1.8,Section 1603 Construction Documents,Special Loads,Slab|Roof|Beam|Column,Business (B)|Educational (E)|Assembly (A)|Factory and Industrial (F)|Storage (S),sd|dd|cd,structural_design,structural_engineer,"Special loads that are applicable to the design of the building, structure or portions thereof, including but not limited to the loads of machinery or equipment, and that are greater than specified floor and roof loads shall be specified by their descriptions and locations."
