id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
30,,Elevators and Conveying Systems,"CALIFORNIA BUILDING CODE — MATRIX ADOPTION TABLE CHAPTER 30 — ELEVATORS AND CONVEYING SYSTEMS (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt entire chapter X X X X X X X X X Adopt entire chapter as amended (amended sections listed below) X X Adopt only those sections that are listed below X X Chapter / Section 3001.2 X 3001.3 X 3001.4 X X X 3001.5 X 3001.6 X 3002.4a — 3002.4.6a X 3002.5 X 3002.6.1 X 3002.9 X 3002.10 — 3002.11 X 3003.1 X 3003.1.4 X 3003.1.5 X 3003.2 X 3003.2.1 X 3003.2.1.1 X 3003.2.1.2 X 3003.4 — 3003.4.4 X 3005.1 — 3005.2 X 3005.4.1 X 3006.2 X 3006.3 X 3007.1 X 3007.6.1 X 3008.1.4 X 3003.1.5 X 3008.2.1 X 3008.7.1 X 3010 X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 30 contains the provisions that regulate vertical and horizontal transportation and material-handling systems installed in buildings. This chapter also provides several elements that protect occupants and assist emergency responders during fires. ICC code development note: Code change proposals to sections preceded by the designation [F] and [BE] will be considered by a code development committee meeting during the 2024 (Group A) Code Development Cycle. All other code change proposals will be considered by a code development committee meeting during the 2025 (Group B) Code Development Cycle.",Elevator|Ramp|Stair|RampFlight|Door,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001,Chapter 30 Elevators and Conveying Systems,General,,,,,none,none
3001.1,Section 3001 General,Scope,"This chapter governs the design, construction, installation, alteration and repair of elevators and conveying systems and their components.",Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.2,Section 3001 General,Elevator Emergency Communication Systems,"An elevator emergency two-way communication system that includes both visual and audible communication modes complying with the requirements in California Code of Regulations, Title 8, Division 1, Chapter 4, Subchapter 6, Elevator Safety Orders, shall be provided in each elevator car. The system shall provide a means to enable authorized personnel to verify: The presence of someone in the car. That the person(s) is trapped. Once an entrapment is verified, the system shall enable authorized personnel to: Determine if assistance is needed. Communicate when help is on the way. Communicate when help arrives on site.",Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.3,Section 3001 General,Referenced Standards,"The design, construction, installation, alteration, repair and maintenance of elevators and conveying systems and their components shall conform to California Code of Regulations, Title 8, Division 1, Chapter 4, Subchapter 6, Elevator Safety Orders, and the applicable standard specified in Table 3001.3 and Section 3001.6. TABLE 3001.3ELEVATORS AND CONVEYING SYSTEMS AND COMPONENTS TYPE STANDARD Automotive lifts ALI ALCTV Belt manlifts ASME A90.1 Conveyors and related equipment ASME B20.1 Elevators, escalators, dumbwaiters, moving walks, material lifts ASME A17.1/CSA B44, ASME A17.7/CSA B44.7 Industrial scissor lifts ANSI MH29.1 Platform lifts, stairway chairlifts, wheelchair lifts ASME A18.1",ElevatorsConveyingSystems|Stair|Ramp,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.4,Section 3001 General,Accessibility,Passenger elevators and platform (wheelchair) lifts required to be accessible or to serve as part of an accessible means of egress shall comply with Sections 1009 and either Chapter 11A for applications listed in Section 1.8.2.1.2 regulated by the Department of Housing and Community Development or Chapter 11B for applications listed in Section 1.9.1 regulated by the Division of the State Architect—Access Compliance.,Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,accessibility,architect
3001.5,Section 3001 General,Change in Use,"A change in use of an elevator from freight to passenger, passenger to freight, or from one freight class to another freight class shall comply with California Code of Regulations, Title 8, Division 1, Chapter 4, Subchapter 6, Elevator Safety Orders.",Elevator|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,elevators_conveying_systems,elevator_consultant
3001.6,Section 3001 General,Structural Design,"All interior and exterior elevators, escalators and other conveying systems and their components shall comply with all applicable design loading criteria in Chapter 16, including wind, flood and seismic loads established in Sections 1609, 1612 and 1613.",Elevator|Stair|StairFlight|Ramp|RampFlight,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
3001.7,Section 3001 General,Elevators Utilized to Transport Hazardous Materials,"Elevators utilized to transport hazardous materials shall also comply with the California Fire Code Sections 5003.10.2.2, 5003.10.4 through 5003.10.7.",,,,,
3002,Chapter 30 Elevators and Conveying Systems,Hoistway Enclosures,,,,,none,none
