id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
33,,Safeguards During Construction,"CALIFORNIA BUILDING CODE — MATRIX ADOPTION TABLECHAPTER 33 — SAFEGUARDS DURING CONSTRUCTION (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user.See Chapter 1 for state agency authority and building applications.) Adopting agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt entire chapter X X X X X X X X X X X Adopt entire chapter as amended (amended sections listed below) Adopt only those sections that are listed below X X X Chapter / Section 3301 X X 3302 X X 3303 X X 3304 X X 3304.1.5 X 3305 X X 3306 X X 3306.2 X X X 3307 X X 3307.1, Note X X 3308 X X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: While the balance of the chapters in this code specify how a building is to be designed and constructed in order to be in compliance with the code, Chapter 33 looks to the actual construction process. Parameters are provided for demolition and for protecting adjacent property during demolition and construction. This chapter also addresses the need for a fire watch during nonworking hours for certain buildings once the construction has progressed significantly. Issues such as how to provide egress while the building is growing, the timing of standpipe and sprinkler installation, and protection of pedestrians are addressed. ICC code development note: Code change proposals to sections preceded by the designation [F] will be considered by a code development committee meeting during the 2024 (Group A) Code Development Cycle. All other code change proposals will be considered by a code development committee meeting during the 2025 (Group B) Code Development Cycle.",Wall|Slab|Door|Stair|Ramp,Assembly (A)|Business (B)|Residential (R)|Educational (E)|Mercantile (M),cd|ca,special_construction,architect
3301,Chapter 33 Safeguards During Construction,General,,,,,none,none
3301.1,Section 3301 General,Scope,The provisions of this chapter shall govern safety during construction and the protection of adjacent public and private properties. Fire safety during construction shall also comply with the applicable provisions of Chapter 33 of the California Fire Code.,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),cd|ca,special_construction,architect
3301.2,Section 3301 General,Storage and Placement of Construction Equipment and Materials,"Construction equipment and materials shall be stored and placed so as not to endanger the public, the workers or adjoining property for the duration of the construction project.",BuildingElementProxy|EarthworksElement|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),ca,site_planning,civil_engineer
3301.3,Section 3301 General,Roof Loads,Structural roof components shall be capable of supporting the roof-covering system and the material and equipment loads that will be encountered during installation of the system.,Roof|Slab|Beam|Column,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
3301.4,Section 3301 General,"Maintenance of Exits, Existing Structural Elements, Fire Protection Devices and Sanitary Safeguards","Required exits, existing structural elements, fire protection devices and sanitary safeguards shall be maintained at all times during alterations, repairs or additions to any building or structure.Exceptions:Where such required elements or devices are being altered or repaired, adequate substitute provisions shall be made.Maintenance of such elements and devices is not required where the existing building is not occupied.",Door|Stair|Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,means_of_egress,architect
3301.5,Section 3301 General,Removal of Waste Materials,"Waste materials shall be removed in a manner that prevents injury or damage to persons, adjacent properties and public rights-of-way.",BuildingElementProxy|EarthworksElement|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Mercantile (M),cd|ca,site_planning,architect
3302,Chapter 33 Safeguards During Construction,Owner's Responsibility for Fire Protection,,,,,none,none
3302.1,Section 3302 Owner's Responsibility for Fire Protection,Site Safety Plan,"The owner or owner's authorized agent shall be responsible for the development, implementation and maintenance of an approved, written site safety plan establishing a fire prevention program at the project site applicable throughout all phases of the construction, repair, alteration or demolition work. The plan shall be submitted and approved before a building permit is issued. Any changes to the plan shall address the requirements of this chapter and other applicable portions of the California Fire Code, the duties of staff and staff training requirements. The plan shall be submitted for approval in accordance with the California Fire Code.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),cd|ca,fire_protection_alarm_systems,owner
3302.1.1,Section 3302 Owner's Responsibility for Fire Protection,Components of Site Safety Plans,"Site safety plans shall include the following, as applicable:Name and contact information of site safety director.Documentation of the training of the site safety director and fire watch personnel.Procedures for reporting emergencies.Fire department vehicle access routes.Location of fire protection equipment, including portable fire extinguishers, standpipes, fire department connections and fire hydrants.Smoking and cooking policies, designated areas to be used where approved, and signage locations in accordance with the California Fire Code.Location and safety considerations for temporary heating equipment.Hot-work permit plan.Plans for control of combustible waste material.Locations and methods for storage and use of flammable and combustible liquids and other hazardous materials.Provisions for site security and, where required, for a fire watch.Changes that affect this plan.Other site-specific information required by the California Fire Code.",BuildingElementProxy|Door|Slab,Assembly (A)|Business (B)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer
