id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
9,,Fire Protection and Life Safety Systems,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"CALIFORNIA BUILDING CODE — MATRIX ADOPTION TABLE CHAPTER 9 — FIRE PROTECTION AND LIFE SAFETY SYSTEMS (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting agency BSC BSC -CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt entire chapter X X X X X X X X X X Adopt entire chapter as amended (amended sections listed below) X X X Adopt only those sections that are listed below X X X Chapter / Section 901.5 X 903.2 X 903.2.1.2 X 903.2.1.3 X 903.2.3 X 903.2.4.1 X 903.2.5.4 X 903.2.6 X 903.2.6.1 X 903.2.6.2 X 903.2.7 X 903.2.8 X 903.2.8.2 X Table 903.2.11.6 X 903.2.14 X 903.2.14.1 X 903.2.14.2 X 903.2.15 X 903.2.15.1 X 903.2.16 X 903.2.16.1 X 903.2.17 X 903.2.17.1 X 903.2.17.2 X 903.2.17.2.1 X 903.2.17.2.2 X 903.2.17.2.3 X 903.2.17.2.4 X 903.2.17.2.5 X 903.2.17.2.6 X 903.2.18 X 903.2.19 X 903.2.19.1 X 903.2.19.1.1 X 903.2.19.1.2 X 903.2.20 X 903.2.21 X 903.3 X 903.3.1.1 X 903.3.1.1.1 X 903.3.1.1.4 X 903.3.1.2 X 903.3.1.3 X 903.3.2 X 903.3.5 X 903.10 X 904.3.1 X X 904.5 X 904.6 X 904.7 X 904.8 X 904.9 X 904.10 X 904.11.3 X 904.14 X 904.15 X 905.1 X 905.2 X 905.3 X 905.3.1 X 905.3.8 X 905.3.8.1 X 905.3.8.2 X 905.3.9 X 905.3.10 X 905.4 X 905.5 X 905.7.2 X 906.1 X 906.2 X Table 906.3(1) X Table 906.3(2) X 906.3.2 X 906.3.4 X 907.1.2 X 907.1.3 X 907.1.4 X 907.1.5 X 907.2 X 907.2.1 X 907.2.1.1 X 907.2.1.3 X 907.2.2 X 907.2.2.3 X 907.2.3 X 907.2.3.1 X 907.2.3.2 X 907.2.3.3 X 907.2.3.4 X 907.2.3.5 X 907.2.3.6 X 907.2.3.6.1 X 907.2.3.6.2 X 907.2.3.7 X 907.2.3.8 X 907.2.3.9 X 907.2.3.9.1 X 907.2.3.9.2 X 907.2.3.10 X 907.2.5.1 X 907.2.6 X 907.2.6.1 X 907.2.6.2 X 907.2.6.2.1 X 907.2.6.2.2 X 907.2.6.3 X 907.2.6.3.3 X 907.2.6.3.4 X 907.2.6.4 X 907.2.6.5 X 907.2.9 X 907.2.9.1 X 907.2.9.3 X 907.2.9.4 X 907.2.9.4.1 X 907.2.10 X 907.2.11 X 907.2.11.1 X 907.2.11.2 X 907.2.11.2.1 — 907.2.11.2.6 X 907.2.11.3 X 907.2.11.4 X 907.2.11.6 X 907.2.11.8 X 907.2.11.9 X 907.2.12 X 907.2.13 X 907.2.13.1 X 907.2.13.1.2 X 907.2.24 with subsections X 907.2.25 with subsections X 907.2.26 with subsections X 907.2.27 X 907.2.28 with subsection X 907.2.29 with subsection X 907.3 X 907.3.2 X 907.3.2.1 through 907.3.2.5 X 907.3.3 X 907.3.3.1 X 907.4.2.1 X 907.4.2.2 X X 907.4.2.7 X 907.5 X 907.5.1.1 X 907.5.2.1 X 907.5.2.1.4 X 907.5.2.2 X 907.5.2.2.4 X 907.5.2.3 X X 907.5.2.3.1 X X 907.5.2.3.2 X X Table 907.5.2.3.2 X X 907.5.2.3.3 X X X X X 907.5.2.3.4 X X 907.5.2.4 X 907.5.2.5 X 907.6 X 907.6.1 X X 907.6.1.1 X 907.6.4 X 907.6.4.1 X 907.6.4.1.1 X 907.6.4.2 X 907.6.4.3 X 907.6.4.4 X 907.6.6 X 907.6.6.4 X 908.2 X 909.5.3 X 909.5.3.1 X 909.12.1 X 909.13.1 X 909.16 X 909.16.1 X 909.18.9 X 909.20 X 909.20.1 X 909.20.2.2 X 909.20.2.3 X 909.20.2.4 X 909.20.2.5 X 909.20.3.2 X 909.20.4.1 X 909.20.4.2 X 909.20.6 X 909.20.6.1 X 909.20.6.2 X 910.2.1 X 910.3.1 X 911.1 X 911.1.6 X 911.1.8 X 912.4 X 912.6 X 913.1 X 913.5 X 915.1 X X X 915.2 X X X 915.2.1 X X X 915.2.3 X 915.4 X X X 915.4.1, Exceptions 2 and 3 X X X 915.4.2 X X X 915.4.3 X 915.4.4 X X X 915.5.2 X X X 915.5.3 X X X 915.6 X X X 915.6.1 X 915.7 X X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 9 prescribes the minimum requirements for active fire protection equipment systems to perform the functions of detecting a fire, alerting the occupants or fire department of a fire emergency, mass notification, gas detection, controlling smoke and controlling or extinguishing the fire. Generally, the requirements are based on the occupancy, the height and the area of the building, because these are the factors that most affect firefighting capabilities and the relative hazard of a specific building or portion thereof. This chapter parallels and is substantially duplicated in Chapter 9 of the California Fire Code."
901,Chapter 9 Fire Protection and Life Safety Systems,General,,,,none,none,
901.1,Section 901 General,Scope,Wall|Door|Slab,Assembly (A)|Business (B)|Institutional (I)|Residential (R)|Storage (S),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"The provisions of this chapter shall specify where fire protection and life safety systems are required and shall apply to the design, installation and operation of fire protection and life safety systems."
901.2,Section 901 General,Fire Protection Systems,Wall|Slab|Door,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Fire protection and life safety systems shall be installed, repaired, operated and maintained in accordance with this code and the California Fire Code. Any fire protection or life safety system for which an exception or reduction to the provisions of this code has been granted shall be considered to be a required system. Exception: Any fire protection or life safety system or portion thereof not required by this code shall be permitted to be installed for partial or complete protection provided that such system meets the requirements of this code."
901.3,Section 901 General,Modifications,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),cd|ca,fire_protection_alarm_systems,fire_protection_engineer,Persons shall not remove or modify any fire protection system installed or maintained under the provisions of this code or the California Fire Code without approval by the building official.
901.4,Section 901 General,Threads,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Threads provided for fire department connections to automatic sprinkler systems, standpipes, yard hydrants or any other fire hose connection shall be compatible with the connections used by the local fire department."
901.5,Section 901 General,Administration of Installation Acceptance Tests,,,,,,"Fire protection systems shall be tested in accordance with the requirements of this code and the California Fire Code. Where required, the tests shall be conducted in the presence of the building official. Tests required by this code, the California Fire Code and the standards listed in this code shall be conducted at the expense of the owner or the owner's authorized agent. It shall be unlawful to occupy portions of a structure until the required fire protection systems within that portion of the structure have been tested and approved."
901.6,Section 901 General,Supervisory Service,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Where required, fire protection systems shall be monitored by an approved supervising station in accordance with NFPA 72."
901.6.1,Section 901 General,Automatic Sprinkler Systems,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Automatic sprinkler systems shall be monitored by an approved supervising station. Exceptions: A supervising station is not required for automatic sprinkler systems protecting one- and two-family dwellings. Limited area systems in accordance with Section 903.3.8.
901.6.2,Section 901 General,Fire Alarm Systems,BuildingElementProxy,Institutional (I)|Residential (R)|Assembly (A)|Business (B),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Fire alarm systems required by the provisions of Section 907.2 of this code and Sections 907.2 and 907.9 of the California Fire Code shall be monitored by an approved supervising station in accordance with Section 907.6.6 of this code. Exceptions: Single- and multiple-station smoke alarms required by Section 907.2.11. Smoke detectors in Group I-3 occupancies. Supervisory service is not required for automatic sprinkler systems in one- and two-family dwellings.
