id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
6,,Classification of Work,"CALIFORNIA EXISTING BUILDING CODE — MATRIX ADOPTION TABLE CHAPTER 6 — CLASSIFICATION OF WORK (Matrix Adoption Tables are nonregulatory, intended only as an aid to the code user. See Chapter 1 for state agency authority and building applications.) Adopting Agency BSC BSC- CG SFM HCD DSA OSHPD BSCC DPH AGR DWR CEC CA SL SLC 1 2 1/AC AC SS SS/CC 1 1R 2 3 4 5 6 Adopt Entire Chapter X X Adopt Entire Chapter as amended (amended sections listed below) X Adopt only those sections that are listed below Chapter / Section 601.1 X 601.1.1 X 607.1 X The state agency does not adopt sections identified with the following symbol: † The Office of the State Fire Marshal's adoption of this chapter or individual sections is applicable to structures regulated by other state agencies pursuant to Section 1.11. User notes: About this chapter: Chapter 6 provides an overview of the Work Area Method available as an option for rehabilitation of a building. The chapter defines the different classifications of alterations and provides general requirements for alterations, change of occupancy, additions and historic buildings. Detailed requirements for all of these are given in Chapters 7 through 11.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,occupancy_classification,architect
601,Chapter 6 Classification of Work,General,,,,,none,none
601.1,Section 601 General,Scope,"The provisions of this chapter shall be used in conjunction with Chapters 7 through 11 and shall apply to the alteration, addition and change of occupancy of existing structures, as referenced in Section 301.3.2. The work performed on an existing building shall be classified in accordance with this chapter. Historic buildings and structures shall comply with Part 8, Title 24, C.C.R. Exceptions:[SFM] Use of Chapters 6-11 is not permitted in H, I and L, R-2.1, R-3.1 occupancies and high-rise buildings.[BSC] Use of Chapters 6-11 is not permitted in occupancies, buildings and applications regulated by Building Standards Commission and listed in Section 1.2.",Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,occupancy_classification,architect
601.1.1,Section 601 General,Compliance With Other Alternatives,"Alterations, additions and changes of occupancy to existing structures shall comply with the provisions of Chapters 7 through 11 or with one of the alternatives provided in Section 301.3.",Wall|Door|Roof,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,occupancy_classification,architect
601.2,Section 601 General,Work Area,"The work area, as defined in Chapter 2, shall be identified on the construction documents.",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,site_planning,architect
602,Chapter 6 Classification of Work,Alteration—Level 1,,,,,none,none
602.1,Section 602 Alteration—Level 1,Scope,"Level 1 alterations include the removal and replacement or the covering of existing materials, elements, equipment or fixtures using new materials, elements, equipment or fixtures that serve the same purpose.",Wall|Door|Window|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,finishes_materials,architect
602.2,Section 602 Alteration—Level 1,Application,Level 1 alterations shall comply with the provisions of Chapter 7.,Wall|Door|Window,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect
603,Chapter 6 Classification of Work,Alteration—Level 2,,,,,none,none
603.1,Section 603 Alteration—Level 2,Scope,"Level 2 alterations include the addition or elimination of any door or window, the reconfiguration or extension of any system, or the installation of any additional equipment, and shall apply where the work area is equal to or less than 50 percent of the building area. Exception: The movement or addition of nonfixed and movable fixtures, cases, racks, counters and partitions not over 5 feet 9 inches (1753 mm) in height shall not be considered a Level 2 alteration.",Door|Window|Wall,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,special_construction,architect
