id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
13,,Performance Compliance Methods,Wall|Door|Window,Assembly (A)|Business (B)|Residential (R),sd|dd|cd,means_of_egress,architect,"User note:About this chapter: Chapter 13 allows for existing buildings to be evaluated so as to show that alterations, while not meeting new construction requirements, will improve the current existing situation. Provisions are based on a numerical scoring system involving 19 various safety parameters and the degree of code compliance for each issue."
1301,Chapter 13 Performance Compliance Methods,General,,,,none,none,
1301.1,Section 1301 General,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"The provisions of this chapter shall apply to the alteration, addition and change of occupancy of existing structures, including historic structures, as referenced in Section 301.3.3. The provisions of this chapter are intended to maintain or increase the current degree of public safety, health and general welfare in existing buildings while permitting, alteration, addition and change of occupancy without requiring full compliance with Chapters 6 through 12, except where compliance with the prescriptive method of Chapter 5 or the work area method of other provisions of this code is specifically required in this chapter."
1301.1.1,Section 1301 General,Compliance With Other Methods,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,occupancy_classification,architect,"Alterations, additions and changes of occupancy to existing structures shall comply with the provisions of this chapter or with one of the methods provided in Section 301.3."
1301.2,Section 1301 General,Applicability,,,,,,"Existing buildings in which there is work involving additions, alterations or changes of occupancy shall be made to conform to the requirements of this chapter or the provisions of Chapters 6 through 12. The provisions of Sections 1301.2.1 through 1301.2.6 shall apply to existing occupancies that will continue to be, or are proposed to be, in Groups A, B, E, F, I-2, M, R and S. These provisions shall also apply to Group U occupancies where such occupancies are undergoing a change of occupancy or a partial change in occupancy with separations in accordance with Section 1301.2.2. These provisions shall not apply to buildings with occupancies in Group H, I-1, I-3 or I-4."
1301.2.1,Section 1301 General,Change in Occupancy,,,,,,"Where an existing building is changed to a new occupancy classification and this section is applicable, the provisions of this section for the new occupancy shall be used to determine compliance with this code."
1301.2.2,Section 1301 General,Partial Change in Occupancy,,,,,,"Where a portion of the building is changed to a new occupancy classification and that portion is separated from the remainder of the building with fire barrier or horizontal assemblies having a fire-resistance rating as required by Table 508.4 of the International Building Code or Section R302 of the International Residential Code for the separate occupancies, or with approved compliance alternatives, the portion changed shall be made to conform to the provisions of this section. Only the portion separated shall be required to be evaluated for compliance.Where a portion of the building is changed to a new occupancy classification and that portion is not separated from the remainder of the building with fire barriers or horizontal assemblies having a fire-resistance rating as required by Table 508.4 of the International Building Code or Section R302 of the International Residential Code for the separate occupancies, or with approved compliance alternatives, the provisions of this section which apply to each occupancy shall apply to the entire building. Where there are conflicting provisions, those requirements which secure the greater public safety shall apply to the entire building or structure."
1301.2.3,Section 1301 General,Additions,,,,,,"Additions to existing buildings shall comply with the requirements of the International Building Code or the International Residential Code for new construction. The combined height and area of the existing building and the new addition shall not exceed the height and area allowed by Chapter 5 of the International Building Code. Where a fire wall that complies with Section 706 of the International Building Code is provided between the addition and the existing building, the addition shall be considered a separate building."
1301.2.4,Section 1301 General,Alterations,,,,,,"An existing building or portion thereof shall not be altered in such a manner that results in the building being less safe or sanitary than such building is currently.Exception: Where the current level of safety or sanitation is proposed to be reduced, the portion altered shall conform to the requirements of the International Building Code."
1301.2.5,Section 1301 General,Escalators,,,,,,"Where escalators are provided in below-grade transportation stations, existing and new escalators shall be permitted to have a clear width of less than 32 inches (815 mm)."
