id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
29,,Plumbing Systems,Slab|Wall|BuildingElementProxy|Door|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,plumbing_systems,architect,
2901,Chapter 29 Plumbing Systems,General,,,,none,none,
2901.1,Section 2901 General,Scope,Covering|Slab|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,plumbing_systems,architect,"The provisions of this chapter and the Plumbing Code shall govern the erection, installation, alteration, repairs, relocation, replacement, addition to, use or maintenance of plumbing equipment and systems. Toilet and bathing rooms shall be constructed in accordance with Section 1210. Plumbing systems and equipment shall be constructed, installed and maintained in accordance with the Plumbing Code."
2902,Chapter 29 Plumbing Systems,Minimum Plumbing Facilities,,,,none,none,
2902.1,Section 2902 Minimum Plumbing Facilities,Minimum Number of Fixtures,BuildingElementProxy|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Institutional (I),sd|dd|cd,plumbing_systems,architect,"Plumbing fixtures shall be provided in the minimum number as shown in Table 2902.1 based on the actual use of the building or space. Uses not shown in Table 2902.1 shall be considered individually by the code official. The number of occupants shall be determined by this code. [P] TABLE 2902.1 MINIMUM NUMBER OF REQUIRED PLUMBING FIXTURESa (See Sections 2902.1.1 and 2902.2) No. CLASSIFICATION OCCUPANCY DESCRIPTION WATER CLOSETS (URINALS SEE SECTION 419.2 OF THE INTERNATIONAL PLUMBING CODE) LAVATORIES BATHTUBS/ SHOWERS DRINKING FOUNTAINS (SEE SECTION 410 OF THE INTERNATIONAL PLUMBING CODE) OTHER Male Female Male Female 1 Assembly A-1d Theaters and other buildings for the performing arts and motion pictures 1 per 125 1 per 65 1 per 200 — 1 per 500 1 service sink A-2d Nightclubs, bars, taverns, dance halls and buildings for similarpurposes 1 per 40 1 per 40 1 per 75 — 1 per 500 1 service sink Restaurants, banquethalls and food courts 1 per 75 1 per 75 1 per 200 — 1 per 500 1 service sink A-3d Auditoriums withoutpermanent seating, art galleries, exhibition halls, museums, lecturehalls, libraries, arcades and gymnasiums 1 per 125 1 per 65 1 per 200 — 1 per 500 1 service sink Passenger terminals andtransportation facilities 1 per 500 1 per 500 1 per 750 — 1 per 1,000 1 service sink Places of worship and other religious services 1 per 150 1 per 75 1 per 200 — 1 per 1,000 1 service sink A-4 Coliseums, arenas, skating rinks, pools and tennis courts for indoor sporting events andactivities 1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,500 1 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,520 1 per 200 1 per 150 — 1 per 1,000 1 service sink A-5 Stadiums, amusementparks, bleachers and grandstands for outdoor sporting events and activities 1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,500 1 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,520 1 per 200 1 per 150 — 1 per 1,000 1 service sink 2 Business B Buildings for the transaction of business,professional services,other servicesinvolving merchandise, office buildings, banks, lightindustrial and similar uses 1 per 25 for the first 50 and 1 per 50 for the remainder exceeding 50 1 per 40 for the first 80 and 1 per 80 for the remainder exceeding 80 — 1 per 100 1 service sinke 3 Educational E Educational facilities 1 per 50 1 per 50 — 1 per 100 1 service sink 4 Factory and industrial F-1 and F-2 Structures in which occupants are engaged in work fabricating, assemblyor processing of products or materials 1 per 100 1 per 100 See Sec- tion 411 of the Plumbing Code 1 per 400 1 service sink 5 Institutional I-1 Residential care 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink I-2 Hospitals, ambulatorynursing home care recipientb 1 per roomc 1 per roomc 1 per 15 1 per 100 1 service sink Employees, other than residential careb 1 per 25 1 per 35 — 1 per 100 — Visitors, other thanresidential care 1 per 75 1 per 100 — 1 per 500 — I-3 Prisonsb 1 per cell 1 per cell 1 per 15 1 per 100 1 service sink I-3 Reformatories, detention centers and correctional centersb 1 per 15 1 per 15 1 per 15 1 per 100 1 service sink Employeesb 1 per 25 1 per 35 — 1 per 100 — I-4 Adult day care and child day care 1 per 15 1 per 15 1h 1 per 100 1 service sink 6 Mercantile M Retail stores, servicestations, shops, salesrooms,markets and shoppingcenters 1 per 500 1 per 750 — 1 per 1,000 1 service sinke 7 Residential R-1 Hotels, motels,boarding houses (transient) 1 per sleeping unit 1 per sleeping unit 1 per sleeping unit — 1 service sink R-2 Dormitories, fraternities,sororities and boarding houses (not transient) 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink R-2 Apartment house 1 per dwelling unit 1 per dwelling unit 1 per dwelling unit — 1 kitchen sink per dwelling unit; 1 automaticclothes washer connectionper 20 dwelling units R-3 One- and two-familydwellings andlodging houses with five or fewer guest rooms 1 per dwelling unit 1 per 10 1 per dwelling unit — 1 kitchen sink per dwelling unit; 1 automaticclothes washer connectionper dwelling unit R-3 Congregate livingfacilities with 16 or fewer persons 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink R-4 Congregate living facilities with 16 orfewer persons 1 per 10 1 per 10 1 per 8 1 per 100 1 service sink 8 Storage S-1 S-2 Structures for the storage of goods,warehouses, store-houses and freight depots, low and moderate hazard 1 per 100 1 per 100 See Section411 of the Plumbing Code 1 per 1,000 1 service sink a. The fixtures shown are based on one fixture being the minimum required for the number of persons indicated or any fraction of the number of persons indicated. The number of occupants shall be determined by this code. b. Toilet facilities for employees shall be separate from facilities for inmates or care recipients. c. A single-occupant toilet room with one water closet and one lavatory serving not more than two adjacent patient sleeping units shall be permitted, provided that each patient sleeping unit has direct access to the toilet room and provisions for privacy for the toilet room user are provided. d. The occupant load for seasonal outdoor seating and entertainment areas shall be included when determining the minimum number of facilities required. e. For business and mercantile occupancies with an occupant load of 15 or fewer, service sinks shall not be required. h. For child day care occupancies, bathtubs/showers shall not be required."
2902.1.1,Section 2902 Minimum Plumbing Facilities,Fixture Calculations,Slab|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,plumbing_systems,architect,"To determine the occupant load of each sex, the total occupant load shall be divided in half. To determine the required number of fixtures, the fixture ratio or ratios for each fixture type shall be applied to the occupant load of each sex in accordance with Table 2902.1. Fractional numbers resulting from applying the fixture ratios of Table 2902.1 shall be rounded up to the next whole number. For calculations involving multiple occupancies, such fractional numbers for each occupancy shall first be summed and then rounded up to the next whole number. Exception: The total occupant load shall not be required to be divided in half where approved statistical data indicate a distribution of the sexes of other than 50 percent of each sex."
2902.1.2,Section 2902 Minimum Plumbing Facilities,Family or Assisted-Use Toilet and Bath Fixtures,,,,,,Fixtures located within family or assisted-use toilet and bathing rooms required by Section 1109.2.1 are permitted to be included in the number of required fixtures for either the male or female occupants in assembly and mercantile occupancies.
2902.2,Section 2902 Minimum Plumbing Facilities,Separate Facilities,Slab|Wall|Door,Business (B)|Mercantile (M)|Residential (R)|Assembly (A)|Institutional (I),sd|dd|cd,plumbing_systems,architect,"Where plumbing fixtures are required, separate facilities shall be provided for each sex. Exceptions: Separate facilities shall not be required for dwelling units and sleeping units. Separate facilities shall not be required in structures or tenant spaces with a total occupant load, including both employees and customers, of 15 or fewer. Separate facilities shall not be required in mercantile occupancies in which the maximum occupant load is 100 or less. Separate facilities shall not be required in buildings or tenant spaces where single-occupancy gender-neutral public toilet facilities are provided in accordance with Section 2902.4."
2902.2.1,Section 2902 Minimum Plumbing Facilities,Family or Assisted-Use Toilet Facilities Serving as Separate Facilities,,,,,,"Where a building or tenant space requires a separate toilet facility for each sex and each toilet facility is required to have only one water closet, two family or assisted-use toilet facilities shall be permitted to serve as the required separate facilities. Family or assisted-use toilet facilities shall not be required to be identified for exclusive use by either sex as required by Section 2902.4."
2902.3,Section 2902 Minimum Plumbing Facilities,Employee and Public Toilet Facilities,Wall|Door|Slab,Assembly (A)|Business (B)|Mercantile (M)|Utility and Miscellaneous (U),sd|dd|cd,plumbing_systems,architect,"Customers, patrons and visitors shall be provided with public toilet facilities in structures and tenant spaces intended for public utilization. The number of plumbing fixtures located within the required toilet facilities shall be provided in accordance with Section 2902.1 for all users. Employees shall be provided with toilet facilities in all occupancies. Employee toilet facilities shall be either separate or combined employee and public toilet facilities. Exception: Public toilet facilities shall not be required in: Open or enclosed parking garages where there are no parking attendants. Structures and tenant spaces intended for quick transactions, including takeout, pickup and drop-off, having a public access area less than or equal to 300 square feet (28 m2)."
