id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
1,,Scope and Administration,,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),concept|sd|dd|cd,occupancy_classification,architect
divider_1,Chapter 1 Scope and Administration,— Scope and Application,,,,,,
101,Chapter 1 Scope and Administration,General,,,,,,
101.2,Section 101 General,Scope and Intent,"The scope and intent of the Existing Building Code shall be governed by Chapter 1 of the Building Code, Title 12-A DCMR",,,,,
new_101.2,Section 101 General,101.2,"Administration and enforcement of the Existing Building Code shall be governed by Chapter 1 of the Building Code, Title 12-A DCMR.",,,,,
102,Chapter 1 Scope and Administration,Applicability,,,,,none,none
divider_2,Chapter 1 Scope and Administration,— Administration and Enforcement,,,,,,
103,Chapter 1 Scope and Administration,Department of Building Safety,,,,,,
104,Chapter 1 Scope and Administration,Duties and Powers of Code Official,,,,,none,none
105,Chapter 1 Scope and Administration,Permits,,,,,none,none
106,Chapter 1 Scope and Administration,Construction Documents,,,,,none,none
107,Chapter 1 Scope and Administration,Temporary Structures and Uses,,,,,,
108,Chapter 1 Scope and Administration,Fees,,,,,none,none
109,Chapter 1 Scope and Administration,Inspections,,,,,none,none
110,Chapter 1 Scope and Administration,Certificate of Occupancy,,,,,none,none
111,Chapter 1 Scope and Administration,Service Utilities,,,,,none,none
112,Chapter 1 Scope and Administration,Board of Appeals,,,,,,
113,Chapter 1 Scope and Administration,Violations,,,,,none,none
114,Chapter 1 Scope and Administration,Stop Work Order,,,,,none,none
115,Chapter 1 Scope and Administration,Unsafe Buildings and Equipment,,,,,,
116,Chapter 1 Scope and Administration,Emergency Measures,,,,,none,none
117,Chapter 1 Scope and Administration,Demolition,,,,,none,none
