id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
13,,Relocated or Moved Buildings,,,,,,
1301,Chapter 13 Relocated or Moved Buildings,General,,,,,,
1301.1,Section 1301 General,Scope,"This chapter provides requirements for relocated or moved structures, including relocatable buildings as defined in Chapter 2.",,,,,
1301.2,Section 1301 General,Conformance,"The building shall be safe for human occupancy as determined by the International Fire Code and the International Property Maintenance Code. Any repair, alteration, or change of occupancy undertaken within the moved structure shall comply with the requirements of this code applicable to the work being performed. Any field-fabricated elements shall comply with the requirements of the International Building Code or the International Residential Code as applicable.",,,,,
1302,Chapter 13 Relocated or Moved Buildings,Requirements,,,,,,
1302.1,Section 1302 Requirements,Location on the Lot,The building shall be located on the lot in accordance with the requirements of the International Building Code or the International Residential Code as applicable.,,,,,
1302.2,Section 1302 Requirements,Foundation,The foundation system of relocated buildings shall comply with the International Building Code or the International Residential Code as applicable.,,,,,
1302.2.1,Section 1302 Requirements,Connection to the Foundation,The connection of the relocated building to the foundation shall comply with the International Building Code or the International Residential Code as applicable.,,,,,
1302.3,Section 1302 Requirements,Wind Loads,Buildings shall comply with International Building Code or International Residential Code wind provisions as applicable. Exceptions: Detached one- and two-family dwellings and Group U occupancies where wind loads at the new location are not higher than those at the previous location. Structural elements whose stress is not increased by more than 10 percent.,,,,,
1302.4,Section 1302 Requirements,Seismic Loads,"Buildings shall comply with International Building Code or International Residential Code seismic provisions at the new location as applicable. Exceptions: Structures in Seismic Design Categories A and B and detached one- and two-family dwellings in Seismic Design Categories A, B and C where the seismic loads at the new location are not higher than those at the previous location. Structural elements whose stress is not increased by more than 10 percent.",,,,,
1302.5,Section 1302 Requirements,Snow Loads,Structures shall comply with International Building Code or International Residential Code snow loads as applicable where snow loads at the new location are higher than those at the previous location. Exception: Structural elements whose stress is not increased by more than 5 percent.,,,,,
1302.6,Section 1302 Requirements,Flood Hazard Areas,"If relocated or moved into a flood hazard area, structures shall comply with Section 1612 of the International Building Code, or Section R322 of the International Residential Code, as applicable.",,,,,
1302.7,Section 1302 Requirements,Required Inspection and Repairs,"The code official shall be authorized to inspect, or to require approved professionals to inspect at the expense of the owner, the various structural parts of a relocated building to verify that structural components and connections have not sustained structural damage. Any repairs required by the code official as a result of such inspection shall be made prior to the final approval.",,,,,
