id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
4,,Prescriptive Compliance Methods,,,,,,
401,Chapter 4 Prescriptive Compliance Methods,General,,,,,,
401.1,Section 401 General,Scope,"The provisions of this chapter shall control the alteration, repair, addition and change of occupancy or relocation of existing buildings and structures, including historic buildings and structures as referenced in Section 301.1.1. Exception: Existing bleachers, grandstands and folding and telescopic seating shall comply with ICC 300.",,,,,
401.1.1,Section 401 General,Compliance With Other Methods,"Alterations, repairs, additions and changes of occupancy to or relocation of, existing buildings and structures shall comply with the provisions of this chapter or with one of the methods provided in Section 301.1.",,,,,
401.2,Section 401 General,Building Materials and Systems,Building materials and systems shall comply with the requirements of this section.,,,,,
401.2.1,Section 401 General,Existing Materials,Materials already in use in a building in compliance with requirements or approvals in effect at the time of their erection or installation shall be permitted to remain in use unless determined by the building official to be unsafe per Section 115.,,,,,
401.2.2,Section 401 General,New and Replacement Materials,"Except as otherwise required or permitted by this code, materials permitted by the applicable code for new construction shall be used. Like materials shall be permitted for repairs and alterations, provided no hazard to life, health or property is created. Hazardous materials shall not be used where the code for new construction would not permit their use in buildings of similar occupancy, purpose and location.",,,,,
401.2.3,Section 401 General,Existing Seismic Force-Resisting Systems,"Where the existing seismic force-resisting system is a type that can be designated ordinary, values of R, Ω0 and Cd for the existing seismic force-resisting system shall be those specified by the International Building Code for an ordinary system unless it is demonstrated that the existing system will provide performance equivalent to that of a detailed, intermediate or special system.",,,,,
401.3,Section 401 General,Dangerous Conditions,The building official shall have the authority to require the elimination of conditions deemed dangerous.,,,,,
402,Chapter 4 Prescriptive Compliance Methods,Additions,,,,,,
402.1,Section 402 Additions,General,Additions to any building or structure shall comply with the requirements of the International Building Code for new construction. Alterations to the existing building or structure shall be made to ensure that the existing building or structure together with the addition are no less conforming to the provisions of the International Building Code than the existing building or structure was prior to the addition. An existing building together with its additions shall comply with the height and area provisions of Chapter 5 of the International Building Code.,,,,,
402.2,Section 402 Additions,Flood Hazard Areas,"For buildings and structures in flood hazard areas established in Section 1612.3 of the International Building Code, or Section R322 of the International Residential Code, as applicable, any addition that constitutes substantial improvement of the existing structure shall comply with the flood design requirements for new construction, and all aspects of the existing structure shall be brought into compliance with the requirements for new construction for flood design. For buildings and structures in flood hazard areas established in Section 1612.3 of the International Building Code, or Section R322 of the International Residential Code, as applicable, any additions that do not constitute substantial improvement of the existing structure are not required to comply with the flood design requirements for new construction.",,,,,
