id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
5,,Classification of Work,,,,,,
501,Chapter 5 Classification of Work,General,,,,,,
501.1,Section 501 General,Scope,"The provisions of this chapter shall be used in conjunction with Chapters 6 through 13 and shall apply to the alteration, repair, addition and change of occupancy of existing structures, including historic and moved structures, as referenced in Section 301.1.2. The work performed on an existing building shall be classified in accordance with this chapter.",,,,,
501.1.1,Section 501 General,Compliance With Other Alternatives,"Alterations, repairs, additions and changes of occupancy to existing structures shall comply with the provisions of Chapters 6 through 13 or with one of the alternatives provided in Section 301.1.",,,,,
501.2,Section 501 General,Work Area,"The work area, as defined in Chapter 2, shall be identified on the construction documents.",,,,,
502,Chapter 5 Classification of Work,Repairs,,,,,,
502.1,Section 502 Repairs,Scope,"Repairs, as defined in Chapter 2, include the patching or restoration or replacement of damaged materials, elements, equipment or fixtures for the purpose of maintaining such components in good or sound condition with respect to existing loads or performance requirements.",,,,,
502.2,Section 502 Repairs,Application,Repairs shall comply with the provisions of Chapter 6.,,,,,
502.3,Section 502 Repairs,Related Work,"Work on nondamaged components that is necessary for the required repair of damaged components shall be considered part of the repair and shall not be subject to the provisions of Chapter 7, 8, 9, 10 or 11.",,,,,
503,Chapter 5 Classification of Work,Alteration—Level 1,,,,,,
503.1,Section 503 Alteration—Level 1,Scope,"Level 1 alterations include the removal and replacement or the covering of existing materials, elements, equipment, or fixtures using new materials, elements, equipment, or fixtures that serve the same purpose.",,,,,
503.2,Section 503 Alteration—Level 1,Application,Level 1 alterations shall comply with the provisions of Chapter 7.,,,,,
504,Chapter 5 Classification of Work,Alteration—Level 2,,,,,,
504.1,Section 504 Alteration—Level 2,Scope,"Level 2 alterations include the reconfiguration of space, the addition or elimination of any door or window, the reconfiguration or extension of any system, or the installation of any additional equipment.",,,,,
504.2,Section 504 Alteration—Level 2,Application,Level 2 alterations shall comply with the provisions of Chapter 7 for Level 1 alterations as well as the provisions of Chapter 8.,,,,,
505,Chapter 5 Classification of Work,Alteration—Level 3,,,,,,
505.1,Section 505 Alteration—Level 3,Scope,Level 3 alterations apply where the work area exceeds 50 percent of the building area.,,,,,
505.2,Section 505 Alteration—Level 3,Application,"Level 3 alterations shall comply with the provisions of Chapters 7 and 8 for Level 1 and 2 alterations, respectively, as well as the provisions of Chapter 9.",,,,,
506,Chapter 5 Classification of Work,Change of Occupancy,,,,,,
506.1,Section 506 Change of Occupancy,Scope,Change of occupancy provisions apply where the activity is classified as a change of occupancy as defined in Chapter 2.,,,,,
506.2,Section 506 Change of Occupancy,Application,Changes of occupancy shall comply with the provisions of Chapter 10.,,,,,
507,Chapter 5 Classification of Work,Additions,,,,,,
507.1,Section 507 Additions,Scope,Provisions for additions shall apply where work is classified as an addition as defined in Chapter 2.,,,,,
507.2,Section 507 Additions,Application,Additions to existing buildings shall comply with the provisions of Chapter 11.,,,,,
508,Chapter 5 Classification of Work,Historic Buildings,,,,,,
508.1,Section 508 Historic Buildings,Scope,Historic building provisions shall apply to buildings classified as historic as defined in Chapter 2.,,,,,
508.2,Section 508 Historic Buildings,Application,"Except as specifically provided for in Chapter 12, historic buildings shall comply with applicable provisions of this code for the type of work being performed.",,,,,
509,Chapter 5 Classification of Work,Relocated Buildings,,,,,,
509.1,Section 509 Relocated Buildings,Scope,Relocated building provisions shall apply to relocated or moved buildings.,,,,,
509.2,Section 509 Relocated Buildings,Application,Relocated buildings shall comply with the provisions of Chapter 13.,,,,,
