id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
9,,Alterations - Level 3,,,,,,
901,Chapter 9 Alterations - Level 3,General,,,,none,none,
901.1,Section 901 General,Scope,Wall|Door|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Level 3 alterations as described in Section 505 shall comply with the requirements of this chapter.
901.2,Section 901 General,Compliance,Wall|Door|Stair|Ramp|Slab,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,means_of_egress,architect,"In addition to the provisions of this chapter, work shall comply with all of the requirements of Chapters 7 and 8. The requirements of Sections 803, 804 and 805 shall apply within all work areas whether or not they include exits and corridors shared by more than one tenant and regardless of the occupant load. Exception: Buildings in which the reconfiguration of space affecting exits or shared egress access is exclusively the result of compliance with the accessibility requirements of Section 705.2 shall not be required to comply with this chapter."
902,Chapter 9 Alterations - Level 3,Special Use and Occupancy,,,,none,none,
902.1,Section 902 Special Use and Occupancy,High-Rise Buildings,BuildingElementProxy|Stair|Elevator|Ramp|Roof,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,building_height_area_limits,architect,"Any building having occupied floors more than 75 feet (22 860 mm) above the lowest level of fire department vehicle access shall comply with the requirements of Sections 902.1.1 and 902.1.2. Exception: Existing high-rise buildings that are stripped of all systems and interior walls in all areas other than those used as a parking garage (open or enclosed), leaving no more than the structure, shaft walls and the exterior envelope assemblies, shall be rebuilt in full compliance with Section 403 of the Building Code."
902.1.1,Section 902 Special Use and Occupancy,Recirculating Air or Exhaust Systems,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),dd|cd,mechanical_systems,mechanical_engineer,"When a floor is served by a recirculating air or exhaust system with a capacity greater than 15,000 cubic feet per minute (701 m3/s), that system shall be equipped with approved smoke and heat detection devices installed in accordance with the International Mechanical Code."
902.1.2,Section 902 Special Use and Occupancy,Elevators,Elevator,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,elevators_conveying_systems,elevator_consultant,"Where there is an elevator or elevators for public use, at least one elevator serving the work area shall comply with this section. Existing elevators with a travel distance of 25 feet (7620 mm) or more above or below the main floor or other level of a building and intended to serve the needs of emergency personnel for fire-fighting or rescue purposes shall be provided with emergency operation in accordance with ASME A17.3. New elevators shall be provided with Phase I emergency recall operation and Phase II emergency in-car operation in accordance with ASME A17.1/CSAB44.1."
902.2,Section 902 Special Use and Occupancy,Boiler and Furnace Equipment Rooms,,,,,,"Boiler and furnace equipment rooms adjacent to or within Groups I-1, I-2, I-4, R-1, R-2 and R-4 occupancies shall be enclosed by 1-hour fire-resistance-rated construction. Exceptions: Steam boiler equipment operating at pressures of 15 pounds per square inch gauge (psig) (103.4 KPa) or less is not required to be enclosed. Hot water boilers operating at pressures of 170 psig (1171 KPa) or less are not required to be enclosed. Furnace and boiler equipment with 400,000 British thermal units (Btu) (4.22 × 108 J) per hour input rating or less is not required to be enclosed. Furnace rooms protected with an automatic sprinkler system are not required to be enclosed."
903,Chapter 9 Alterations - Level 3,Building Elements and Materials,,,,none,none,
903.1,Section 903 Building Elements and Materials,Existing Shafts and Vertical Openings,Stair|Wall|Door,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,"Existing stairways that are part of the means of egress shall be enclosed in accordance with Section 803.2.1 from the highest work area floor to, and including, the level of exit discharge and all floors below."
903.2,Section 903 Building Elements and Materials,Fire Partitions in Group R-3,Wall|Slab|Door,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,Fire separation in Group R-3 occupancies shall be in accordance with Section 903.2.1.
903.2.1,Section 903 Building Elements and Materials,Separation Required,Wall,Residential (R),sd|dd|cd,fire_resistance_smoke_protection,architect,"Where the work area is in any attached dwelling unit in Group R-3 or any multiple single-family dwelling (townhouse), walls separating the dwelling units that are not continuous from the foundation to the underside of the roof sheathing shall be constructed to provide a continuous fire separation using construction materials consistent with the existing wall or complying with the requirements for new structures. All work shall be performed on the side of the dwelling unit wall that is part of the work area. Exception: Where alterations or repairs do not result in the removal of wall or ceiling finishes exposing the structure, walls are not required to be continuous through concealed floor spaces."
903.3,Section 903 Building Elements and Materials,Interior Finish,Wall|Door|Stair|StairFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Institutional (I),sd|dd|cd,finishes_materials,architect,Interior finish in exits serving the work area shall comply with Section 803.4 between the highest floor on which there is a work area to the floor of exit discharge.
new_903.4,Section 903 Building Elements and Materials,Air-Borne Sound,,,,,,"Walls, partitions and floor/ceiling assemblies separating dwelling units and sleeping units from each other or from public or service areas shall have a sound transmission class (STC) of not less than 50 (45 if field tested) for air-borne noise when tested in accordance with ASTM E 90. Walls, partitions and floor/ceiling assemblies separating Group A-2 occupancies from dwelling units shall have a sound transmission class (STC) of not less than 55 and shall be field tested in accordance with ASTM E 90 to achieve a rating of not less than 50 for air-borne noise. The following shall be sealed, lined, insulated or otherwise treated to maintain the required ratings: penetrations or openings in construction assemblies for piping; electrical devices; recessed cabinets; bathtubs; soffits; or heating, ventilating or exhaust ducts. This requirement shall not apply to dwelling unit and sleeping unit entrance doors; however, such doors shall be tight fitting to the frame and sill. Exception: Group A-2 occupancies that do not utilize amplified music as part of their use shall be exempt from these provisions."
904,Chapter 9 Alterations - Level 3,Fire Protection,,,,none,none,
904.1,Section 904 Fire Protection,Automatic Sprinkler Systems,BuildingElementProxy|Slab|Wall,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,An automatic sprinkler system shall be provided in a work area where required by Section 804.2 or this section.
904.1.1,Section 904 Fire Protection,High-Rise Buildings,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|High Hazard (H),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"An automatic sprinkler system shall be provided in work areas in accordance with Section 903 of the Building Code, as provided for in Sections 904.1.1.1 through 904.1.1.3."
new_904.1.1.1,Section 904 Fire Protection,904.1.1.1,,,,,,"Where Level 3 work areas occur on 75 percent or more of the building floors, excluding mechanical, parking and non-occupiable levels, automatic sprinkler protection shall be provided throughout the entire building in accordance with Section 903 of the Building Code."
new_904.1.1.2,Section 904 Fire Protection,904.1.1.2,,,,,,"Where an automatic sprinkler system with sprinkler control valves and water flow devices is provided for each floor throughout the building in accordance with Section 903 of the Building Code, modifications to the minimum type of construction and fire resistance rating requirements of the Construction Codes are permitted as described in Section 403.2 of the Building Code."
new_904.1.1.3,Section 904 Fire Protection,Additional Requirements for Alterations to 100% Percent of Floors,,,,,,"Where Level 3 alteration work areas occur on all floors, excluding mechanical, parking and non-occupiable levels, the building shall comply with the following additional requirements: Emergency voice/alarm communication systems. Provide an emergency voice/alarm communication system in accordance with Section 403.4.4 of the Building Code. Emergency responder radio coverage. Provide a two-way fire department communications system in accordance with Section 403.4.5 of the Building Code. Fire command center. Provide a fire command center in accordance with Sections 403.4.6 and 911.1 of the Building Code. Exception: Where any of the following features does not exist in the building or cannot be readily provided as part of a Level 3 alteration, such feature is not required to be added for compliance with the fire command center requirements of Sections 403.4.6 and 911.1 of the Building Code: Annunciator unit visually indicating the location of the elevators and whether they are operational; or Status indicators and controls for air-handling systems; or Emergency and standby power status indicators. Standby power and emergency power systems. Provide standby power and emergency power systems in accordance with Section 403.4.8 of the Building Code."
904.1.2,Section 904 Fire Protection,Rubbish and Linen Chutes,BuildingElementProxy|Chimney,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Rubbish and linen chutes located in the work area shall be provided with automatic sprinkler system protection or an approved automatic fire-extinguishing system where protection of the rubbish and linen chute would be required under the provisions of the International Building Code for new construction.
904.1.3,Section 904 Fire Protection,Upholstered Furniture or Mattresses,BuildingElementProxy,Factory and Industrial (F)|Mercantile (M)|Storage (S),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Work areas shall be provided with an automatic sprinkler system in accordance with the International Building Code where any of the following conditions exist: A Group F-1 occupancy used for the manufacture of upholstered furniture or mattresses exceeds 2,500 square feet (232 m2). A Group M occupancy used for the display and sale of upholstered furniture or mattresses exceeds 5,000 square feet (464 m2). A Group S-1 occupancy used for the storage of upholstered furniture or mattresses exceeds 2,500 square feet (232 m2)."
new_904.1.4,Section 904 Fire Protection,Group R-3 and Residential Code Buildings,,,,,,"An automatic sprinkler system shall be provided in all buildings with Group R-3 occupancies and in all buildings subject to the Residential Code. Exceptions: An automatic sprinkler system shall not be required in Group R-3 occupancies under the jurisdiction of the Building Code where the existing water service cannot provide adequate flow and pressure without the installation of a tank or pump, unless the water service is otherwise being replaced. An automatic sprinkler system shall not be required for buildings under the jurisdiction of the Residential Code where the existing water service cannot provide adequate flow and pressure without the installation of a tank or pump, unless the water service is otherwise being replaced."
904.2,Section 904 Fire Protection,Fire Alarm and Detection Systems,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,Fire alarm and detection shall be provided in accordance with Section 907 of the International Building Code as required for new construction.
904.2.1,Section 904 Fire Protection,Manual Fire Alarm Systems,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Where required by the International Building Code, a manual fire alarm system shall be provided throughout the work area. Alarm notification appliances shall be provided on such floors and shall be automatically activated as required by the International Building Code. Exceptions: Alarm-initiating and notification appliances shall not be required to be installed in tenant spaces outside of the work area. Visual alarm notification appliances are not required, except where an existing alarm system is upgraded or replaced or where a new fire alarm system is installed."
904.2.2,Section 904 Fire Protection,Automatic Fire Detection,Wall|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Institutional (I)|Residential (R),sd|dd|cd,fire_protection_alarm_systems,fire_protection_engineer,"Where required by the International Building Code for new buildings, automatic fire detection systems shall be provided throughout the work area."
905,Chapter 9 Alterations - Level 3,Means of Egress,,,,none,none,
905.1,Section 905 Means of Egress,General,Door|Stair|Ramp|RampFlight|Slab,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,means_of_egress,architect,The means of egress shall comply with the requirements of Section 805 except as specifically required in Sections 905.2 and 905.3.
