id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
1,,Scope and Administration,,BuildingElementProxy,Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect
divider_1,Chapter 1 Scope and Administration,— Scope and Application,,,,,,
R101,Chapter 1 Scope and Administration,General,,,,,,
new_R101.1,Chapter 1 Scope and Administration,Scope and Intent,"The scope and intent of the Residential Code shall be governed by Chapter 1 of the Building Code, Title 12-A DCMR.",,,,,
new_R101.2,Chapter 1 Scope and Administration,Administration and Enforcement,"Administration and enforcement of the Residential Code shall be governed by Chapter 1 of the Building Code, Title 12-A DCMR.",,,,,
R102,Chapter 1 Scope and Administration,Applicability,,,,,none,none
divider_2,Chapter 1 Scope and Administration,— Administration and Enforcement,,,,,,
R103,Chapter 1 Scope and Administration,Department of Building Safety,,,,,,
R104,Chapter 1 Scope and Administration,Duties and Powers of the Building Official,,,,,none,none
R105,Chapter 1 Scope and Administration,Permits,,,,,none,none
R106,Chapter 1 Scope and Administration,Construction Documents,,,,,none,none
R107,Chapter 1 Scope and Administration,Temporary Structures and Uses,,,,,none,none
R108,Chapter 1 Scope and Administration,Fees,,,,,none,none
R109,Chapter 1 Scope and Administration,Inspections,,,,,none,none
R110,Chapter 1 Scope and Administration,Certificate of Occupancy,,,,,none,none
R111,Chapter 1 Scope and Administration,Service Utilities,,,,,none,none
R112,Chapter 1 Scope and Administration,Board of Appeals,,,,,,
R113,Chapter 1 Scope and Administration,Violations,,,,,none,none
R114,Chapter 1 Scope and Administration,Stop Work Order,,,,,none,none
