id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
19,,"Special Appliances, Equipment and Systems",User note: Code change proposals to this chapter will be considered by the IRC- Plumbing and Mechanical Code Development Committee during the 2015 (Group A) Code Development Cycle. See explanation on page iv.,,,,,
M1901,"Chapter 19 Special Appliances, Equipment and Systems",Ranges and Ovens,,,,,,
M1901.1,"Chapter 19 Special Appliances, Equipment and Systems",Clearances,Freestanding or built-in ranges shall have a vertical clearance above the cooking top of not less than 30 inches (762 mm) to unprotected combustible material. Reduced clearances are permitted in accordance with the listing and labeling of the range hoods or appliances. The installation of a listed and labeled cooking appliance or microwave oven over a listed and labeled cooking appliance shall be in accordance with Section M1504.1. The clearances for a domestic open-top broiler unit shall be in accordance with Section M1505.1.,,,,,
M1901.2,"Chapter 19 Special Appliances, Equipment and Systems",Cooking Appliances,Cooking appliances shall be listed and labeled for household use and shall be installed in accordance with the manufacturer's instructions. The installation shall not interfere with combustion air or access for operation and servicing. Electric cooking appliances shall comply with UL 1026 or UL 858. Solid-fuel-fired fireplace stoves shall comply with UL 737.,,,,,
M1902,"Chapter 19 Special Appliances, Equipment and Systems",Sauna Heaters,,,,,,
M1902.1,"Chapter 19 Special Appliances, Equipment and Systems",Locations and Protection,"Sauna heaters shall be protected from accidental contact by persons with a guard of material having a low thermal conductivity, such as wood. The guard shall not have a substantial effect on the transfer of heat from the heater to the room.",,,,,
M1902.2,"Chapter 19 Special Appliances, Equipment and Systems",Installation,Sauna heaters shall be installed in accordance with the manufacturer's instructions. Sauna heaters shall comply with UL 875.,,,,,
M1902.3,"Chapter 19 Special Appliances, Equipment and Systems",Combustion Air,"Combustion air and venting for a nondirect vent-type heater shall be provided in accordance with Chapters 17 and 18, respectively.",,,,,
M1902.4,"Chapter 19 Special Appliances, Equipment and Systems",Controls,"Sauna heaters shall be equipped with a thermostat that will limit room temperature to not greater than 194°F (90°C). Where the thermostat is not an integral part of the heater, the heat-sensing element shall be located within 6 inches (152 mm) of the ceiling.",,,,,
M1903,"Chapter 19 Special Appliances, Equipment and Systems",Stationary Fuel Cell Power Plants,,,,,,
M1903.1,"Chapter 19 Special Appliances, Equipment and Systems",General,"Stationary fuel cell power plants having a power output not exceeding 1,000 kW, shall comply with ANSI/CSA America FC 1 and shall be installed in accordance with the manufacturer's instructions and NFPA 853.",,,,,
M1904,"Chapter 19 Special Appliances, Equipment and Systems",Gaseous Hydrogen Systems,,,,,,
M1904.1,"Chapter 19 Special Appliances, Equipment and Systems",Installation,"Gaseous hydrogen systems shall be installed in accordance with the applicable requirements of Sections M1307.4 and M1903.1 and the International Fuel Gas Code, the International Fire Code and the International Building Code.",,,,,
