id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
3,,Building Planning,,Wall|Door|Slab|Stair|Window,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,site_planning,architect
R301,Chapter 3 Building Planning,Design Criteria,,,,,none,none
R301.1,Chapter 3 Building Planning,Application,"Buildings and structures, and parts thereof, shall be constructed to safely support all loads, including dead loads, live loads, roof loads, flood loads, snow loads, wind loads and seismic loads as prescribed by this code. The construction of buildings and structures in accordance with the provisions of this code shall result in a system that provides a complete load path that meets the requirements for the transfer of loads from their point of origin through the load-resisting elements to the foundation. Buildings and structures constructed as prescribed by this code are deemed to comply with the requirements of this section.",Wall|Column|Beam|Slab|Footing,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,structural_design,structural_engineer
R301.1.1,Chapter 3 Building Planning,Alternative Provisions,"As an alternative to the requirements in Section R301.1, the following standards are permitted subject to the limitations of this code and the limitations therein. Where engineered design is used in conjunction with these standards, the design shall comply with the International Building Code. AF&amp;PA; Wood Frame Construction Manual (WFCM). AISI Standard for Cold-Formed Steel Framing—Prescriptive Method for One- and Two-Family Dwellings (AISI S230). ICC Standard on the Design and Construction of Log Structures (ICC 400).",Wall|Slab|Roof|Column,Residential (R),sd|dd|cd,structural_design,structural_engineer
R301.1.2,Chapter 3 Building Planning,Construction Systems,"The requirements of this code are based on platform and balloon-frame construction for light-frame buildings. The requirements for concrete and masonry buildings are based on a balloon framing system. Other framing systems must have equivalent detailing to ensure force transfer, continuity and compatible deformations.",Wall|Beam|Column,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R301.1.3,Chapter 3 Building Planning,Engineered Design,"Where a building of otherwise conventional construction contains structural elements exceeding the limits of Section R301 or otherwise not conforming to this code, these elements shall be designed in accordance with accepted engineering practice. The extent of such design need only demonstrate compliance of nonconventional elements with other applicable provisions and shall be compatible with the performance of the conventional framed system. Engineered design in accordance with the International Building Code is permitted for buildings and structures, and parts thereof, included in the scope of this code.",Wall|Beam|Column|Slab|Roof,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Storage (S),sd|dd|cd,structural_design,structural_engineer
R301.2,Chapter 3 Building Planning,Climatic and Geographic Design Criteria,"Buildings shall be constructed in accordance with the provisions of this code as limited by the provisions of this section. Additional criteria shall be established by the local jurisdiction and set forth in Table R301.2(1). TABLE R301.2(1)CLIMATIC AND GEOGRAPHIC DESIGN CRITERIA GROUND SNOW LOAD WIND DESIGN SEISMIC DESIGN CATEGORYf SUBJECT TO DAMAGE FROM WINTER DESIGN TEMPe ICE BARRIER UNDERLAYMENT REQUIREDh FLOOD HAZARDSg AIR FREEZING INDEXi MEAN ANNUAL TEMPj Speedd (mph) Topographic effectsk Weatheringa Frost line depthb Termitec 30 115 NotApplicable(NA) A Severe 30 M-H 17 YES November 15, 1985. November 15, 1985; September 27, 2010. All current FIRMs dated 09/27/2010; Panel numbers 110001IND0A, 1100010002C, 1100010003C, 1100010004C, 1100010006C, 1100010008C, 1100010011C, 1100010012C, 1100010014C, 1100010016C, 1100010018C, 1100010019C, 1100010036C, 1100010037C, 1100010038C, 1100010039C, 1100010041C, 1100010043C, 1100010056C, 1100010057C, 1100010058C, 1100010059C, 1100010066C, 1100010067C, 1100010076C, 1100010077C and 1100010078C. 500 55 For SI: 1 pound per square foot = 0.0479 kPa, 1 mile per hour = 0.447 m/s. Weathering may require a higher strength concrete or grade of masonry than necessary to satisfy the structural requirements of this code. The weathering column shall be filled in with the weathering index (i.e., ""negligible,"" ""moderate"" or ""severe"") for concrete as determined from the Weathering Probability Map [Figure R301.2(3)]. The grade of masonry units shall be determined from ASTM C 34, C 55, C 62, C 73, C 90, C 129, C 145, C 216 or C 652. The frost line depth may require deeper footings than indicated in Figure R403.1(1). The jurisdiction shall fill in the frost line depth column with the minimum depth of footing below finish grade. The jurisdiction shall fill in this part of the table to indicate the need for protection depending on whether there has been a history of local subterranean termite damage. The jurisdiction shall fill in this part of the table with the wind speed from the basic wind speed map [Figure R301.2(4)A]. Wind exposure category shall be determined on a site-specific basis in accordance with Section R301.2.1.4. The outdoor design dry-bulb temperature shall be selected from the columns of 971/2-percent values for winter from Appendix D of the International Plumbing Code. Deviations from the Appendix D temperatures shall be permitted to reflect local climates or local weather experience as determined by the building official. The jurisdiction shall fill in this part of the table with the seismic design category determined from Section R301.2.2.1. The jurisdiction shall fill in this part of the table with (a) the date of the jurisdiction's entry into the National Flood Insurance Program (date of adoption of the first code or ordinance for management of flood hazard areas), (b) the date(s) of the Flood Insurance Study and (c) the panel numbers and dates of all currently effective FIRMs and FBFMs or other flood hazard map adopted by the authority having jurisdiction, as amended. In accordance with Sections R905.2.7.1, R905.4.3.1, R905.5.3.1, R905.6.3.1, R905.7.3.1 and R905.8.3.1, where there has been a history of local damage from the effects of ice damming, the jurisdiction shall fill in this part of the table with ""YES."" Otherwise, the jurisdiction shall fill in this part of the table with ""NO."" The jurisdiction shall fill in this part of the table with the 100-year return period air freezing index (BF-days) from Figure R403.3(2) or from the 100-year (99 percent) value on the National Climatic Data Center data table ""Air Freezing Index-USA Method (Base 32°F)"" at www.ncdc.noaa.gov/fpsf.html. The jurisdiction shall fill in this part of the table with the mean annual temperature from the National Climatic Data Center data table ""Air Freezing Index-USA Method (Base 32°F)"" at www.ncdc.noaa.gov/fpsf.html. In accordance with Section R301.2.1.5, where there is local historical data documenting structural damage to buildings due to topographic wind speed-up effects, the jurisdiction shall fill in this part of the table with ""YES."" Otherwise, the jurisdiction shall indicate ""NO"" in this part of the table. TABLE R301.2(2)COMPONENT AND CLADDING LOADS FOR A BUILDING WITH A MEAN ROOF HEIGHT OF 30 FEET LOCATED IN EXPOSURE B (ASD) (psf)a, b, c, d, e ZONE EFFECTIVE WIND AREA (feet2) ULTIMATE DESIGN WIND SPEED, VULT (mph) 110 115 120 130 140 150 160 170 180 Roof 0 to 7 degrees 1 10 10.0 -13.1 10.0 -14.3 10.0 -15.5 10.0 -18.2 10.0 -21.2 9.9 -24.3 11.2 -27.7 12.6 -31.2 14.2 -35.0 1 20 10.0 -12.7 10.0 -13.9 10.0 -15.1 10.0 -17.8 10.0 -20.6 9.2 -23.6 10.6 -26.9 11.9 -30.3 13.3 -34.1 1 50 10.0 -12.3 10.0 -13.4 10.0 -14.6 10.0 -17.2 10.0 -19.9 8.5 -22.9 10.0 -26.0 10.8 -29.4 12.2 -32.9 1 100 10.0 -11.9 10.0 -13.1 10.0 -14.2 10.0 -16.7 10.0 -19.4 7.8 -22.2 10.0 -25.3 10.0 -28.5 11.3 -32.0 2 10 10.0 -21.9 10.0 -23.9 10.0 -26.1 10.0 -30.6 10.0 -35.5 9.9 -40.7 11.2 -46.4 12.6 -52.4 14.2 -58.7 2 20 10.0 -19.6 10.0 -21.4 10.0 -23.3 10.0 -27.4 10.0 -31.7 9.2 -36.4 10.6 -41.4 11.9 -46.7 13.3 -52.4 2 50 10.0 -16.5 10.0 -18.1 10.0 -19.6 10.0 -23.0 10.0 -26.7 8.5 -30.7 10.0 -34.9 10.8 -39.4 12.2 -44.1 2 100 10.0 -14.2 10.0 -15.5 10.0 -16.9 10.0 -19.8 10.0 -22.9 7.8 -26.3 10.0 -30.0 10.0 -33.8 11.3 -37.9 3 10 10.0 -33.0 10.0 -36.1 10.0 -39.2 10.0 -46.1 10.0 -53.4 9.9 -61.3 11.2 -69.8 12.6 -78.8 14.2 -88.3 3 20 10.0 -27.3 10.0 -29.9 10.0 -32.5 10.0 -38.2 10.0 -44.3 9.2 -50.8 10.6 -57.8 11.9 -65.3 13.3 -73.1 3 50 10.0 -19.9 10.0 -21.7 10.0 -23.6 10.0 -27.7 10.0 -32.1 8.5 -36.9 10.0 -41.9 10.8 -47.3 12.2 -53.1 3 100 10.0 -14.2 10.0 -15.5 10.0 -16.9 10.0 -19.8 10.0 -22.9 7.8 -26.3 10.0 -30.0 10.0 -33.8 11.3 -37.9 Roof &gt; 7 to 27 degrees 1 10 10.0 -11.9 10.0 -13.1 10.0 -14.2 10.5 -16.7 12.2 -19.4 14.0 -22.2 15.9 -25.3 17.9 -28.5 20.2 -32.0 1 20 10.0 -11.6 10.0 -12.7 10.0 -13.8 10.0 -16.2 11.1 -18.8 12.8 -21.6 14.5 -24.6 16.4 -27.7 18.4 -31.1 1 50 10.0 -11.2 10.0 -12.2 10.0 -13.3 10.0 -15.6 10.0 -18.1 11.1 -20.8 12.7 -23.6 14.3 -26.7 16.0 -29.9 1 100 10.0 -10.9 10.0 -11.9 10.0 -12.9 10.0 -15.1 10.0 -17.6 9.9 -20.2 11.2 -22.9 12.6 -25.9 14.2 -29.0 2 10 10.0 -20.8 10.0 -22.7 10.0 -24.8 10.5 -29.3 12.2 -33.7 14.0 -38.7 15.9 -44.4 17.9 -49.7 20.2 -55.8 2 20 10.0 -19.1 10.0 -20.9 10.0 -22.8 10.0 -26.8 11.1 -31.0 12.8 -35.6 14.5 -40.5 16.4 -45.8 18.4 -51.2 2 50 10.0 -16.9 10.0 -18.5 10.0 -20.2 10.0 -23.6 10.0 -27.4 11.1 -31.5 12.7 -35.8 14.3 -40.5 16.0 -45.4 2 100 10.0 -15.3 10.0 -16.7 10.0 -18.2 10.0 -21.4 10.0 -24.7 9.9 -28.4 11.2 -32.3 12.6 -36.5 14.2 -40.9 3 10 10.0 -30.8 10.0 -33.6 10.0 -36.6 10.5 -43.0 12.2 -49.9 14.0 -57.2 15.9 -65.1 17.9 -73.5 20.2 -82.4 3 20 10.0 -28.7 10.0 -31.4 10.0 -34.3 10.0 -40.2 11.1 -46.6 12.8 -53.5 14.5 -60.8 16.4 -68.8 18.4 -77.0 3 50 10.0 -26.1 10.0 -28.6 10.0 -31.1 10.0 -36.5 10.0 -42.3 11.1 -48.6 12.7 -55.3 14.3 -62.4 16.0 -69.9 3 100 10.0 -24.1 10.0 -26.4 10.0 -28.7 10.0 -33.7 10.0 -39.1 9.9 -44.9 11.2 -51.1 12.6 -57.7 14.2 -64.6 Roof &gt; 27 to 45 degrees 1 10 11.9 -13.1 13.1 -14.3 14.2 -15.5 16.7 -18.2 19.4 -21.2 22.2 -24.3 25.3 -27.7 28.5 -31.2 32.0 -35.0 1 20 11.6 -12.4 12.7 -13.6 13.8 -14.8 16.2 -17.3 18.8 -20.1 21.6 -23.0 24.6 -26.9 27.7 -29.6 31.1 -33.2 1 50 11.2 -11.5 12.2 -12.6 13.3 -13.7 15.6 -16.1 18.1 -18.7 20.8 -21.4 23.6 -24.4 26.7 -27.5 29.9 -30.8 1 100 10.9 -10.9 11.9 -11.9 12.9 -12.9 15.1 -15.1 17.6 -17.6 20.2 -20.2 22.9 -22.9 25.9 -25.9 29.0 -29.0 2 10 11.9 -15.3 13.1 -16.7 14.2 -18.2 16.7 -21.4 19.4 -24.7 22.2 -28.4 25.3 -32.3 28.5 -36.5 32.0 -40.9 2 20 11.6 -14.6 12.7 -16.0 13.8 -17.4 16.2 -20.4 18.8 -23.6 21.6 -27.2 24.6 -30.9 27.7 -34.9 31.1 -39.1 2 50 11.2 -13.7 12.2 -15.0 13.3 -16.3 15.6 -19.2 18.1 -22.3 20.8 -25.5 23.6 -29.0 26.7 -32.8 29.9 -36.8 2 100 10.9 -13.1 11.9 -14.3 12.9 -15.5 15.1 -18.2 17.6 -21.2 20.2 -24.3 22.9 -27.7 25.9 -31.2 29.0 -35.0 3 10 11.9 -15.3 13.1 -16.7 14.2 -18.2 16.7 -21.4 19.4 -24.7 22.2 -28.4 25.3 -32.2 28.5 -36.5 32.0 -40.9 3 20 11.6 -14.6 12.7 -16.0 13.8 -17.4 16.2 -20.4 18.8 -23.6 21.6 -27.2 24.6 -30.9 27.7 -34.9 31.1 -39.1 3 50 11.2 -13.7 12.2 -15.0 13.3 -16.3 15.6 -19.2 18.1 -22.3 20.8 -25.5 23.6 -29.0 26.7 -32.8 29.9 -36.8 3 100 10.9 -13.1 11.9 -14.3 12.9 -15.5 15.1 -18.2 17.6 -21.2 20.2 -24.3 22.9 -27.7 25.9 -31.2 29.0 -35.0 Wall 4 10 13.1 -14.2 14.3 -15.5 15.5 -16.9 18.2 -19.8 21.2 -22.9 24.3 -26.3 27.7 -30.0 31.2 -33.8 35.0 -37.9 4 20 12.5 -13.6 13.6 -14.8 14.8 -16.1 17.4 -19.0 20.2 -22.0 23.2 -25.3 26.4 -28.7 29.7 -32.4 33.4 -36.4 4 50 11.7 -12.8 12.8 -14.0 13.9 -15.2 16.3 -17.8 19.0 -20.8 21.7 -23.8 24.7 -27.1 27.9 -30.6 31.3 -34.3 4 100 11.1 -12.2 12.1 -13.3 13.2 -14.5 15.5 -17.0 18.0 -19.8 20.6 -22.7 23.5 -25.9 26.5 -29.1 29.8 32.7 4 500 10.0 -10.9 10.6 -11.9 11.6 -12.9 13.6 -15.1 15.8 -17.6 18.1 -20.2 20.6 -22.9 23.2 -25.9 26.1 -29.0 5 10 13.1 -17.5 14.3 -19.1 15.5 -20.8 18.2 -24.4 21.2 -28.3 24.3 -32.5 27.7 -37.0 31.2 -41.8 35.0 -46.8 5 20 12.5 -16.3 13.6 -17.8 14.8 -19.4 17.4 -22.8 20.2 -26.4 23.2 -30.3 26.4 -34.5 29.7 -39.0 33.4 -43.7 5 50 11.7 -14.8 12.8 -16.1 13.9 -17.6 16.3 -20.6 19.0 -23.9 21.7 -27.4 24.7 -31.2 27.9 -35.3 31.3 -39.5 5 100 11.1 -13.6 12.1 -14.8 13.2 -16.1 15.5 -19.0 18.0 -22.0 20.6 -25.3 23.5 -28.7 26.5 -32.4 29.8 -36.4 5 500 10.0 -10.9 10.6 -11.9 11.6 -12.9 13.6 -15.1 15.8 -17.6 18.1 -20.2 20.6 -22.9 23.2 -25.9 26.1 -29.0 For SI: 1 foot = 304.8 mm, 1 square foot = 0.0929 m2, 1 mile per hour = 0.447 m/s, 1 pound per square foot = 0.0479 kPa. The effective wind area shall be equal to the span length multiplied by an effective width. This width shall be permitted to be not less than one-third the span length. For cladding fasteners, the effective wind area shall not be greater than the area that is tributary to an individual fastener. For effective areas between those given, the load shall be interpolated or the load associated with the lower effective area shall be used. Table values shall be adjusted for height and exposure by multiplying by the adjustment coefficient in Table R301.2(3). See Figure R301.2(7) for location of zones. Plus and minus signs signify pressures acting toward and away from the building surfaces. TABLE R301.2(3) HEIGHT AND EXPOSURE ADJUSTMENT COEFFICIENTS FOR TABLE R301.2(2) MEAN ROOF HEIGHT EXPOSURE B C D 15 1.00 1.21 1.47 20 1.00 1.29 1.55 25 1.00 1.35 1.61 30 1.00 1.40 1.66 35 1.05 1.45 1.70 40 1.09 1.49 1.74 45 1.12 1.53 1.78 50 1.16 1.56 1.81 55 1.19 1.59 1.84 60 1.22 1.62 1.87 For SI: °C = [(°F)-32]/1.8. FIGURE R301.2(1) ISOLINES OF THE 971/2 -PERCENT WINTER (DECEMBER, JANUARY AND FEBRUARY) DESIGN TEMPERATURES (°F) FIGURE R301.2(2) SEISMIC DESIGN CATEGORIES—SITE CLASS D Alaska and Hawaii are classified as severe and negligible, respectively. Lines defining areas are approximate only. Local conditions may be more or less severe than indicated by region classification. A severe classification is where weather conditions result in significant snowfall combined with extended periods during which there is little or no natural thawing causing deicing salts to be used extensively. FIGURE R301.2(3) WEATHERING PROBABILITY MAP FOR CONCRETEa, b Note: Values are nominal design 3-second gust wind speeds in miles per hour (m/s) at 33 ft (10m) above ground for Exposure C category. Linear interpolation between contours is permitted. Islands and coastal areas outside the last contour shall use the last wind speed contour of the coastal area. Mountainous terrain, gorges, ocean promontories, and special wind region shall be exmined for unusual wind conditions. Wind speeds correspond to approximately a 7% probability of exceedance in 50 years (Annual Exceedance Probability = 0.00143, MRI = 700 Years). FIGURE R301.2(4)A ULTIMATE DESIGN WIND SPEEDS Note: Values are nominal design 3-second gust wind speeds in miles per hour (m/s) at 33 ft (10m) above ground for Exposure C category. Linear interpolation between contours is permitted. Islands and coastal areas outside the last contour shall use the last wind speed contour of the coastal area. Mountainous terrain, gorges, ocean promontories, and special wind region shall be exmined for unusual wind conditions. Wind speeds correspond to approximately a 7% probability of exceedance in 50 years (Annual Exceedance Probability = 0.00143, MRI = 700 Years). FIGURE R301.2(4)B REGIONS WHERE WIND DESIGN IS REQUIRED For SI: 1 foot = 304.8 mm, 1 pound per square foot = 0.0479 kPa, 1 mile = 1.61 km. In CS areas, site-specific Case Studies are required to establish ground snow loads. Extreme local variations in ground snow loads in these areas preclude mapping at this scale. Numbers in parentheses represent the upper elevation limits in feet for the ground snow load values presented below. Site-specific case studies are required to establish ground snow loads at elevations not covered. FIGURE R301.2(5) GROUND SNOW LOADS, Pg, FOR THE UNITED STATES (lb/ft2) Note: Lines defining areas are approximate only. Local conditions may be more or less severe than indicated by the region classification. FIGURE R301.2(6) TERMITE INFESTATION PROBABILITY MAP For SI: 1 foot = 304.8 mm, 1 degree = 0.0175 rad. Note: a = 4 feet in all cases. FIGURE R301.2(7) COMPONENT AND CLADDING PRESSURE ZONES",Wall|Roof|Slab|Footing|BuildingElementProxy,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,site_planning,architect
R301.2.1,Chapter 3 Building Planning,Wind Design Criteria,"Buildings and portions thereof shall be constructed in accordance with the wind provisions of this code using the ultimate design wind speed in Table R301.2(1) as determined from Figure R301.2(4)A. The structural provisions of this code for wind loads are not permitted where wind design is required as specified in Section R301.2.1.1. Where different construction methods and structural materials are used for various portions of a building, the applicable requirements of this section for each portion shall apply. Where not otherwise specified, the wind loads listed in Table R301.2(2) adjusted for height and exposure using Table R301.2(3) shall be used to determine design load performance requirements for wall coverings, curtain walls, roof coverings, exterior windows, skylights, garage doors and exterior doors. Asphalt shingles shall be designed for wind speeds in accordance with Section R905.2.4. A continuous load path shall be provided to transmit the applicable uplift forces in Section R802.11.1 from the roof assembly to the foundation.",Wall|CurtainWall|Roof|Slab|Window,Residential (R)|Assembly (A)|Business (B)|Educational (E)|Mercantile (M),sd|dd|cd,structural_design,structural_engineer
R301.2.1.1,Chapter 3 Building Planning,Wind Limitations and Wind Design Required,"The wind provisions of this code shall not apply to the design of buildings where wind design is required in accordance with Figure R301.2(4)B. Exceptions: For concrete construction, the wind provisions of this code shall apply in accordance with the limitations of Sections R404 and R608. For structural insulated panels, the wind provisions of this code shall apply in accordance with the limitations of Section R610. For cold-formed steel light-frame construction, the wind provisions of this code shall apply in accordance with the limitations of Sections R505, R603 and R804. In regions where wind design is required in accordance with Figure R301.2(4)B, the design of buildings for wind loads shall be in accordance with one or more of the following methods: AF&amp;PA; Wood Frame Construction Manual (WFCM). ICC Standard for Residential Construction in High-Wind Regions (ICC 600). ASCE Minimum Design Loads for Buildings and Other Structures (ASCE 7). AISI Standard for Cold-Formed Steel Framing—Prescriptive Method For One- and Two-Family Dwellings (AISI S230). International Building Code. The elements of design not addressed by the methods in Items 1 through 5 shall be in accordance with the provisions of this code. Where ASCE 7 or the International Building Code is used for the design of the building, the wind speed map and exposure category requirements as specified in ASCE 7 and the International Building Code shall be used.",Wall|Roof|Slab|Column|Beam,Residential (R)|Assembly (A)|Business (B),sd|dd|cd,structural_design,structural_engineer
R301.2.1.1.1,Chapter 3 Building Planning,Sunrooms,"Sunrooms shall comply with AAMA/NPEA/NSA 2100. For the purpose of applying the criteria of AAMA/NPEA/NSA 2100 based on the intended use, sunrooms shall be identified as one of the following categories by the permit applicant, design professional or the property owner or owner's agent in the construction documents. Component and cladding pressures shall be used for the design of elements that do not qualify as main windforce-resisting systems. Main windforce-resisting system pressures shall be used for the design of elements assigned to provide support and stability for the overall sunroom. Category I: A thermally isolated sunroom with walls that are open or enclosed with insect screening or 0.5 mm (20 mil) maximum thickness plastic film. The space is nonhabitable and unconditioned. Category II: A thermally isolated sunroom with enclosed walls. The openings are enclosed with translucent or transparent plastic or glass. The space is nonhabitable and unconditioned. Category III: A thermally isolated sunroom with enclosed walls. The openings are enclosed with translucent or transparent plastic or glass. The sunroom fenestration complies with additional requirements for air infiltration resistance and water penetration resistance. The space is nonhabitable and unconditioned. Category IV: A thermally isolated sunroom with enclosed walls. The sunroom is designed to be heated or cooled by a separate temperature control or system and is thermally isolated from the primary structure. The sunroom fenestration complies with additional requirements for water penetration resistance, air infiltration resistance and thermal performance. The space is nonhabitable and conditioned. Category V: A sunroom with enclosed walls. The sunroom is designed to be heated or cooled and is open to the main structure. The sunroom fenestration complies with additional requirements for water penetration resistance, air infiltration resistance and thermal performance. The space is habitable and conditioned.",Wall|Window|Roof|Slab,Residential (R)|Assembly (A),sd|dd|cd,special_construction,architect
