id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
33,,Storm Drainage,User note: Code change proposals to this chapter will be considered by the IRC-Plumbing and Mechanical Code Development Committee during the 2015 (Group A) Code Development Cycle. See explanation on page iv.,,,,,
P3301,Chapter 33 Storm Drainage,General,,,,,,
P3301.1,Chapter 33 Storm Drainage,Scope,"The provisions of this chapter shall govern the materials, design, construction and installation of storm drainage.",,,,,
P3302,Chapter 33 Storm Drainage,Subsoil Drains,,,,,,
P3302.1,Chapter 33 Storm Drainage,Subsoil Drains,"Subsoil drains shall be open-jointed, horizontally split or perforated pipe conforming to one of the standards listed in Table P3302.1. Such drains shall be not less than 4 inches (102 mm) in diameter. Where the building is subject to backwater, the subsoil drain shall be protected by an accessibly located backwater valve. Subsoil drains shall discharge to a trapped area drain, sump, dry well or approved location above ground. The subsoil sump shall not be required to have either a gas-tight cover or a vent. The sump and pumping system shall comply with Section P3303. TABLE P3302.1SUBSOIL DRAIN PIPE MATERIAL STANDARD Cast-iron pipe ASTM A 74; ASTM A 888; CISPI 301 Polyethylene (PE) plastic pipe ASTM F 405; CSA B182.1; CSA B182.6; CSA B182.8 Polyvinyl chloride (PVC) Plastic pipe (type sewer pipe, SDR 35, PS25, PS50 or PS100) ASTM D 2729; ASTM D3034; ASTM F 891; CSA B182.2; CSA B182.4 Stainless steel drainage systems, Type 316L ASME A112.3.1 Vitrified clay pipe ASTM C 4; ASTM C 700",,,,,
P3303,Chapter 33 Storm Drainage,Sumps and Pumping Systems,,,,,,
P3303.1,Chapter 33 Storm Drainage,Pumping System,"The sump pump, pit and discharge piping shall conform to Sections P3303.1.1 through P3303.1.4.",,,,,
P3303.1.1,Chapter 33 Storm Drainage,Pump Capacity and Head,The sump pump shall be of a capacity and head appropriate to anticipated use requirements.,,,,,
P3303.1.2,Chapter 33 Storm Drainage,Sump Pit,"The sump pit shall be not less than 18 inches (457 mm) in diameter and 24 inches (610 mm) deep, unless otherwise approved. The pit shall be accessible and located so that all drainage flows into the pit by gravity. The sump pit shall be constructed of tile, steel, plastic, cast-iron, concrete or other approved material, with a removable cover adequate to support anticipated loads in the area of use. The pit floor shall be solid and provide permanent support for the pump.",,,,,
P3303.1.3,Chapter 33 Storm Drainage,Electrical,Electrical outlets shall meet the requirements of Chapters 34 through 43.,,,,,
P3303.1.4,Chapter 33 Storm Drainage,Piping,"Discharge piping shall meet the requirements of Sections P3002.1, P3002.2, P3002.3 and P3003. Discharge piping shall include an accessible full flow check valve. Pipe and fittings shall be the same size as, or larger than, the pump discharge tapping.",,,,,
