id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
1,,Scope and Administration,,,,,,
divider_1_1,Chapter 1 Scope and Administration,— Scope and Application,,,,,,
101,Chapter 1 Scope and Administration,Scope and General Requirements,,,,,,
101.1,Section 101 Scope and General Requirements,Title,"These regulations shall be known as the Florida Building Code, hereinafter referred to as ""this code.""",,,,,
101.2,Section 101 Scope and General Requirements,Scope,"The provisions of this code shall apply to the construction, alteration, relocation, enlargement, replacement, repair, equipment, use and occupancy, location, maintenance, removal and demolition of every building or structure or any appurtenances connected or attached to such buildings or structures.Exceptions:Detached one- and two-family dwellings and multiple single-family dwellings (townhouses) not more than three stories above grade plane in height with a separate means of egress, and their accessory structures not more than three stories above grade plane in height, shall comply with the Florida Building Code, Residential.Code requirements that address snow loads and earthquake protection shall not be utilized or enforced.",,,,,
101.2.1,Section 101 Scope and General Requirements,Appendices,Provisions in the appendices shall not apply unless specifically adopted.,,,,,
101.3,Section 101 Scope and General Requirements,Intent,"The purpose of this code is to establish the minimum requirements to provide a reasonable level of safety, public health and general welfare through structural strength, means of egress facilities, stability, sanitation, adequate light and ventilation, energy conservation, and safety to life and property from fire and other hazards attributed to the built environment and to provide a reasonable level of safety to fire fighters and emergency responders during emergency operations.",,,,,
101.4,Section 101 Scope and General Requirements,Referenced Codes,The other codes listed in Sections 101.4.1 through 101.4.9 and referenced elsewhere in this code shall be considered part of the requirements of this code to the prescribed extent of each such reference.,,,,,
101.4.1,Section 101 Scope and General Requirements,Gas,"The provisions of the Florida Building Code, Fuel Gas shall apply to the installation of gas piping from the point of delivery, gas appliances and related accessories as covered in this code. These requirements apply to gas piping systems extending from the point of delivery to the inlet connections of appliances and the installation and operation of residential and commercial gas appliances and related accessories.",,,,,
101.4.2,Section 101 Scope and General Requirements,Mechanical,"The provisions of the Florida Building Code, Mechanical shall apply to the installation, alterations, repairs and replacement of mechanical systems, including equipment, appliances, fixtures, fittings and/or appurtenances, including ventilating, heating, cooling, air-conditioning and refrigeration systems, incinerators and other energy-related systems.",,,,,
101.4.3,Section 101 Scope and General Requirements,Plumbing,"The provisions of the Florida Building Code, Plumbing shall apply to the installation, alteration, repair and replacement of plumbing systems, including equipment, appliances, fixtures, fittings and appurtenances, and where connected to a water or sewage system and all aspects of a medical gas system.",,,,,
101.4.4,Section 101 Scope and General Requirements,Property Maintenance,Reserved.,,,,,
101.4.5,Section 101 Scope and General Requirements,Fire Prevention,"For provisions related to fire prevention, refer to the Florida Fire Prevention Code. The Florida Fire Prevention Code shall apply to matters affecting or relating to structures, processes and premises from the hazard of fire and explosion arising from the storage, handling or use of structures, materials or devices; from conditions hazardous to life, property or public welfare in the occupancy of structures or premises; and from the construction, extension, repair, alteration or removal of fire suppression, and alarm systems or fire hazards in the structure or on the premises from occupancy or operation.",,,,,
101.4.6,Section 101 Scope and General Requirements,Energy,"The provisions of the Florida Building Code, Energy Conservation shall apply to all matters governing the design and construction of buildings for energy efficiency.",,,,,
101.4.7,Section 101 Scope and General Requirements,Existing Buildings,"The provisions of the Florida Building Code, Existing Building shall apply to matters governing the repair, alteration, change of occupancy, addition to and relocation of existing buildings.",,,,,
101.4.8,Section 101 Scope and General Requirements,Accessibility,"For provisions related to accessibility, refer to the Florida Building Code, Accessibility.",,,,,
101.4.9,Section 101 Scope and General Requirements,Manufactured Buildings,"For additional administrative and special code requirements, see Section 458, Florida Building Code, Building, and Rule 61-41 F.A.C.",,,,,
102,Chapter 1 Scope and Administration,Applicability,,,,,,
102.1,Section 102 Applicability,General,"Where there is a conflict between a general requirement and a specific requirement, the specific requirement shall be applicable. Where, in any specific case, different sections of this code specify different materials, methods of construction or other requirements, the most restrictive shall govern.",,,,,
102.1.1,Section 102 Applicability,102.1.1,"The Florida Building Code does not apply to, and no code enforcement action shall be brought with respect to, zoning requirements, land use requirements and owner specifications or programmatic requirements which do not pertain to and govern the design, construction, erection, alteration, modification, repair or demolition of public or private buildings, structures or facilities or to programmatic requirements that do not pertain to enforcement of the Florida Building Code. Additionally, a local code enforcement agency may not administer or enforce the Florida Building Code, Building to prevent the siting of any publicly owned facility, including, but not limited to, correctional facilities, juvenile justice facilities, or state universities, community colleges, or public education facilities, as provided by law.",,,,,
102.2,Section 102 Applicability,Building,"The provisions of the Florida Building Code shall apply to the construction, erection, alteration, modification, repair, equipment, use and occupancy, location, maintenance, removal and demolition of every public and private building, structure or facility or floating residential structure, or any appurtenances connected or attached to such buildings, structures or facilities. Additions, alterations, repairs and changes of use or occupancy group in all buildings and structures shall comply with the provisions provided in the Florida Building Code, Existing Building. The following buildings, structures and facilities are exempt from the Florida Building Code as provided by law, and any further exemptions shall be as determined by the legislature and provided by law: Building and structures specifically regulated and preempted by the federal government. Railroads and ancillary facilities associated with the railroad. Nonresidential farm buildings on farms. Temporary buildings or sheds used exclusively for construction purposes. Mobile or modular structures used as temporary offices, except that the provisions of Part II (Sections 553.501-553.513, Florida Statutes) relating to accessibility by persons with disabilities shall apply to such mobile or modular structures. Those structures or facilities of electric utilities, as defined in Section 366.02, Florida Statutes, which are directly involved in the generation, transmission, or distribution of electricity. Temporary sets, assemblies, or structures used in commercial motion picture or television production, or any sound-recording equipment used in such production, on or off the premises. Chickees constructed by the Miccosukee Tribe of Indians of Florida or the Seminole Tribe of Florida. As used in this paragraph, the term ""chickee"" means an open-sided wooden hut that has a thatched roof of palm or palmetto or other traditional materials, and that does not incorporate any electrical, plumbing, or other nonwood features. Family mausoleums not exceeding 250 square feet (23 m2) in area which are prefabricated and assembled on site or preassembled and delivered on site and have walls, roofs, and a floor constructed of granite, marble, or reinforced concrete. Temporary housing provided by the Department of Corrections to any prisoner in the state correctional system. A building or structure having less than 1,000 square feet (93 m2) which is constructed and owned by a natural person for hunting and which is repaired or reconstructed to the same dimension and condition as existed on January 1, 2011, if the building or structure: Is not rented or leased or used as a principal residence; Is not located within the 100-year flood plain according to the Federal Emergency Management Agency's current Flood Insurance Rate Map; and Is not connected to an off-site electric power or water supply. A drone port as defined in s. 330.41(2).",,,,,
102.2.1,Section 102 Applicability,102.2.1,"In addition to the requirements of Sections 553.79 and 553.80, Florida Statutes, facilities subject to the provisions of Chapter 395, Florida Statutes, and Part II of Chapter 400, Florida Statutes, shall have facility plans reviewed and construction surveyed by the state agency authorized to do so under the requirements of Chapter 395, Florida Statutes, and Part II of Chapter 400, Florida Statutes, and the certification requirements of the federal government.",,,,,
102.2.2,Section 102 Applicability,102.2.2,"Residential buildings or structures moved into or within a county or municipality shall not be required to be brought into compliance with the state minimum building code in force at the time the building or structure is moved, provided:The building or structure is structurally sound and in occupiable condition for its intended use;The occupancy use classification for the building or structure is not changed as a result of the move;The building is not substantially remodeled;Current fire code requirements for ingress and egress are met;Electrical, gas and plumbing systems meet the codes in force at the time of construction and are operational and safe for reconnection; andFoundation plans are sealed by a professional engineer or architect licensed to practice in this state, if required by the Florida Building Code, Building for all residential buildings or structures of the same occupancy class.",,,,,
102.2.3,Section 102 Applicability,102.2.3,The building official shall apply the same standard to a moved residential building or structure as that applied to the remodeling of any comparable residential building or structure to determine whether the moved structure is substantially remodeled. The cost of the foundation on which the moved building or structure is placed shall not be included in the cost of remodeling for purposes of determining whether a moved building or structure has been substantially remodeled.,,,,,
